AssA,DetA,HOTA,IDF1,IDSW,MOTA,accepted_correct,accepted_false,accepted_unknown,component_rejections,method,modality,predicted_boxes,sequence,split,tracker,valid_gt_boxes
97.77044456021233,97.93990370671266,97.85513745108297,98.8906497622821,1,97.9261066573719,2,1,0,0,historical_geometry_first_reciprocal,rgb,5620,M3OT/1/rgb/val/1-08,development,ocsort,5738
97.77044456021233,97.93990370671266,97.85513745108297,98.8906497622821,1,97.9261066573719,2,1,0,0,controlled_cost_greedy,rgb,5620,M3OT/1/rgb/val/1-08,development,ocsort,5738
97.77044456021233,97.93990370671266,97.85513745108297,98.8906497622821,1,97.9261066573719,2,1,0,0,controlled_cost_reciprocal,rgb,5620,M3OT/1/rgb/val/1-08,development,ocsort,5738
97.77044456021233,97.93990370671266,97.85513745108297,98.8906497622821,1,97.9261066573719,2,1,0,0,controlled_cost_partial_hungarian,rgb,5620,M3OT/1/rgb/val/1-08,development,ocsort,5738
85.95331180887736,94.95113903070592,90.31361427095017,90.86507835393044,11,99.19969512195121,0,0,0,0,no_refinement,ir,7826,M3OT/2/ir/val/2-08T,development,bytetrack,7872
93.6900100187344,94.95113903070592,94.28838627917521,97.89782137851955,4,99.28861788617887,7,1,0,0,historical_geometry_first_reciprocal,ir,7826,M3OT/2/ir/val/2-08T,development,bytetrack,7872
93.36925226065341,94.95113903070592,94.12680880414635,97.80863804306281,5,99.27591463414635,6,3,0,5,controlled_cost_greedy,ir,7826,M3OT/2/ir/val/2-08T,development,bytetrack,7872
93.44302013013035,94.95113903070592,94.16403281502546,97.80863804306281,5,99.27591463414635,6,2,0,0,controlled_cost_reciprocal,ir,7826,M3OT/2/ir/val/2-08T,development,bytetrack,7872
93.36925226065341,94.95113903070592,94.12680880414635,97.80863804306281,5,99.27591463414635,6,3,0,0,controlled_cost_partial_hungarian,ir,7826,M3OT/2/ir/val/2-08T,development,bytetrack,7872
87.90893608571727,98.24695121951223,92.93430451331025,90.54209919261822,11,98.10721544715447,0,0,0,0,no_refinement,ir,7734,M3OT/2/ir/val/2-08T,development,ocsort,7872
95.6711778270901,98.24695121951223,96.95051078303507,97.44969883378188,3,98.20884146341463,8,1,0,0,historical_geometry_first_reciprocal,ir,7734,M3OT/2/ir/val/2-08T,development,ocsort,7872
95.43669266380134,98.24695121951223,96.83162752268532,97.38562091503267,4,98.1961382113821,7,3,0,6,controlled_cost_greedy,ir,7734,M3OT/2/ir/val/2-08T,development,ocsort,7872
95.49269424571675,98.24695121951223,96.86003341615533,97.38562091503267,4,98.1961382113821,7,2,0,0,controlled_cost_reciprocal,ir,7734,M3OT/2/ir/val/2-08T,development,ocsort,7872
95.79234964725343,98.24695121951223,97.01188743136667,97.51377675253107,2,98.22154471544715,9,1,0,0,controlled_cost_partial_hungarian,ir,7734,M3OT/2/ir/val/2-08T,development,ocsort,7872
95.67316321825757,95.7506296552237,95.68914716653936,98.57943925233646,1,99.53997264702225,0,0,0,0,no_refinement,rgb,8007,M3OT/2/rgb/val/2-08,development,bytetrack,8043
95.67316321825757,95.7506296552237,95.68914716653936,98.57943925233646,1,99.53997264702225,0,0,0,0,historical_geometry_first_reciprocal,rgb,8007,M3OT/2/rgb/val/2-08,development,bytetrack,8043
95.67316321825757,95.7506296552237,95.68914716653936,98.57943925233646,1,99.53997264702225,0,0,0,0,controlled_cost_greedy,rgb,8007,M3OT/2/rgb/val/2-08,development,bytetrack,8043
95.67316321825757,95.7506296552237,95.68914716653936,98.57943925233646,1,99.53997264702225,0,0,0,0,controlled_cost_reciprocal,rgb,8007,M3OT/2/rgb/val/2-08,development,bytetrack,8043
95.67316321825757,95.7506296552237,95.68914716653936,98.57943925233646,1,99.53997264702225,0,0,0,0,controlled_cost_partial_hungarian,rgb,8007,M3OT/2/rgb/val/2-08,development,bytetrack,8043
97.32888435836351,98.63235111276889,97.9784501584312,98.13470205307962,1,98.61991794106677,0,0,0,0,no_refinement,rgb,7933,M3OT/2/rgb/val/2-08,development,ocsort,8043
97.32888435836351,98.63235111276889,97.9784501584312,98.13470205307962,1,98.61991794106677,0,0,0,0,historical_geometry_first_reciprocal,rgb,7933,M3OT/2/rgb/val/2-08,development,ocsort,8043
97.32888435836351,98.63235111276889,97.9784501584312,98.13470205307962,1,98.61991794106677,0,0,0,0,controlled_cost_greedy,rgb,7933,M3OT/2/rgb/val/2-08,development,ocsort,8043
97.32888435836351,98.63235111276889,97.9784501584312,98.13470205307962,1,98.61991794106677,0,0,0,0,controlled_cost_reciprocal,rgb,7933,M3OT/2/rgb/val/2-08,development,ocsort,8043
97.32888435836351,98.63235111276889,97.9784501584312,98.13470205307962,1,98.61991794106677,0,0,0,0,controlled_cost_partial_hungarian,rgb,7933,M3OT/2/rgb/val/2-08,development,ocsort,8043
87.53887235224622,85.57068608050369,86.41367269631424,98.44961240310077,3,97.92467332820907,0,0,0,0,no_refinement,ir,1279,M3OT/1/ir/test/1-03T,held_out,bytetrack,1301
82.4391766826002,85.57068608050369,83.87683489723872,95.27131782945737,3,97.92467332820907,0,2,0,0,historical_geometry_first_reciprocal,ir,1279,M3OT/1/ir/test/1-03T,held_out,bytetrack,1301
83.47601481388223,85.57068608050369,84.40726215196061,95.73643410852713,2,98.00153727901613,1,1,0,2,controlled_cost_greedy,ir,1279,M3OT/1/ir/test/1-03T,held_out,bytetrack,1301
83.47601481388223,85.57068608050369,84.40726215196061,95.73643410852713,2,98.00153727901613,1,1,0,0,controlled_cost_reciprocal,ir,1279,M3OT/1/ir/test/1-03T,held_out,bytetrack,1301
78.52100299388232,85.57068608050369,81.84296083516224,91.62790697674419,3,97.92467332820907,0,3,0,0,controlled_cost_partial_hungarian,ir,1279,M3OT/1/ir/test/1-03T,held_out,bytetrack,1301
94.61210304191653,95.38816295157568,94.99934053536165,97.1675845790716,2,95.23443504996156,0,0,0,0,no_refinement,ir,1241,M3OT/1/ir/test/1-03T,held_out,ocsort,1301
94.3146838786545,95.38816295157568,94.84990476823604,97.1675845790716,2,95.23443504996156,0,1,0,0,historical_geometry_first_reciprocal,ir,1241,M3OT/1/ir/test/1-03T,held_out,ocsort,1301
95.19592923199454,95.38816295157568,95.29199761736639,97.4822974036192,1,95.31129900076863,1,0,0,2,controlled_cost_greedy,ir,1241,M3OT/1/ir/test/1-03T,held_out,ocsort,1301
