protocol,scope,tracker,proposed_method,comparator,sequence_count,bootstrap_unit,bootstrap_replicates,bootstrap_seed,delta_HOTA_mean,delta_HOTA_ci_low,delta_HOTA_ci_high,delta_HOTA_total,HOTA_wins,HOTA_ties,HOTA_losses,delta_AssA_mean,delta_AssA_ci_low,delta_AssA_ci_high,delta_AssA_total,AssA_wins,AssA_ties,AssA_losses,delta_IDF1_mean,delta_IDF1_ci_low,delta_IDF1_ci_high,delta_IDF1_total,IDF1_wins,IDF1_ties,IDF1_losses,delta_IDSW_mean,delta_IDSW_ci_low,delta_IDSW_ci_high,delta_IDSW_total,IDSW_wins,IDSW_ties,IDSW_losses
oracle_aabb,confirmation38,bytetrack,com3d_reciprocal_guard,no_refinement,38,released_sequence,10000,20260914,1.0506252425355922,0.7038183405045589,1.4223037421748574,39.9237592163525,37,0,1,1.7094802722935896,1.1544686046475354,2.3370296302859566,64.9602503471564,37,0,1,2.3846344673400504,1.84134821931394,2.970322946911513,90.61610975892191,38,0,0,-56.5,-80.36842105263158,-36.89407894736843,-2147.0,38,0,0
oracle_aabb,confirmation38,bytetrack,com3d_reciprocal_guard,geometry_greedy,38,released_sequence,10000,20260914,-0.49438274385213066,-0.825110877684566,-0.24665201121896974,-18.786544266380965,7,1,30,-0.7619176060012984,-1.1724568228554781,-0.4264014407368386,-28.952869028049342,7,1,30,-1.5506966437835212,-2.30913045002699,-0.9461169271140923,-58.926472463773806,4,2,32,47.73684210526316,27.656578947368423,71.47368421052632,1814.0,1,3,34
oracle_aabb,confirmation38,bytetrack,com3d_reciprocal_guard,geometry_reid_greedy_guard,38,released_sequence,10000,20260914,-0.8267557899694519,-1.1845771978203208,-0.514525381764453,-31.41672001883917,0,2,36,-1.3353149026270619,-1.806776142699208,-0.916343913764162,-50.74196629982835,0,2,36,-2.4639449860311253,-3.2014369208700035,-1.8044550378736965,-93.62990946918276,0,2,36,56.81578947368421,34.86776315789474,82.13157894736842,2159.0,0,3,35
oracle_aabb,confirmation38,bytetrack,com3d_reciprocal_guard,geometry_reid_hungarian,38,released_sequence,10000,20260914,-0.4325234395727184,-0.6152369178141537,-0.279960898624391,-16.4358907037633,1,3,34,-0.6873426653968027,-0.9441500063605044,-0.46311651427329414,-26.1190212850785,1,3,34,-1.2805969878652252,-1.6273569532536214,-0.9497729282831068,-48.66268553887856,1,3,34,24.44736842105263,15.342105263157896,35.55263157894737,929.0,0,3,35
oracle_aabb,confirmation38,bytetrack,com3d_reciprocal_guard,aflink_cached_overlap_safe,38,released_sequence,10000,20260914,0.9176036943095376,0.6370023099976493,1.2258892057600494,34.86894038376243,36,0,2,1.4684269473136613,1.0477602934121542,1.930277848396306,55.800223997919126,36,0,2,2.0704718044916177,1.6076110646582782,2.557873694053507,78.67792857068147,38,0,0,-55.71052631578947,-79.31644736842105,-35.71052631578947,-2117.0,38,0,0
oracle_aabb,all50,ocsort,com3d_reciprocal_guard,no_refinement,50,released_sequence,10000,20260914,1.000002947277833,0.6606290644329429,1.4122337594936043,50.00014736389165,44,2,4,2.208221583675083,1.4362049713383145,3.133714159755499,110.41107918375414,44,2,4,2.2900271737348117,1.7097913448420177,2.9246993969722017,114.50135868674057,46,3,1,-33.56,-43.24,-24.78,-1678.0,47,3,0
oracle_aabb,all50,ocsort,com3d_reciprocal_guard,geometry_greedy,50,released_sequence,10000,20260914,0.013956952609064776,-0.09353733738048771,0.10614147068010339,0.6978476304532388,25,6,19,-0.04276928496486967,-0.4045339315089056,0.21516635551600943,-2.1384642482434835,24,6,20,-0.153287320771466,-0.30079588452005124,-0.011032183449226437,-7.6643660385733,15,13,22,6.38,3.02,10.4,319.0,7,12,31
oracle_aabb,all50,ocsort,com3d_reciprocal_guard,geometry_reid_greedy_guard,50,released_sequence,10000,20260914,-0.3892977422957343,-0.5809747791852137,-0.22650993773801809,-19.464887114786713,3,5,42,-0.9103821724840112,-1.3895900310615008,-0.5022194297408274,-45.51910862420056,3,5,42,-0.9958772269907421,-1.3828661493016765,-0.6588370707627433,-49.7938613495371,1,8,41,19.2,12.68,26.32,960.0,0,8,42
oracle_aabb,all50,ocsort,com3d_reciprocal_guard,geometry_reid_hungarian,50,released_sequence,10000,20260914,-0.3410336191732553,-0.49716124703419456,-0.20479707959216148,-17.051680958662764,4,5,41,-0.8065570026222446,-1.195908454270196,-0.46169845609714794,-40.32785013111223,4,5,41,-0.9315047885130958,-1.3619152183560048,-0.5689178909204416,-46.57523942565479,3,8,39,17.88,11.48,25.48,894.0,0,7,43
oracle_aabb,all50,ocsort,com3d_reciprocal_guard,aflink_cached_overlap_safe,50,released_sequence,10000,20260914,0.7789584507894461,0.5232920749471209,1.0798576489564937,38.94792253947231,44,2,4,1.7194737064821988,1.1838415213090847,2.373733339006847,85.97368532410994,45,2,3,1.924247057484704,1.4370337308844465,2.465466372467642,96.2123528742352,45,3,2,-32.82,-42.2805,-24.2,-1641.0,47,3,0
oracle_aabb,legacy12,ocsort,com3d_reciprocal_guard,no_refinement,12,released_sequence,10000,20260914,1.2830016713995913,0.4597944230480347,2.264996507567534,15.396020056795095,9,2,1,2.6347651948973576,0.9262702639639794,4.787698544035202,31.61718233876829,9,2,1,2.7400788254494053,1.4082196417276869,4.320886771469325,32.88094590539286,9,3,0,-41.083333333333336,-66.16875,-19.5,-493.0,9,3,0
oracle_aabb,legacy12,ocsort,com3d_reciprocal_guard,geometry_greedy,12,released_sequence,10000,20260914,0.028091149210026128,-0.11155843389355971,0.16484694856775528,0.3370937905203135,5,4,3,0.019942902392995194,-0.2665131733064998,0.2787909998217035,0.23931482871594234,5,4,3,-0.29619309542336875,-0.6486470063095058,-0.021722788456007613,-3.554317145080425,2,4,6,4.916666666666667,1.1666666666666667,9.002083333333303,59.0,1,4,7
oracle_aabb,legacy12,ocsort,com3d_reciprocal_guard,geometry_reid_greedy_guard,12,released_sequence,10000,20260914,-0.46380053903033885,-0.8635903807262064,-0.15654820282310825,-5.5656064683640665,0,3,9,-0.8790196884586133,-1.634291551855678,-0.3373821898189178,-10.54823626150336,0,3,9,-0.9141842793620581,-1.4144217583140724,-0.46437333789429924,-10.970211352344698,0,3,9,15.583333333333334,5.5,28.0,187.0,0,5,7
oracle_aabb,legacy12,ocsort,com3d_reciprocal_guard,geometry_reid_hungarian,12,released_sequence,10000,20260914,-0.36689328035321395,-0.7052749237691324,-0.1226377236087462,-4.402719364238568,0,3,9,-0.7306468614958929,-1.39881999542022,-0.2599897021986534,-8.767762337950714,0,3,9,-0.803490044016684,-1.3154059646093597,-0.369893196013046,-9.641880528200208,0,3,9,16.416666666666668,5.583333333333333,30.083333333333332,197.0,0,3,9
oracle_aabb,legacy12,ocsort,com3d_reciprocal_guard,aflink_cached_overlap_safe,12,released_sequence,10000,20260914,1.2181246166716706,0.44741752526777223,2.1856787121785444,14.617495400060047,9,2,1,2.5362499788699338,0.8638848839307919,4.632203360587889,30.434999746439207,9,2,1,2.6481027757933098,1.3147029345827557,4.262980375340452,31.77723330951972,9,3,0,-40.916666666666664,-65.41666666666667,-19.583333333333332,-491.0,9,3,0
oracle_aabb,confirmation38,ocsort,com3d_reciprocal_guard,no_refinement,38,released_sequence,10000,20260914,0.9106349291341198,0.5644366748402363,1.3463229659098532,34.604127307096554,35,0,3,2.073523601183838,1.24945667764726,3.037692926234635,78.79389684498585,35,0,3,2.147905599509149,1.5441444511522495,2.8474453028099376,81.62041278134767,37,0,1,-31.18421052631579,-41.421710526315785,-22.105263157894736,-1185.0,38,0,0
oracle_aabb,confirmation38,ocsort,com3d_reciprocal_guard,geometry_greedy,38,released_sequence,10000,20260914,0.009493522103498034,-0.12478464824244671,0.12354007041983564,0.3607538399329253,20,2,16,-0.06257313360419542,-0.5337041569063754,0.2620676834223365,-2.377779076959426,19,2,17,-0.10815918140770724,-0.2710527789536393,0.05099930408449373,-4.110048893492875,13,9,16,6.842105263157895,2.683552631578948,12.078947368421053,260.0,6,8,24
oracle_aabb,confirmation38,ocsort,com3d_reciprocal_guard,geometry_reid_greedy_guard,38,released_sequence,10000,20260914,-0.36577054332691167,-0.5842070452690482,-0.18350196578318342,-13.899280646422644,3,2,33,-0.9202861148078211,-1.5087966921220768,-0.42342518279699565,-34.9708723626972,3,2,33,-1.0216749999261159,-1.5030771624772543,-0.6046231051742598,-38.823649997192405,1,5,32,20.342105263157894,12.31513157894737,29.210526315789473,773.0,0,3,35
oracle_aabb,confirmation38,ocsort,com3d_reciprocal_guard,geometry_reid_hungarian,38,released_sequence,10000,20260914,-0.33286741037958406,-0.5094436132988956,-0.17597183290769228,-12.648961594424193,4,2,32,-0.8305286261358293,-1.2962645086143154,-0.4239889643353433,-31.560087793161514,4,2,32,-0.9719304973014363,-1.5158887833262737,-0.5249365210444211,-36.93335889745458,3,5,30,18.342105263157894,10.789473684210526,27.36842105263158,697.0,0,4,34
oracle_aabb,confirmation38,ocsort,com3d_reciprocal_guard,aflink_cached_overlap_safe,38,released_sequence,10000,20260914,0.6402743984055858,0.4382498742937068,0.8718341043816936,24.330427139412258,35,0,3,1.4615443573071243,1.0132466310154173,1.9711169455172188,55.53868557767072,36,0,2,1.695661041176723,1.241124829714511,2.2099207442547364,64.43511956471548,36,0,2,-30.263157894736842,-39.73684210526316,-21.57828947368422,-1150.0,38,0,0
oracle_aabb,all50,deepocsort,com3d_reciprocal_guard,no_refinement,50,released_sequence,10000,20260914,1.2752124538546952,0.6564276232802772,2.124243105285719,63.760622692734756,38,5,7,2.475217991564632,1.2959332325191764,3.9876771592774616,123.76089957823159,38,5,7,2.1840106743134284,1.316525745132505,3.2928886929016783,109.20053371567143,39,8,3,-11.7,-15.62,-8.12,-585.0,42,8,0
oracle_aabb,all50,deepocsort,com3d_reciprocal_guard,geometry_greedy,50,released_sequence,10000,20260914,0.012346481007737537,-0.07636390816036154,0.09681628332193055,0.6173240503868769,20,17,13,0.014167744679488977,-0.16482200677477532,0.18042363057175811,0.7083872339744488,20,17,13,-0.023250351112158965,-0.16958184308967472,0.11717113949973561,-1.1625175556079483,10,25,15,1.66,0.76,2.76,83.0,3,25,22
oracle_aabb,all50,deepocsort,com3d_reciprocal_guard,geometry_reid_greedy_guard,50,released_sequence,10000,20260914,-0.22710197429889561,-0.3448968950220661,-0.12681841828734705,-11.35509871494478,4,18,28,-0.4432136054037831,-0.6651754006783339,-0.24106733266926808,-22.160680270189154,4,18,28,-0.32323826155198987,-0.5022859282437324,-0.15057156918790268,-16.161913077599493,4,21,25,4.56,2.04,7.64,228.0,0,22,28
oracle_aabb,all50,deepocsort,com3d_reciprocal_guard,geometry_reid_hungarian,50,released_sequence,10000,20260914,-0.1982962255082812,-0.30113862615093695,-0.10348676935495456,-9.91481127541406,4,20,26,-0.39031585112424566,-0.5929826933761818,-0.20836605544852066,-19.515792556212283,4,20,26,-0.3314042906619477,-0.5070691034881774,-0.17406529910858312,-16.570214533097385,3,22,25,4.06,1.94,6.78,203.0,0,23,27
oracle_aabb,all50,deepocsort,com3d_reciprocal_guard,aflink_cached_overlap_safe,50,released_sequence,10000,20260914,1.0514052964841676,0.48532377156029083,1.7905833195161376,52.57026482420838,37,5,8,2.055843377327053,0.9876110511073884,3.4494428900298026,102.79216886635265,37,5,8,1.7375774368942192,0.9580202716559677,2.7300752816713834,86.87887184471096,39,8,3,-10.84,-14.52,-7.54,-542.0,42,8,0
oracle_aabb,legacy12,deepocsort,com3d_reciprocal_guard,no_refinement,12,released_sequence,10000,20260914,1.2517020047508913,0.1340746292092023,3.1618324417421837,15.020424057010695,8,2,2,2.438191984604979,0.25393464260220294,6.2311291293676465,29.25830381525975,8,2,2,1.84463456871066,0.3467344626913743,4.305809758062953,22.13561482452792,8,4,0,-9.916666666666666,-15.75,-4.5,-119.0,8,4,0
oracle_aabb,legacy12,deepocsort,com3d_reciprocal_guard,geometry_greedy,12,released_sequence,10000,20260914,-0.058309437610295944,-0.18724492839043358,0.042181775734128346,-0.6997132513235513,5,4,3,-0.12598438055010774,-0.4037607089771738,0.07906742420767661,-1.511812566601293,5,4,3,-0.11553815157963972,-0.3956729390747948,0.08237232289950687,-1.3864578189556767,1,8,3,1.0,0.3333333333333333,1.6666666666666667,12.0,0,6,6
oracle_aabb,legacy12,deepocsort,com3d_reciprocal_guard,geometry_reid_greedy_guard,12,released_sequence,10000,20260914,-0.1239980324736738,-0.22745757193567853,-0.03738287700442278,-1.4879763896840856,1,5,6,-0.24989398119118475,-0.4547740624189351,-0.07748270831400698,-2.998727774294217,1,5,6,-0.2505828968046953,-0.49496417862057984,-0.04873634918622116,-3.006994761656344,1,5,6,1.9166666666666667,0.5812500000000019,3.8333333333333335,23.0,0,6,6
oracle_aabb,legacy12,deepocsort,com3d_reciprocal_guard,geometry_reid_hungarian,12,released_sequence,10000,20260914,-0.10166767100315195,-0.19776994361463693,-0.020949956608543967,-1.2200120520378235,1,5,6,-0.20555842171910457,-0.39072290504090096,-0.04377412555114901,-2.466701060629255,1,5,6,-0.21065248114117333,-0.4175455320670827,-0.03493325457068153,-2.52782977369408,1,5,6,2.0,0.6666666666666666,3.75,24.0,0,5,7
oracle_aabb,legacy12,deepocsort,com3d_reciprocal_guard,aflink_cached_overlap_safe,12,released_sequence,10000,20260914,1.2469497133077787,0.12779918340710353,3.1576150072505857,14.963396559693345,8,2,2,2.428485934936704,0.2440155811807509,6.110680135708969,29.141831219240444,8,2,2,1.8241935230910553,0.31906184840588697,4.294069080038208,21.890322277092665,8,4,0,-9.833333333333334,-15.666666666666666,-4.583333333333333,-118.0,8,4,0
oracle_aabb,confirmation38,deepocsort,com3d_reciprocal_guard,no_refinement,38,released_sequence,10000,20260914,1.282636806203265,0.6549547523415242,2.2350138268601483,48.74019863572406,30,3,5,2.4869104148150485,1.332413415300542,4.118692674360512,94.50259576297184,30,3,5,2.2911820760827237,1.345294007122278,3.5417733196315986,87.0649188911435,31,4,3,-12.263157894736842,-17.236842105263158,-8.105263157894736,-466.0,34,4,0
oracle_aabb,confirmation38,deepocsort,com3d_reciprocal_guard,geometry_greedy,38,released_sequence,10000,20260914,0.03465887636080074,-0.07468395815581226,0.14087261235763224,1.3170373017104282,15,13,10,0.05842631054146689,-0.15933241609609483,0.2657345435991087,2.2201998005757417,15,13,10,0.005893164824940219,-0.16917601169813115,0.17878377367453785,0.22394026334772832,9,17,12,1.868421052631579,0.7368421052631579,3.263157894736842,71.0,3,19,16
oracle_aabb,confirmation38,deepocsort,com3d_reciprocal_guard,geometry_reid_greedy_guard,38,released_sequence,10000,20260914,-0.2596611138226499,-0.4059524565456784,-0.1278006277976828,-9.867122325260695,3,13,22,-0.5042619077867089,-0.7891258346809968,-0.25882220268317246,-19.161952495894937,3,13,22,-0.34618206094587234,-0.5783354849864184,-0.1290726007067206,-13.15491831594315,3,16,19,5.394736842105263,2.236842105263158,9.421052631578947,205.0,0,16,22
oracle_aabb,confirmation38,deepocsort,com3d_reciprocal_guard,geometry_reid_hungarian,38,released_sequence,10000,20260914,-0.228810505878322,-0.3612695718556956,-0.109008282481089,-8.694799223376236,3,15,20,-0.44866030251534283,-0.6973427093261025,-0.21955320525028807,-17.049091495583028,3,15,20,-0.36953644103692906,-0.5926973229920998,-0.17466447479916533,-14.042384759403305,2,17,19,4.7105263157894735,1.9473684210526316,8.079605263157886,179.0,0,18,20
oracle_aabb,confirmation38,deepocsort,com3d_reciprocal_guard,aflink_cached_overlap_safe,38,released_sequence,10000,20260914,0.9896544280135536,0.46217555443805736,1.8039391312303568,37.606868264515036,29,3,6,1.9381667801871634,0.9585164848940421,3.388558386309275,73.65033764711221,29,3,6,1.710224988621534,0.9137826847419391,2.7594832619557894,64.98854956761829,31,4,3,-11.157894736842104,-15.789473684210526,-7.2631578947368425,-424.0,34,4,0
official_detector,all50,bytetrack,com3d_reciprocal_guard,no_refinement,50,released_sequence,10000,20260914,0.7535612268216972,0.49815370976457113,1.0268146072197715,37.67806134108486,38,3,9,1.4665901453914443,0.9751027544659553,1.9824764423990469,73.32950726957222,38,3,9,1.651060598727621,1.1998938351807764,2.126713815311162,82.55302993638105,41,5,4,-27.78,-39.1,-18.34,-1389.0,45,5,0
official_detector,all50,bytetrack,com3d_reciprocal_guard,geometry_greedy,50,released_sequence,10000,20260914,-0.23703421061052837,-0.5334440957639961,-0.01683042177003023,-11.851710530526418,16,7,27,-0.3878640590601812,-0.8488534674892305,-0.02932461017911211,-19.39320295300906,16,7,27,-0.7876449675279439,-1.4719578053697993,-0.32019709828300885,-39.38224837639719,7,13,30,20.54,11.379500000000002,31.780999999999988,1027.0,0,15,35
official_detector,all50,bytetrack,com3d_reciprocal_guard,geometry_reid_greedy_guard,50,released_sequence,10000,20260914,-0.3952871193844848,-0.7330955616809633,-0.15537991773056528,-19.76435596922424,7,8,35,-0.7359814729590434,-1.232915602729473,-0.34375557723970784,-36.79907364795217,7,8,35,-1.1366584408158786,-1.8514318947073067,-0.5986298405002605,-56.83292204079393,5,11,34,24.48,13.92,36.7,1224.0,0,12,38
official_detector,all50,bytetrack,com3d_reciprocal_guard,geometry_reid_hungarian,50,released_sequence,10000,20260914,-0.17878904159784115,-0.27046169881751597,-0.10219700937268154,-8.939452079892057,5,9,36,-0.3503959893799919,-0.5138804273802854,-0.20892652377108786,-17.519799468999594,5,9,36,-0.595609237169416,-0.8190915097348215,-0.39771661661708263,-29.7804618584708,2,12,36,10.6,5.74,16.34049999999999,530.0,1,13,36
official_detector,all50,bytetrack,com3d_reciprocal_guard,aflink_cached_overlap_safe,50,released_sequence,10000,20260914,0.671356825571582,0.4418777118360736,0.9141085545962864,33.5678412785791,40,3,7,1.3015201349050738,0.8800341244692269,1.7562413986364218,65.0760067452537,40,3,7,1.4348870561955926,1.0477795004987713,1.863722891184851,71.74435280977963,43,5,2,-27.24,-38.341,-17.94,-1362.0,45,5,0
