protocol,scope,tracker,method,metric,historical,cache_audit,absolute_difference,exact
official_detector,all_sequences,deepocsort,geometry_greedy,AssA,67.70948240172952,67.70948240172952,0.0,True
official_detector,all_sequences,deepocsort,geometry_greedy,IDF1,64.0072576166142,64.0072576166142,0.0,True
official_detector,all_sequences,deepocsort,geometry_greedy,IDSW,1008,1008,0.0,True
official_detector,all_sequences,deepocsort,geometry_greedy,MOTA,50.09258830316176,50.09258830316176,0.0,True
official_detector,all_sequences,deepocsort,geometry_greedy,TP,123517,123517,0.0,True
official_detector,all_sequences,deepocsort,geometry_greedy,FP,12281,12281,0.0,True
official_detector,all_sequences,deepocsort,geometry_greedy,FN,72677,72677,0.0,True
official_detector,all_sequences,deepocsort,geometry_greedy,predicted_boxes,135798,135798,0.0,True
official_detector,all_sequences,deepocsort,geometry_reid_hungarian,HOTA,54.36034383754584,54.360343837545834,7.105427357601002e-15,False
official_detector,all_sequences,deepocsort,geometry_reid_hungarian,AssA,67.95142270721477,67.95142270721477,0.0,True
official_detector,all_sequences,deepocsort,geometry_reid_hungarian,IDF1,64.17182438841735,64.17182438841735,0.0,True
official_detector,all_sequences,deepocsort,geometry_reid_hungarian,IDSW,957,957,0.0,True
official_detector,all_sequences,deepocsort,geometry_reid_hungarian,MOTA,50.12621862795186,50.126218627951864,7.105427357601002e-15,False
official_detector,all_sequences,deepocsort,geometry_reid_hungarian,TP,123517,123517,0.0,True
official_detector,all_sequences,deepocsort,geometry_reid_hungarian,FP,12281,12281,0.0,True
official_detector,all_sequences,deepocsort,geometry_reid_hungarian,FN,72677,72677,0.0,True
official_detector,all_sequences,deepocsort,geometry_reid_hungarian,predicted_boxes,135798,135798,0.0,True
official_detector,all_sequences,deepocsort,com3d_reciprocal_guard,HOTA,54.30897702017598,54.30897702017599,7.105427357601002e-15,False
official_detector,all_sequences,deepocsort,com3d_reciprocal_guard,AssA,67.83676799973767,67.83676799973769,1.4210854715202004e-14,False
official_detector,all_sequences,deepocsort,com3d_reciprocal_guard,IDF1,64.08300884293615,64.08300884293617,1.4210854715202004e-14,False
official_detector,all_sequences,deepocsort,com3d_reciprocal_guard,IDSW,1046,1046,0.0,True
official_detector,all_sequences,deepocsort,com3d_reciprocal_guard,MOTA,50.06578162693367,50.06578162693367,0.0,True
official_detector,all_sequences,deepocsort,com3d_reciprocal_guard,TP,123517,123517,0.0,True
official_detector,all_sequences,deepocsort,com3d_reciprocal_guard,FP,12281,12281,0.0,True
official_detector,all_sequences,deepocsort,com3d_reciprocal_guard,FN,72677,72677,0.0,True
official_detector,all_sequences,deepocsort,com3d_reciprocal_guard,predicted_boxes,135798,135798,0.0,True
