AssA,DetA,HOTA,IDF1,IDSW,MOTA,method,scene_group,stream_count,tracker
82.67355412172024,98.29822096588771,90.0572121351673,87.8314079812879,15,98.22223400596306,regr_final_no_motion,06,4,ocsort
90.44587682366083,98.29822096588771,94.19917179675697,93.63893974358707,15,98.22223400596306,regr_final_no_reciprocal,06,4,ocsort
82.67355412172024,98.29822096588771,90.0572121351673,87.8314079812879,15,98.22223400596306,regr_t,06,4,ocsort
90.0088996502549,98.29822096588771,93.9835553291145,93.46329610791398,11,98.24229821142052,regr_tg_old,06,4,ocsort
92.62303599786031,98.29822096588771,95.38467150113854,94.99097057416334,5,98.27299147117404,s2_h_cond_w3_endpoint_c50_r100,06,4,ocsort
88.69826750482713,96.62911458264615,92.22799188480064,94.04579920701704,10,99.74257333583947,geometry_greedy,07,4,bytetrack
91.65708533253817,96.62911458264615,93.9754619050472,96.39005097323414,9,99.74898359224972,geometry_reid_greedy,07,4,bytetrack
89.06019590947352,96.62911458264615,92.45004224484796,93.43565148704273,12,99.72975282301896,no_refinement,07,4,bytetrack
92.07456799787106,96.62911458264615,94.2105709780017,96.71760395974665,8,99.75539384865998,partial_hungarian_u080,07,4,bytetrack
92.07456799787106,96.62911458264615,94.2105709780017,96.71760395974665,8,99.75539384865998,partial_hungarian_u100,07,4,bytetrack
90.41797051936446,96.62911458264615,93.26176079604996,94.98349991350388,11,99.7361630794292,regr_final,07,4,bytetrack
90.41797051936446,96.62911458264615,93.26176079604996,94.98349991350388,11,99.7361630794292,regr_final_motion_always,07,4,bytetrack
90.41797051936446,96.62911458264615,93.26176079604996,94.98349991350388,11,99.7361630794292,regr_final_no_gap,07,4,bytetrack
91.65708533253817,96.62911458264615,93.9754619050472,96.39005097323414,9,99.74898359224972,regr_final_no_motion,07,4,bytetrack
90.41797051936446,96.62911458264615,93.26176079604996,94.98349991350388,11,99.7361630794292,regr_final_no_reciprocal,07,4,bytetrack
91.65708533253817,96.62911458264615,93.9754619050472,96.39005097323414,9,99.74898359224972,regr_t,07,4,bytetrack
90.68526279222243,96.62911458264615,93.417880211277,95.59364763347818,10,99.74257333583947,regr_tg_old,07,4,bytetrack
90.36536190353718,96.62911458264615,93.23103275931047,95.5358441652701,9,99.74898359224972,s2_h_cond_w3_endpoint_c50_r100,07,4,bytetrack
91.00916831046634,99.44254703538557,94.78685999215314,93.95617070281045,10,99.378444471283,geometry_greedy,07,4,ocsort
91.550999798118,99.44254703538557,95.11796942123047,94.63960074794262,10,99.378444471283,geometry_reid_greedy,07,4,ocsort
91.72495366084554,99.44254703538557,95.2231367884586,93.35655755000582,12,99.36562395846249,no_refinement,07,4,ocsort
96.59937518873116,99.44254703538557,97.9773912613934,98.18570003872276,6,99.40408549692403,partial_hungarian_u080,07,4,ocsort
96.59937518873116,99.44254703538557,97.9773912613934,98.18570003872276,6,99.40408549692403,partial_hungarian_u100,07,4,ocsort
93.6271199910541,99.44254703538557,96.33975348788631,95.80014233401613,10,99.378444471283,regr_final,07,4,ocsort
93.6271199910541,99.44254703538557,96.33975348788631,95.80014233401613,10,99.378444471283,regr_final_motion_always,07,4,ocsort
93.6271199910541,99.44254703538557,96.33975348788631,95.80014233401613,10,99.378444471283,regr_final_no_gap,07,4,ocsort
91.550999798118,99.44254703538557,95.11796942123047,94.63960074794262,10,99.378444471283,regr_final_no_motion,07,4,ocsort
93.6271199910541,99.44254703538557,96.33975348788631,95.80014233401613,10,99.378444471283,regr_final_no_reciprocal,07,4,ocsort
91.550999798118,99.44254703538557,95.11796942123047,94.63960074794262,10,99.378444471283,regr_t,07,4,ocsort
91.8785870553058,99.44254703538557,95.31557213396694,94.63960074794262,10,99.378444471283,regr_tg_old,07,4,ocsort
96.19832744637186,99.44254703538557,97.7632213787077,97.95359172150806,6,99.40408549692403,s2_h_cond_w3_endpoint_c50_r100,07,4,ocsort
89.92621877255115,97.35743876527664,93.48000958653037,94.43255573172351,60,99.50596609295636,geometry_greedy,09,4,bytetrack
90.25490665565694,97.35743876527664,93.65737191671565,94.70084099306568,57,99.50922722658694,geometry_reid_greedy,09,4,bytetrack
89.22955131044165,97.35743876527664,93.10663073041776,93.70029568407841,71,99.4939753655137,no_refinement,09,4,bytetrack
90.495827628705,97.35743876527664,93.78625479630745,94.90698318911112,55,99.5113269200317,partial_hungarian_u080,09,4,bytetrack
90.495827628705,97.35743876527664,93.78625479630745,94.90698318911112,55,99.5113269200317,partial_hungarian_u100,09,4,bytetrack
90.49517361317538,97.35743876527664,93.78585503606192,94.91119017270388,57,99.50922722658694,regr_final,09,4,bytetrack
90.55944153709015,97.35743876527664,93.82089814986713,94.84484012381438,58,99.5080657864011,regr_final_motion_always,09,4,bytetrack
90.49517361317538,97.35743876527664,93.78585503606192,94.91119017270388,57,99.50922722658694,regr_final_no_gap,09,4,bytetrack
90.25490665565694,97.35743876527664,93.65737191671565,94.70084099306568,57,99.50922722658694,regr_final_no_motion,09,4,bytetrack
90.49517361317538,97.35743876527664,93.78585503606192,94.91119017270388,57,99.50922722658694,regr_final_no_reciprocal,09,4,bytetrack
90.25490665565694,97.35743876527664,93.65737191671565,94.70084099306568,57,99.50922722658694,regr_t,09,4,bytetrack
90.40086302210423,97.35743876527664,93.73555636198174,94.77551495183724,56,99.51027707330933,regr_tg_old,09,4,bytetrack
90.5335465811807,97.35743876527664,93.80636118308402,94.90698318911112,55,99.5113269200317,s2_h_cond_w3_endpoint_c50_r100,09,4,bytetrack
89.15539549598917,98.8493452579585,93.73684752363978,93.13685350577686,73,98.77970072478101,geometry_greedy,09,4,ocsort
91.423281485654,98.8493452579585,94.9852356814069,94.57509010986645,58,98.79645276678778,geometry_reid_greedy,09,4,ocsort
89.06918074637362,98.8493452579585,93.70823148509027,92.395147975246,85,98.76688729790023,no_refinement,09,4,ocsort
91.69622921041645,98.8493452579585,95.1306096071288,94.70671959976691,55,98.79949071349147,partial_hungarian_u080,09,4,ocsort
91.69622921041645,98.8493452579585,95.1306096071288,94.70671959976691,55,98.79949071349147,partial_hungarian_u100,09,4,ocsort
92.18853598524805,98.8493452579585,95.39738220006669,94.97284596117703,55,98.79971390041835,regr_final,09,4,ocsort
92.18853598524805,98.8493452579585,95.39738220006669,94.97284596117703,55,98.79971390041835,regr_final_motion_always,09,4,ocsort
92.18853598524805,98.8493452579585,95.39738220006669,94.97284596117703,55,98.79971390041835,regr_final_no_gap,09,4,ocsort
91.51474021717706,98.8493452579585,95.03464756579632,94.60888388336369,57,98.79750261351015,regr_final_no_motion,09,4,ocsort
92.18853598524805,98.8493452579585,95.39738220006669,94.97284596117703,55,98.79971390041835,regr_final_no_reciprocal,09,4,ocsort
91.51474021717706,98.8493452579585,95.03464756579632,94.60888388336369,57,98.79750261351015,regr_t,09,4,ocsort
91.61694754998807,98.8493452579585,95.09338568529708,94.51374453415534,58,98.79645474696642,regr_tg_old,09,4,ocsort
92.24898486542565,98.8493452579585,95.43260746981025,95.02159453361185,53,98.80181557404177,s2_h_cond_w3_endpoint_c50_r100,09,4,ocsort
