AssA,DetA,FN,FP,Frag,HOTA,IDF1,IDSW,MOTA,TP,aggregation,invalid_class_instances,invalid_sequences,method,predicted_boxes,scope,sequence_count,tracker,valid_gt_boxes,valid_output
,,,,,,,,,,equal_sequence_mean_metrics_total_counts,1,1,aflink_official,,legacy12,12,deepocsort,,False
,,,,,,,,,,equal_sequence_mean_metrics_total_counts,3,3,aflink_official,,confirmation38,38,deepocsort,,False
84.53797796291823,81.59961443625225,22130,0,2155,82.59626253428775,83.67010459435745,1377,80.80441868738944,174064,equal_sequence_mean_metrics_total_counts,0,0,com3d_reciprocal_guard,174064,all_sequences,50,deepocsort,196194,True
78.76146431439845,67.1069007003687,3851,0,283,71.59961755341676,71.68416994091179,167,65.94318155613212,26815,equal_sequence_mean_metrics_total_counts,0,0,com3d_reciprocal_guard,26815,legacy12,12,deepocsort,30666,True
86.36214016771397,86.17626087916285,18279,0,1872,86.0688872650891,87.4551365901824,1210,85.49744093936545,147249,equal_sequence_mean_metrics_total_counts,0,0,com3d_reciprocal_guard,147249,confirmation38,38,deepocsort,165528,True
84.52381021823876,81.59909382336265,22130,0,2155,82.58391605328,83.69335494546962,1294,80.85773863919069,174064,equal_sequence_mean_metrics_total_counts,0,0,geometry_greedy,174064,all_sequences,50,deepocsort,196194,True
78.88744869494856,67.1069007003687,3851,0,283,71.65792699102707,71.79970809249143,155,66.05378987606456,26815,equal_sequence_mean_metrics_total_counts,0,0,geometry_greedy,26815,legacy12,12,deepocsort,30666,True
86.3037138571725,86.17557586220286,18279,0,1872,86.0342283887283,87.44924342535745,1139,85.53266982754633,147249,equal_sequence_mean_metrics_total_counts,0,0,geometry_greedy,147249,confirmation38,38,deepocsort,165528,True
84.9282938140425,81.60026881091999,22130,0,2155,82.79455875979602,84.00150888501939,1174,80.89268790675871,174064,equal_sequence_mean_metrics_total_counts,0,0,geometry_reid_hungarian,174064,all_sequences,50,deepocsort,196194,True
78.96702273611756,67.1069007003687,3851,0,283,71.70128522441992,71.89482242205297,143,66.03587612339004,26815,equal_sequence_mean_metrics_total_counts,0,0,geometry_reid_hungarian,26815,legacy12,12,deepocsort,30666,True
86.81080047022931,86.17712189846249,18279,0,1872,86.29769777096742,87.82467303121932,1031,85.58431268045409,147249,equal_sequence_mean_metrics_total_counts,0,0,geometry_reid_hungarian,147249,confirmation38,38,deepocsort,165528,True
82.06275997135361,81.60219151010966,22130,0,2155,81.32105008043304,81.48609392004401,1962,80.27084974644677,174064,equal_sequence_mean_metrics_total_counts,0,0,no_refinement,174064,all_sequences,50,deepocsort,196194,True
76.32327232979347,67.1069007003687,3851,0,283,70.34791554866588,69.83953537220113,286,65.22753948570173,26815,equal_sequence_mean_metrics_total_counts,0,0,no_refinement,26815,legacy12,12,deepocsort,30666,True
83.87522975289892,86.17965176581731,18279,0,1872,84.78625045888583,85.16395451409967,1676,85.02136877615574,147249,equal_sequence_mean_metrics_total_counts,0,0,no_refinement,147249,confirmation38,38,deepocsort,165528,True
