bootstrap_ci95_lower,bootstrap_ci95_upper,bootstrap_repeats,bootstrap_seed,improved,max_delta,mean_delta,median_delta,method,metric,min_delta,scope,sequence_count,tracker,unchanged,worsened
-0.011834494262834954,0.738605130588616,10000,20260914,7,7.643758765778408,0.27195205423247437,0.0,aflink_official,IDF1,-0.7335959788072302,confirmation38,37,ocsort,28,2
-0.972972972972973,-0.16216216216216217,10000,20260914,7,0.0,-0.5405405405405406,0.0,aflink_official,IDSW,-5.0,confirmation38,37,ocsort,30,0
0.8642055805555384,2.1960120101300484,10000,20260914,33,10.909585007291284,1.464812958941042,0.8403280243099047,com3d_reciprocal_guard,AssA,-1.3537344323278404,confirmation38,38,ocsort,0,5
0.3447778750168648,0.8891828179748497,10000,20260914,33,4.8638340205536394,0.579165152300912,0.3019703881575708,com3d_reciprocal_guard,HOTA,-0.36083122961582603,confirmation38,38,ocsort,0,5
1.0705626874527976,2.044572363193053,10000,20260914,36,7.8892005610098295,1.5138662700318029,1.1335005935698632,com3d_reciprocal_guard,IDF1,-0.23282887077997572,confirmation38,38,ocsort,0,2
-26.842105263157894,-13.999342105263167,10000,20260914,37,0.0,-19.973684210526315,-11.0,com3d_reciprocal_guard,IDSW,-86.0,confirmation38,38,ocsort,1,0
0.6852171576111145,3.1089643846968618,10000,20260914,28,21.70539076867554,1.6976960861019734,0.5280090498898993,geometry_greedy,AssA,-1.4439759235213998,confirmation38,38,ocsort,0,10
0.27065169340536466,0.9357984330484707,10000,20260914,28,4.866486118541189,0.5620157993457887,0.2267603688670956,geometry_greedy,HOTA,-0.5435399718341785,confirmation38,38,ocsort,0,10
1.0884400541591697,2.0785416223130584,10000,20260914,36,7.924263674614309,1.5499999912986526,1.279362392838081,geometry_greedy,IDF1,-0.46565774155995854,confirmation38,38,ocsort,0,2
-34.65855263157894,-16.94736842105263,10000,20260914,37,0.0,-25.210526315789473,-14.0,geometry_greedy,IDSW,-118.0,confirmation38,38,ocsort,1,0
1.370797909053334,3.2446710036556197,10000,20260914,36,13.328351477153905,2.2282593866056595,1.2735937625248184,geometry_reid_hungarian,AssA,-1.188695776404174,confirmation38,38,ocsort,0,2
0.5345527416114253,1.1364406015230444,10000,20260914,35,4.870075056504355,0.8062722879538355,0.5168950080733552,geometry_reid_hungarian,HOTA,-0.318812279397811,confirmation38,38,ocsort,0,3
1.61106587461761,2.810588594169559,10000,20260914,37,7.994389901823283,2.1803191868441876,1.8086975242421595,geometry_reid_hungarian,IDF1,-0.46565774155995854,confirmation38,38,ocsort,0,1
-41.44736842105263,-21.342105263157894,10000,20260914,37,0.0,-30.842105263157894,-18.5,geometry_reid_hungarian,IDSW,-125.0,confirmation38,38,ocsort,1,0
-0.12267600769056486,0.0,10000,20260914,0,0.0,-0.0565884982065595,0.0,aflink_official,AssA,-0.31700873060921,legacy12,12,bytetrack,9,3
