bootstrap_ci95_lower,bootstrap_ci95_upper,bootstrap_repeats,bootstrap_seed,improved,max_delta,mean_delta,median_delta,method,metric,min_delta,scope,sequence_count,tracker,unchanged,worsened
-97.5005,-49.33950000000001,10000,20260914,46,0.0,-71.88,-46.5,geometry_reid_hungarian,IDSW,-410.0,all_sequences,50,bytetrack,4,0
0.1537279244227307,0.770585086373849,10000,20260914,13,4.925904889760915,0.4339889554447816,0.0,aflink_official,AssA,-0.40486133511832634,all_sequences,46,deepocsort,28,5
0.08171937188887762,0.41308575644239187,10000,20260914,13,2.529652409345289,0.23309748167492628,0.0,aflink_official,HOTA,-0.21077525163019573,all_sequences,46,deepocsort,28,5
0.19308434963367535,0.7584439391986286,10000,20260914,15,4.8966267682263265,0.4500391521566899,0.0,aflink_official,IDF1,-0.25621615326384983,all_sequences,46,deepocsort,30,1
-1.4130434782608696,-0.32608695652173914,10000,20260914,15,0.0,-0.782608695652174,0.0,aflink_official,IDSW,-12.0,all_sequences,46,deepocsort,31,0
1.3110851819738902,3.981684170435165,10000,20260914,38,26.834052421150474,2.475217991564632,1.2229331690941265,com3d_reciprocal_guard,AssA,-1.881739214179973,all_sequences,50,deepocsort,5,7
0.6489762613025837,2.099243868697413,10000,20260914,38,15.395071972135455,1.2752124538546952,0.6230055270593908,com3d_reciprocal_guard,HOTA,-1.010559127445319,all_sequences,50,deepocsort,5,7
1.316715854635521,3.274829097279788,10000,20260914,39,20.240963855421697,2.1840106743134284,1.15737624515274,com3d_reciprocal_guard,IDF1,-0.7074363721778525,all_sequences,50,deepocsort,8,3
-15.700499999999998,-8.22,10000,20260914,42,0.0,-11.7,-7.0,com3d_reciprocal_guard,IDSW,-67.0,all_sequences,50,deepocsort,8,0
1.2170673573033657,4.043112048063683,10000,20260914,37,26.834052421150474,2.4610502468851427,1.234277959958554,geometry_greedy,AssA,-3.6779475205831176,all_sequences,50,deepocsort,5,8
0.6013139265699886,2.11965200613705,10000,20260914,37,15.395071972135455,1.2628659728469576,0.6491451526344179,geometry_greedy,HOTA,-1.982644382063583,all_sequences,50,deepocsort,5,8
1.286410501840204,3.356063533101887,10000,20260914,38,20.240963855421697,2.2072610254255873,1.2797420027727924,geometry_greedy,IDF1,-2.2383728963439893,all_sequences,50,deepocsort,8,4
-18.400499999999997,-9.1,10000,20260914,42,0.0,-13.36,-6.5,geometry_greedy,IDSW,-85.0,all_sequences,50,deepocsort,8,0
1.697699884495934,4.388999953762064,10000,20260914,41,26.834052421150474,2.8655338426888766,1.994604053490761,geometry_reid_hungarian,AssA,-2.8358078446003674,all_sequences,50,deepocsort,5,4
0.8476387159951869,2.2984832045421304,10000,20260914,41,15.395071972135455,1.4735086793629764,1.0397537014865676,geometry_reid_hungarian,HOTA,-1.519028849938266,all_sequences,50,deepocsort,5,4
1.6267319355668322,3.6240879669686255,10000,20260914,40,20.240963855421697,2.5154149649753763,1.8152710431237864,geometry_reid_hungarian,IDF1,-1.6746345372647653,all_sequences,50,deepocsort,8,2
-22.18,-10.38,10000,20260914,43,0.0,-15.76,-7.5,geometry_reid_hungarian,IDSW,-101.0,all_sequences,50,deepocsort,7,0
0.07519379791335494,1.2192686962533805,10000,20260914,9,13.257972714057424,0.5300276104063981,0.0,aflink_official,AssA,-1.6599174537239065,all_sequences,47,ocsort,35,3
0.04567204080536649,0.5470813274248322,10000,20260914,9,6.033628815250083,0.24109881285406512,0.0,aflink_official,HOTA,-0.4899099841456902,all_sequences,47,ocsort,35,3
0.08525469552028896,0.8224190519465141,10000,20260914,10,8.66197183098592,0.3802004014327205,0.0,aflink_official,IDF1,-0.6189213085764749,all_sequences,47,ocsort,36,1
-1.2765957446808511,-0.2765957446808511,10000,20260914,10,0.0,-0.723404255319149,0.0,aflink_official,IDSW,-8.0,all_sequences,47,ocsort,37,0
1.434824768111155,3.1207200779771247,10000,20260914,44,14.576793041114065,2.208221583675083,1.3493134482760052,com3d_reciprocal_guard,AssA,-1.0427664804680035,all_sequences,50,ocsort,2,4
0.6558828393024703,1.4096866540753876,10000,20260914,44,6.608101024846974,1.0000029472778331,0.5902571541816641,com3d_reciprocal_guard,HOTA,-0.43721425295396443,all_sequences,50,ocsort,2,4
1.7122166039240299,2.9410895088432274,10000,20260914,46,9.964788732394368,2.2900271737348112,1.8162842979933576,com3d_reciprocal_guard,IDF1,-0.44692737430167284,all_sequences,50,ocsort,3,1
-43.200500000000005,-25.039500000000007,10000,20260914,47,0.0,-33.56,-21.5,com3d_reciprocal_guard,IDSW,-123.0,all_sequences,50,ocsort,3,0
1.3321251665021125,3.358484973971784,10000,20260914,43,16.967665171895238,2.2509908686399522,1.0614739834705915,geometry_greedy,AssA,-1.232185721564747,all_sequences,50,ocsort,2,5
