AssA,DetA,FN,FP,Frag,HOTA,IDF1,IDSW,MOTA,TP,family,invalid_class_instances,method,predicted_boxes,sequence,tracker,valid_gt_boxes,valid_output
63.34326622976408,60.821539670938485,2468,768,260,62.01285760238924,72.25557025129719,368,66.25152167805975,8211,confirmation38,0,no_refinement,8979,data37-11,bytetrack,10679,True
64.97299623107668,60.7925024561165,2468,768,260,62.804136487359244,75.85715739139282,224,67.5999625433093,8211,confirmation38,0,regr_t_reliable_motion_min5,8979,data37-11,bytetrack,10679,True
64.97482361391822,60.7925024561165,2468,768,260,62.80503374948188,75.85715739139282,224,67.5999625433093,8211,confirmation38,0,regr_temporal_risk_05,8979,data37-11,bytetrack,10679,True
64.75635155892422,60.81163901253844,2468,768,260,62.70503034812877,74.41245294536576,317,66.7290944845023,8211,confirmation38,0,regr_v1,8979,data37-11,bytetrack,10679,True
84.48878743801046,75.73041933206493,1398,367,146,79.80603591125173,89.51640674964332,26,83.22876673845866,9281,confirmation38,0,geometry_reid_greedy_guard,9648,data37-11,deepocsort,10679,True
83.72989255499228,75.73041933206493,1398,367,146,79.42209029033553,87.76504157032518,43,83.0695758029778,9281,confirmation38,0,no_refinement,9648,data37-11,deepocsort,10679,True
85.44434395762005,75.73041933206493,1398,367,146,80.25403440992109,90.0575589117922,27,83.21940256578331,9281,confirmation38,0,regr_t_reliable_motion_min5,9648,data37-11,deepocsort,10679,True
84.48878743801046,75.73041933206493,1398,367,146,79.80603591125173,89.51640674964332,26,83.22876673845866,9281,confirmation38,0,regr_temporal_risk_05,9648,data37-11,deepocsort,10679,True
84.07624385977059,75.73041933206493,1398,367,146,79.60570686888498,89.1130024105869,28,83.21003839310796,9281,confirmation38,0,regr_v1,9648,data37-11,deepocsort,10679,True
70.6811694085628,64.86604856840526,3023,297,164,67.64021552049392,72.58480034349506,112,67.86215937821893,7656,confirmation38,0,geometry_reid_greedy_guard,7953,data37-11,ocsort,10679,True
69.35421762002501,64.86604856840526,3023,297,164,66.99400562752442,70.9424645770717,145,67.55314167993258,7656,confirmation38,0,no_refinement,7953,data37-11,ocsort,10679,True
70.78794197594964,64.86604856840526,3023,297,164,67.69212869643265,72.59553456419064,111,67.87152355089428,7656,confirmation38,0,regr_t_reliable_motion_min5,7953,data37-11,ocsort,10679,True
70.71398306565571,64.86604856840526,3023,297,164,67.65672129846561,72.59553456419064,111,67.87152355089428,7656,confirmation38,0,regr_temporal_risk_05,7953,data37-11,ocsort,10679,True
70.86394546716612,64.86604856840526,3023,297,164,67.72763061320288,72.48819235723487,122,67.7685176514655,7656,confirmation38,0,regr_v1,7953,data37-11,ocsort,10679,True
77.5121350289084,60.349872528197665,463,322,9,68.21090060181847,79.29717341482048,7,61.06194690265486,1571,confirmation38,0,geometry_reid_greedy_guard,1893,data37-12,bytetrack,2034,True
77.85199319139758,60.349872528197665,463,322,9,68.34955422959992,79.04252610134964,9,60.96361848574238,1571,confirmation38,0,no_refinement,1893,data37-12,bytetrack,2034,True
77.5121350289084,60.349872528197665,463,322,9,68.21090060181847,79.29717341482048,7,61.06194690265486,1571,confirmation38,0,regr_t_reliable_motion_min5,1893,data37-12,bytetrack,2034,True
77.5121350289084,60.349872528197665,463,322,9,68.21090060181847,79.29717341482048,7,61.06194690265486,1571,confirmation38,0,regr_temporal_risk_05,1893,data37-12,bytetrack,2034,True
77.5121350289084,60.349872528197665,463,322,9,68.21090060181847,79.29717341482048,7,61.06194690265486,1571,confirmation38,0,regr_v1,1893,data37-12,bytetrack,2034,True
87.54015959693739,74.91058723717593,203,147,18,80.81898708373309,90.62811565304088,1,82.7433628318584,1831,confirmation38,0,geometry_reid_greedy_guard,1978,data37-12,deepocsort,2034,True
87.3186911876156,74.91058723717593,203,147,18,80.71576510897847,90.82751744765703,2,82.69419862340216,1831,confirmation38,0,no_refinement,1978,data37-12,deepocsort,2034,True
87.66920917005416,74.91058723717593,203,147,18,80.88032707571855,91.12662013958126,1,82.7433628318584,1831,confirmation38,0,regr_t_reliable_motion_min5,1978,data37-12,deepocsort,2034,True
87.54015959693739,74.91058723717593,203,147,18,80.81898708373309,90.62811565304088,1,82.7433628318584,1831,confirmation38,0,regr_temporal_risk_05,1978,data37-12,deepocsort,2034,True
87.54015959693739,74.91058723717593,203,147,18,80.81898708373309,90.62811565304088,1,82.7433628318584,1831,confirmation38,0,regr_v1,1978,data37-12,deepocsort,2034,True
88.48991232252229,71.76975956855705,338,151,5,79.6197043988195,87.03942282916775,3,75.81120943952803,1696,confirmation38,0,geometry_reid_greedy_guard,1847,data37-12,ocsort,2034,True
88.40129679228433,71.76975956855705,338,151,5,79.5792399128225,86.62715794898223,10,75.46705998033431,1696,confirmation38,0,no_refinement,1847,data37-12,ocsort,2034,True
