accepted_correct,accepted_false,accepted_unknown,all_accepted_coverage,eligible_source_tracklets,known_link_precision,method,scope,source_size_bin,tracker
36,25,0,0.08367626886145405,729,0.5901639344262295,geometry_greedy,confirmation38,small_32sq_to_96sq,deepocsort
464,517,0,0.433112582781457,2265,0.47298674821610603,geometry_greedy,confirmation38,tiny_lt_32sq,deepocsort
36,23,0,0.08093278463648834,729,0.6101694915254238,geometry_reciprocal_guard,confirmation38,small_32sq_to_96sq,deepocsort
404,339,0,0.3280353200883002,2265,0.5437415881561238,geometry_reciprocal_guard,confirmation38,tiny_lt_32sq,deepocsort
35,21,0,0.07681755829903979,729,0.625,geometry_reid_greedy_guard,confirmation38,small_32sq_to_96sq,deepocsort
613,366,0,0.43222958057395144,2265,0.6261491317671093,geometry_reid_greedy_guard,confirmation38,tiny_lt_32sq,deepocsort
36,20,0,0.07681755829903979,729,0.6428571428571429,geometry_reid_hungarian,confirmation38,small_32sq_to_96sq,deepocsort
585,375,0,0.423841059602649,2265,0.609375,geometry_reid_hungarian,confirmation38,tiny_lt_32sq,deepocsort
36,20,0,0.07681755829903979,729,0.6428571428571429,geometry_reid_reciprocal_no_guard,confirmation38,small_32sq_to_96sq,deepocsort
418,322,0,0.32671081677704195,2265,0.5648648648648649,geometry_reid_reciprocal_no_guard,confirmation38,tiny_lt_32sq,deepocsort
27,14,0,0.030347890451517395,1351,0.6585365853658537,aflink_official,confirmation38,small_32sq_to_96sq,ocsort
11,9,0,0.005245213742460005,3813,0.55,aflink_official,confirmation38,tiny_lt_32sq,ocsort
0,1,0,0.1,10,0.0,com3d_reciprocal_guard,confirmation38,larger_ge_96sq,ocsort
195,74,0,0.1991117690599556,1351,0.724907063197026,com3d_reciprocal_guard,confirmation38,small_32sq_to_96sq,ocsort
988,620,0,0.4217151848937844,3813,0.6144278606965174,com3d_reciprocal_guard,confirmation38,tiny_lt_32sq,ocsort
210,118,0,0.24278312361213916,1351,0.6402439024390244,geometry_greedy,confirmation38,small_32sq_to_96sq,ocsort
1093,1179,0,0.5958562811434566,3813,0.4810739436619718,geometry_greedy,confirmation38,tiny_lt_32sq,ocsort
188,106,0,0.21761658031088082,1351,0.6394557823129252,geometry_reciprocal_guard,confirmation38,small_32sq_to_96sq,ocsort
912,686,0,0.4190925780225544,3813,0.5707133917396746,geometry_reciprocal_guard,confirmation38,tiny_lt_32sq,ocsort
0,1,0,0.1,10,0.0,geometry_reid_greedy_guard,confirmation38,larger_ge_96sq,ocsort
231,75,0,0.22649888971132495,1351,0.7549019607843137,geometry_reid_greedy_guard,confirmation38,small_32sq_to_96sq,ocsort
1650,621,0,0.5955940204563336,3813,0.726552179656539,geometry_reid_greedy_guard,confirmation38,tiny_lt_32sq,ocsort
0,1,0,0.1,10,0.0,geometry_reid_hungarian,confirmation38,larger_ge_96sq,ocsort
217,71,0,0.21317542561065878,1351,0.7534722222222222,geometry_reid_hungarian,confirmation38,small_32sq_to_96sq,ocsort
1601,627,0,0.5843168109100446,3813,0.7185816876122083,geometry_reid_hungarian,confirmation38,tiny_lt_32sq,ocsort
0,1,0,0.1,10,0.0,geometry_reid_reciprocal_no_guard,confirmation38,larger_ge_96sq,ocsort
195,74,0,0.1991117690599556,1351,0.724907063197026,geometry_reid_reciprocal_no_guard,confirmation38,small_32sq_to_96sq,ocsort
988,620,0,0.4217151848937844,3813,0.6144278606965174,geometry_reid_reciprocal_no_guard,confirmation38,tiny_lt_32sq,ocsort
2,8,0,0.01658374792703151,603,0.2,aflink_official,legacy12,small_32sq_to_96sq,bytetrack
36,34,84,0.25538971807628524,603,0.5142857142857142,com3d_reciprocal_guard,legacy12,small_32sq_to_96sq,bytetrack
21,12,501,0.3850036049026676,1387,0.6363636363636364,com3d_reciprocal_guard,legacy12,tiny_lt_32sq,bytetrack
0,0,1,0.1,10,,geometry_greedy,legacy12,larger_ge_96sq,bytetrack
41,65,122,0.3781094527363184,603,0.3867924528301887,geometry_greedy,legacy12,small_32sq_to_96sq,bytetrack
27,19,687,0.528478731074261,1387,0.5869565217391305,geometry_greedy,legacy12,tiny_lt_32sq,bytetrack
0,0,1,0.1,10,,geometry_reciprocal_guard,legacy12,larger_ge_96sq,bytetrack
35,39,95,0.2802653399668325,603,0.47297297297297297,geometry_reciprocal_guard,legacy12,small_32sq_to_96sq,bytetrack
21,13,501,0.3857245854361932,1387,0.6176470588235294,geometry_reciprocal_guard,legacy12,tiny_lt_32sq,bytetrack
48,53,103,0.3383084577114428,603,0.4752475247524752,geometry_reid_greedy_guard,legacy12,small_32sq_to_96sq,bytetrack
34,16,669,0.5183850036049027,1387,0.68,geometry_reid_greedy_guard,legacy12,tiny_lt_32sq,bytetrack
41,45,100,0.30845771144278605,603,0.47674418604651164,geometry_reid_hungarian,legacy12,small_32sq_to_96sq,bytetrack
25,14,637,0.48738284066330206,1387,0.6410256410256411,geometry_reid_hungarian,legacy12,tiny_lt_32sq,bytetrack
36,34,84,0.25538971807628524,603,0.5142857142857142,geometry_reid_reciprocal_no_guard,legacy12,small_32sq_to_96sq,bytetrack
21,12,501,0.3850036049026676,1387,0.6363636363636364,geometry_reid_reciprocal_no_guard,legacy12,tiny_lt_32sq,bytetrack
0,1,0,0.0049261083743842365,203,0.0,aflink_official,legacy12,small_32sq_to_96sq,deepocsort
1,2,0,0.007263922518159807,413,0.3333333333333333,aflink_official,legacy12,tiny_lt_32sq,deepocsort
8,3,0,0.054187192118226604,203,0.7272727272727273,com3d_reciprocal_guard,legacy12,small_32sq_to_96sq,deepocsort
113,26,0,0.3365617433414044,413,0.8129496402877698,com3d_reciprocal_guard,legacy12,tiny_lt_32sq,deepocsort
9,5,0,0.06896551724137931,203,0.6428571428571429,geometry_greedy,legacy12,small_32sq_to_96sq,deepocsort
119,38,0,0.3801452784503632,413,0.7579617834394905,geometry_greedy,legacy12,tiny_lt_32sq,deepocsort
9,4,0,0.06403940886699508,203,0.6923076923076923,geometry_reciprocal_guard,legacy12,small_32sq_to_96sq,deepocsort
111,28,0,0.3365617433414044,413,0.7985611510791367,geometry_reciprocal_guard,legacy12,tiny_lt_32sq,deepocsort
9,3,0,0.059113300492610835,203,0.75,geometry_reid_greedy_guard,legacy12,small_32sq_to_96sq,deepocsort
135,21,0,0.37772397094430993,413,0.8653846153846154,geometry_reid_greedy_guard,legacy12,tiny_lt_32sq,deepocsort
9,3,0,0.059113300492610835,203,0.75,geometry_reid_hungarian,legacy12,small_32sq_to_96sq,deepocsort
135,20,0,0.37530266343825663,413,0.8709677419354839,geometry_reid_hungarian,legacy12,tiny_lt_32sq,deepocsort
8,3,0,0.054187192118226604,203,0.7272727272727273,geometry_reid_reciprocal_no_guard,legacy12,small_32sq_to_96sq,deepocsort
113,26,0,0.3365617433414044,413,0.8129496402877698,geometry_reid_reciprocal_no_guard,legacy12,tiny_lt_32sq,deepocsort
1,5,0,0.0091324200913242,657,0.16666666666666666,aflink_official,legacy12,small_32sq_to_96sq,ocsort
126,116,0,0.3683409436834094,657,0.5206611570247934,com3d_reciprocal_guard,legacy12,small_32sq_to_96sq,ocsort
352,88,0,0.48034934497816595,916,0.8,com3d_reciprocal_guard,legacy12,tiny_lt_32sq,ocsort
129,193,0,0.4901065449010654,657,0.40062111801242234,geometry_greedy,legacy12,small_32sq_to_96sq,ocsort
370,190,0,0.611353711790393,916,0.6607142857142857,geometry_greedy,legacy12,tiny_lt_32sq,ocsort
117,140,0,0.3911719939117199,657,0.45525291828793774,geometry_reciprocal_guard,legacy12,small_32sq_to_96sq,ocsort
337,99,0,0.4759825327510917,916,0.7729357798165137,geometry_reciprocal_guard,legacy12,tiny_lt_32sq,ocsort
178,117,0,0.4490106544901065,657,0.6033898305084746,geometry_reid_greedy_guard,legacy12,small_32sq_to_96sq,ocsort
482,69,0,0.601528384279476,916,0.8747731397459165,geometry_reid_greedy_guard,legacy12,tiny_lt_32sq,ocsort
167,112,0,0.4246575342465753,657,0.5985663082437276,geometry_reid_hungarian,legacy12,small_32sq_to_96sq,ocsort
504,45,0,0.5993449781659389,916,0.9180327868852459,geometry_reid_hungarian,legacy12,tiny_lt_32sq,ocsort
126,116,0,0.3683409436834094,657,0.5206611570247934,geometry_reid_reciprocal_no_guard,legacy12,small_32sq_to_96sq,ocsort
352,88,0,0.48034934497816595,916,0.8,geometry_reid_reciprocal_no_guard,legacy12,tiny_lt_32sq,ocsort
