accepted_correct,accepted_false,accepted_known,accepted_total,accepted_unknown,all_accepted_coverage,appearance_threshold,eligible_source_tracklets,ground_truth_use,known_link_coverage,known_link_error_rate,known_link_precision,method,protocol,scope,tracker
192,36,228,1931,1703,0.33373660559972346,0.1,5786,post-hoc edge labels only; grid is descriptive and not selected,0.0394054614586934,0.15789473684210525,0.8421052631578947,controlled_cost_reciprocal,official_detector,all_sequences,ocsort
201,60,261,2069,1808,0.35758727964051157,0.15,5786,post-hoc edge labels only; grid is descriptive and not selected,0.04510888351192534,0.22988505747126436,0.7701149425287356,controlled_cost_reciprocal,official_detector,all_sequences,ocsort
207,75,282,2154,1872,0.37227791220186657,0.2,5786,post-hoc edge labels only; grid is descriptive and not selected,0.04873833390943657,0.26595744680851063,0.7340425531914894,controlled_cost_reciprocal,official_detector,all_sequences,ocsort
206,86,292,2214,1922,0.3826477704804701,0.25,5786,post-hoc edge labels only; grid is descriptive and not selected,0.05046664362253716,0.2945205479452055,0.7054794520547946,controlled_cost_reciprocal,official_detector,all_sequences,ocsort
206,95,301,2255,1954,0.3897338403041825,0.3,5786,post-hoc edge labels only; grid is descriptive and not selected,0.05202212236432769,0.31561461794019935,0.6843853820598007,controlled_cost_reciprocal,official_detector,all_sequences,ocsort
156,16,172,1592,1420,0.27514690632561356,0.05,5786,post-hoc edge labels only; grid is descriptive and not selected,0.029726927065330106,0.09302325581395349,0.9069767441860465,geometry_reid_greedy_guard,official_detector,all_sequences,ocsort
207,38,245,2167,1922,0.3745247148288973,0.1,5786,post-hoc edge labels only; grid is descriptive and not selected,0.042343587970964394,0.15510204081632653,0.8448979591836735,geometry_reid_greedy_guard,official_detector,all_sequences,ocsort
216,67,283,2390,2107,0.41306602143104043,0.15,5786,post-hoc edge labels only; grid is descriptive and not selected,0.04891116488074663,0.23674911660777384,0.7632508833922261,geometry_reid_greedy_guard,official_detector,all_sequences,ocsort
220,87,307,2534,2227,0.4379536812996889,0.2,5786,post-hoc edge labels only; grid is descriptive and not selected,0.05305910819218804,0.28338762214983715,0.7166123778501629,geometry_reid_greedy_guard,official_detector,all_sequences,ocsort
221,105,326,2613,2287,0.45160732803318354,0.25,5786,post-hoc edge labels only; grid is descriptive and not selected,0.05634289664707916,0.3220858895705521,0.6779141104294478,geometry_reid_greedy_guard,official_detector,all_sequences,ocsort
