class_name,component_guard_rejections,family,guard_and_no_guard_outputs_identical,input_duplicate_frame_identity_count,maximum_indegree,maximum_outdegree,proposal_cycle_present,protocol,reciprocal_proposal_count,sequence,strict_time_order_violations,temporal_candidate_count,tracker
pedestrian,0,confirmation38,True,0,1,1,False,oracle_aabb,20,data48-1,0,645,ocsort
pedestrian,0,confirmation38,True,0,0,0,False,oracle_aabb,0,data48-1,0,10,deepocsort
car,0,confirmation38,True,0,1,1,False,oracle_aabb,14,data49-2,0,652,bytetrack
car,0,confirmation38,True,0,1,1,False,oracle_aabb,14,data49-2,0,515,ocsort
car,0,confirmation38,True,0,1,1,False,oracle_aabb,1,data49-2,0,70,deepocsort
bike,0,confirmation38,True,0,1,1,False,oracle_aabb,16,data49-2,0,275,bytetrack
bike,0,confirmation38,True,0,1,1,False,oracle_aabb,8,data49-2,0,49,ocsort
bike,0,confirmation38,True,0,0,0,False,oracle_aabb,0,data49-2,0,0,deepocsort
pedestrian,0,confirmation38,True,0,1,1,False,oracle_aabb,16,data49-2,0,206,bytetrack
pedestrian,0,confirmation38,True,0,1,1,False,oracle_aabb,5,data49-2,0,20,ocsort
pedestrian,0,confirmation38,True,0,1,1,False,oracle_aabb,1,data49-2,0,10,deepocsort
van,0,confirmation38,True,0,1,1,False,oracle_aabb,5,data49-2,0,35,bytetrack
van,0,confirmation38,True,0,0,0,False,oracle_aabb,0,data49-2,0,6,ocsort
van,0,confirmation38,True,0,0,0,False,oracle_aabb,0,data49-2,0,0,deepocsort
truck,0,confirmation38,True,0,1,1,False,oracle_aabb,1,data49-2,0,3,bytetrack
truck,0,confirmation38,True,0,0,0,False,oracle_aabb,0,data49-2,0,1,ocsort
truck,0,confirmation38,True,0,0,0,False,oracle_aabb,0,data49-2,0,0,deepocsort
bus,0,confirmation38,True,0,0,0,False,oracle_aabb,0,data49-2,0,2,bytetrack
bus,0,confirmation38,True,0,0,0,False,oracle_aabb,0,data49-2,0,2,ocsort
bus,0,confirmation38,True,0,0,0,False,oracle_aabb,0,data49-2,0,1,deepocsort
awning-bike,0,confirmation38,True,0,1,1,False,oracle_aabb,19,data49-2,0,281,bytetrack
awning-bike,0,confirmation38,True,0,1,1,False,oracle_aabb,6,data49-2,0,19,ocsort
awning-bike,0,confirmation38,True,0,0,0,False,oracle_aabb,0,data49-2,0,0,deepocsort
car,0,legacy12,True,0,1,1,False,official_detector,69,data28-1,0,5118,bytetrack
car,0,legacy12,True,0,1,1,False,official_detector,68,data28-1,0,4056,ocsort
car,0,legacy12,True,0,1,1,False,official_detector,2,data28-1,0,177,deepocsort
bike,0,legacy12,True,0,0,0,False,official_detector,0,data28-1,0,2,bytetrack
bike,0,legacy12,True,0,1,1,False,official_detector,1,data28-1,0,1,ocsort
bike,0,legacy12,True,0,0,0,False,official_detector,0,data28-1,0,0,deepocsort
pedestrian,0,legacy12,True,0,0,0,False,official_detector,0,data28-1,0,7,bytetrack
pedestrian,0,legacy12,True,0,0,0,False,official_detector,0,data28-1,0,0,ocsort
pedestrian,0,legacy12,True,0,0,0,False,official_detector,0,data28-1,0,3,deepocsort
van,0,legacy12,True,0,1,1,False,official_detector,4,data28-1,0,26,bytetrack
van,0,legacy12,True,0,1,1,False,official_detector,1,data28-1,0,22,ocsort
van,0,legacy12,True,0,0,0,False,official_detector,0,data28-1,0,12,deepocsort
truck,0,legacy12,True,0,0,0,False,official_detector,0,data28-1,0,3,bytetrack
truck,0,legacy12,True,0,0,0,False,official_detector,0,data28-1,0,0,ocsort
truck,0,legacy12,True,0,0,0,False,official_detector,0,data28-1,0,2,deepocsort
bus,0,legacy12,True,0,0,0,False,official_detector,0,data28-1,0,0,bytetrack
bus,0,legacy12,True,0,0,0,False,official_detector,0,data28-1,0,0,ocsort
bus,0,legacy12,True,0,0,0,False,official_detector,0,data28-1,0,1,deepocsort
