class_name,duplicate_frame_identity_count,family,geometry_multiset_preserved,protocol,removed_or_rejected_count,rounded_scalar_values,row_delta_from_input,rows,selected_edges,sequence,stage,tracker,unscoped_cross_class_id_reuse_count
pedestrian,0,confirmation38,False,oracle_aabb,1,1,-1,11654,25,data36-10,post_save_roundtrip,deepocsort,
pedestrian,0,confirmation38,True,oracle_aabb,1,0,0,11655,25,data36-10,overlap_safe_adapter,deepocsort,
ALL_CLASS_SCOPED,0,confirmation38,,oracle_aabb,,,,8910,,data36-10,post_class_merge_audit,bytetrack,512
ALL_CLASS_SCOPED,0,confirmation38,,oracle_aabb,,,,16948,,data36-10,post_class_merge_audit,deepocsort,1284
ALL_CLASS_SCOPED,0,confirmation38,,oracle_aabb,,,,5644,,data36-10,post_class_merge_audit,ocsort,243
ALL_CLASS_SCOPED,0,confirmation38,,oracle_aabb,,,,4199,,data36-11,post_class_merge_audit,bytetrack,263
ALL_CLASS_SCOPED,0,confirmation38,,oracle_aabb,,,,8287,,data36-11,post_class_merge_audit,deepocsort,1191
ALL_CLASS_SCOPED,0,confirmation38,,oracle_aabb,,,,3274,,data36-11,post_class_merge_audit,ocsort,230
ALL_CLASS_SCOPED,0,confirmation38,,oracle_aabb,,,,2893,,data36-12,post_class_merge_audit,bytetrack,431
ALL_CLASS_SCOPED,0,confirmation38,,oracle_aabb,,,,3531,,data36-12,post_class_merge_audit,deepocsort,796
ALL_CLASS_SCOPED,0,confirmation38,,oracle_aabb,,,,2631,,data36-12,post_class_merge_audit,ocsort,380
ALL_CLASS_SCOPED,0,confirmation38,,oracle_aabb,,,,1479,,data36-13,post_class_merge_audit,bytetrack,156
ALL_CLASS_SCOPED,0,confirmation38,,oracle_aabb,,,,1630,,data36-13,post_class_merge_audit,deepocsort,440
ALL_CLASS_SCOPED,0,confirmation38,,oracle_aabb,,,,1304,,data36-13,post_class_merge_audit,ocsort,127
ALL_CLASS_SCOPED,0,confirmation38,,oracle_aabb,,,,7550,,data36-4,post_class_merge_audit,bytetrack,790
ALL_CLASS_SCOPED,0,confirmation38,,oracle_aabb,,,,11700,,data36-4,post_class_merge_audit,deepocsort,1722
ALL_CLASS_SCOPED,0,confirmation38,,oracle_aabb,,,,5327,,data36-4,post_class_merge_audit,ocsort,545
ALL_CLASS_SCOPED,0,confirmation38,,oracle_aabb,,,,5666,,data36-5,post_class_merge_audit,bytetrack,923
ALL_CLASS_SCOPED,0,confirmation38,,oracle_aabb,,,,7528,,data36-5,post_class_merge_audit,deepocsort,2812
ALL_CLASS_SCOPED,0,confirmation38,,oracle_aabb,,,,4922,,data36-5,post_class_merge_audit,ocsort,876
pedestrian,0,confirmation38,True,oracle_aabb,0,0,0,5156,6,data37-1,input,deepocsort,
pedestrian,1,confirmation38,True,oracle_aabb,0,0,0,5156,6,data37-1,post_id_remap,deepocsort,
pedestrian,0,confirmation38,False,oracle_aabb,1,0,-1,5155,6,data37-1,post_native_deduplicate,deepocsort,
