aflink_model_scoring_included,aflink_selected_edge_count,candidate_build_ms,class_name,descriptor_extraction_included,family,fixed_gated_edge_count,hungarian_dense_matrix_bytes,method,protocol,repeat_count,sequence,solver_ms_max,solver_ms_mean,solver_ms_median,solver_ms_min,temporal_candidate_count,tracemalloc_peak_bytes,tracker,tracklet_count
False,0,0.002173,bike,False,confirmation38,0,0,aflink_cached_overlap_safe,official_detector,5,data39-2,0.001793,0.0016622000000000002,0.00162,0.00159,0,680,ocsort,0
False,0,0.002169,bike,False,confirmation38,0,0,geometry_greedy,official_detector,5,data39-2,0.002103,0.0018608,0.001791,0.001726,0,680,deepocsort,0
False,0,0.002169,bike,False,confirmation38,0,0,geometry_reid_greedy_guard,official_detector,5,data39-2,0.002093,0.0019516,0.001921,0.001858,0,680,deepocsort,0
False,0,0.002169,bike,False,confirmation38,0,0,com3d_reciprocal_guard,official_detector,5,data39-2,0.00383,0.0032086,0.003055,0.002959,0,704,deepocsort,0
False,0,0.002169,bike,False,confirmation38,0,0,geometry_reid_hungarian,official_detector,5,data39-2,0.002598,0.0023284,0.002229,0.002221,0,680,deepocsort,0
False,0,0.002169,bike,False,confirmation38,0,0,controlled_cost_greedy,official_detector,5,data39-2,0.00271,0.0020692,0.001995,0.001759,0,680,deepocsort,0
False,0,0.002169,bike,False,confirmation38,0,0,controlled_cost_reciprocal,official_detector,5,data39-2,0.003113,0.0028012,0.002763,0.002631,0,808,deepocsort,0
False,0,0.002169,bike,False,confirmation38,0,0,aflink_cached_no_dedup,official_detector,5,data39-2,0.001078,0.0009653999999999999,0.000973,0.000886,0,304,deepocsort,0
False,0,0.002169,bike,False,confirmation38,0,0,aflink_cached_overlap_safe,official_detector,5,data39-2,0.001737,0.0016326000000000001,0.001589,0.00157,0,680,deepocsort,0
False,0,3.933391,pedestrian,False,confirmation38,49,0,geometry_greedy,official_detector,5,data39-2,0.142388,0.13494319999999999,0.133697,0.129806,495,76408,bytetrack,44
False,0,3.933391,pedestrian,False,confirmation38,49,0,geometry_reid_greedy_guard,official_detector,5,data39-2,0.132595,0.127299,0.125654,0.124287,495,71800,bytetrack,44
False,0,3.933391,pedestrian,False,confirmation38,49,0,com3d_reciprocal_guard,official_detector,5,data39-2,0.154883,0.1481962,0.145217,0.142995,495,67872,bytetrack,44
False,0,3.933391,pedestrian,False,confirmation38,49,9200,geometry_reid_hungarian,official_detector,5,data39-2,0.200049,0.1877782,0.185994,0.182518,495,67704,bytetrack,44
False,0,3.933391,pedestrian,False,confirmation38,49,0,controlled_cost_greedy,official_detector,5,data39-2,0.142902,0.1368458,0.135263,0.13349,495,72416,bytetrack,44
False,0,3.933391,pedestrian,False,confirmation38,49,0,controlled_cost_reciprocal,official_detector,5,data39-2,0.159579,0.154552,0.153027,0.152308,495,67616,bytetrack,44
False,0,3.933391,pedestrian,False,confirmation38,49,0,aflink_cached_no_dedup,official_detector,5,data39-2,0.030531,0.028947800000000003,0.028662,0.028321,495,23320,bytetrack,44
False,0,3.933391,pedestrian,False,confirmation38,49,0,aflink_cached_overlap_safe,official_detector,5,data39-2,0.06585,0.0642868,0.064264,0.062333,495,57344,bytetrack,44
False,0,0.748865,pedestrian,False,confirmation38,17,0,geometry_greedy,official_detector,5,data39-2,0.068378,0.063739,0.062476,0.061994,79,47104,ocsort,22
False,0,0.748865,pedestrian,False,confirmation38,17,0,geometry_reid_greedy_guard,official_detector,5,data39-2,0.062453,0.059955999999999995,0.05971,0.057787,79,44432,ocsort,22
False,0,0.748865,pedestrian,False,confirmation38,17,0,com3d_reciprocal_guard,official_detector,5,data39-2,0.073416,0.0709854,0.071217,0.069001,79,43344,ocsort,22
False,0,0.748865,pedestrian,False,confirmation38,17,1760,geometry_reid_hungarian,official_detector,5,data39-2,0.08651,0.08443300000000001,0.084425,0.081761,79,43040,ocsort,22
False,0,0.748865,pedestrian,False,confirmation38,17,0,controlled_cost_greedy,official_detector,5,data39-2,0.066864,0.0646008,0.064252,0.063337,79,44432,ocsort,22
False,0,0.748865,pedestrian,False,confirmation38,17,0,controlled_cost_reciprocal,official_detector,5,data39-2,0.078707,0.0755616,0.075727,0.071979,79,43344,ocsort,22
False,0,0.748865,pedestrian,False,confirmation38,17,0,aflink_cached_no_dedup,official_detector,5,data39-2,0.022236,0.021252399999999998,0.021064,0.020857,79,18592,ocsort,22
False,0,0.748865,pedestrian,False,confirmation38,17,0,aflink_cached_overlap_safe,official_detector,5,data39-2,0.045391,0.044051,0.043783,0.043209,79,38456,ocsort,22
False,0,0.310257,pedestrian,False,confirmation38,0,0,geometry_greedy,official_detector,5,data39-2,0.220048,0.21799300000000002,0.218086,0.215653,4,199696,deepocsort,9
False,0,0.310257,pedestrian,False,confirmation38,0,0,geometry_reid_greedy_guard,official_detector,5,data39-2,0.22586,0.22211340000000002,0.221482,0.21982,4,199696,deepocsort,9
False,0,0.310257,pedestrian,False,confirmation38,0,0,com3d_reciprocal_guard,official_detector,5,data39-2,0.227293,0.2248332,0.224181,0.224018,4,199696,deepocsort,9
False,0,0.310257,pedestrian,False,confirmation38,0,0,geometry_reid_hungarian,official_detector,5,data39-2,0.220125,0.2186856,0.219512,0.215232,4,199696,deepocsort,9
False,0,0.310257,pedestrian,False,confirmation38,0,0,controlled_cost_greedy,official_detector,5,data39-2,0.225788,0.22350240000000002,0.223507,0.221993,4,199696,deepocsort,9
False,0,0.310257,pedestrian,False,confirmation38,0,0,controlled_cost_reciprocal,official_detector,5,data39-2,0.217291,0.2154026,0.216175,0.211682,4,199696,deepocsort,9
False,0,0.310257,pedestrian,False,confirmation38,0,0,aflink_cached_no_dedup,official_detector,5,data39-2,0.126674,0.1249574,0.125318,0.123646,4,152416,deepocsort,9
False,0,0.310257,pedestrian,False,confirmation38,0,0,aflink_cached_overlap_safe,official_detector,5,data39-2,0.219026,0.2146748,0.212642,0.210998,4,199696,deepocsort,9
False,0,0.005587,van,False,confirmation38,0,0,geometry_greedy,official_detector,5,data39-2,0.002396,0.002214,0.002362,0.001883,0,680,bytetrack,0
False,0,0.005587,van,False,confirmation38,0,0,geometry_reid_greedy_guard,official_detector,5,data39-2,0.002256,0.0020406,0.001933,0.001905,0,680,bytetrack,0
False,0,0.005587,van,False,confirmation38,0,0,com3d_reciprocal_guard,official_detector,5,data39-2,0.003512,0.0032147999999999994,0.00317,0.003003,0,704,bytetrack,0
False,0,0.005587,van,False,confirmation38,0,0,geometry_reid_hungarian,official_detector,5,data39-2,0.002847,0.0024406000000000002,0.00239,0.002227,0,680,bytetrack,0
False,0,0.005587,van,False,confirmation38,0,0,controlled_cost_greedy,official_detector,5,data39-2,0.002305,0.0020088000000000003,0.001978,0.001835,0,680,bytetrack,0
False,0,0.005587,van,False,confirmation38,0,0,controlled_cost_reciprocal,official_detector,5,data39-2,0.003613,0.0029322000000000003,0.002825,0.002682,0,808,bytetrack,0
False,0,0.005587,van,False,confirmation38,0,0,aflink_cached_no_dedup,official_detector,5,data39-2,0.0014,0.0011162,0.001038,0.000995,0,304,bytetrack,0
False,0,0.005587,van,False,confirmation38,0,0,aflink_cached_overlap_safe,official_detector,5,data39-2,0.002329,0.0017944000000000002,0.001756,0.001515,0,680,bytetrack,0
False,0,0.002868,van,False,confirmation38,0,0,geometry_greedy,official_detector,5,data39-2,0.00225,0.0019089999999999999,0.001802,0.001743,0,680,ocsort,0
False,0,0.002868,van,False,confirmation38,0,0,geometry_reid_greedy_guard,official_detector,5,data39-2,0.002106,0.001908,0.001924,0.001753,0,680,ocsort,0
False,0,0.002868,van,False,confirmation38,0,0,com3d_reciprocal_guard,official_detector,5,data39-2,0.003167,0.0028986000000000003,0.002822,0.002769,0,704,ocsort,0
False,0,0.002868,van,False,confirmation38,0,0,geometry_reid_hungarian,official_detector,5,data39-2,0.002458,0.0023086,0.002311,0.002162,0,680,ocsort,0
False,0,0.002868,van,False,confirmation38,0,0,controlled_cost_greedy,official_detector,5,data39-2,0.00276,0.0020156,0.001829,0.0018,0,680,ocsort,0
False,0,0.002868,van,False,confirmation38,0,0,controlled_cost_reciprocal,official_detector,5,data39-2,0.002864,0.0027518,0.002742,0.002664,0,808,ocsort,0
False,0,0.002868,van,False,confirmation38,0,0,aflink_cached_no_dedup,official_detector,5,data39-2,0.001293,0.0010156,0.000948,0.000939,0,304,ocsort,0
False,0,0.002868,van,False,confirmation38,0,0,aflink_cached_overlap_safe,official_detector,5,data39-2,0.00189,0.0017125999999999999,0.001675,0.001615,0,680,ocsort,0
False,0,0.002291,van,False,confirmation38,0,0,geometry_greedy,official_detector,5,data39-2,0.002074,0.0018821999999999999,0.0018,0.001762,0,680,deepocsort,0
False,0,0.002291,van,False,confirmation38,0,0,geometry_reid_greedy_guard,official_detector,5,data39-2,0.002274,0.0020692,0.002086,0.001852,0,680,deepocsort,0
False,0,0.002291,van,False,confirmation38,0,0,com3d_reciprocal_guard,official_detector,5,data39-2,0.003319,0.0029482,0.002918,0.002751,0,704,deepocsort,0
