AssA,DetA,FN,FP,Frag,HOTA,IDF1,IDSW,MOTA,TP,accepted_correct,accepted_false,accepted_unknown,box_preserving,class_instances,duplicate_frame_identity_count,duplicate_free,eligible_source_tracklets,family,input_rows,method,output_rows,predicted_boxes,protocol,sequence,tracker,valid_common_box_protocol,valid_gt_boxes
71.2900589931481,24.737512545535253,2503,141,56,41.89807960062535,43.04932735426009,56,25.70170610897083,1131,1,0,50,True,8,0,True,139,legacy12,1272,geometry_reid_hungarian,1272,1272,official_detector,data30-9,bytetrack,True,3634
70.05500345874796,24.72862098546648,2503,141,56,41.5137507158427,41.826335099877696,85,24.903687396807925,1131,0,0,0,True,8,0,True,139,legacy12,1272,no_refinement,1272,1272,official_detector,data30-9,bytetrack,True,3634
74.63380869512628,40.16742711177114,1781,185,86,54.08131299594031,64.70380818053597,10,45.62465602641717,1853,0,0,0,True,8,0,True,86,legacy12,2038,aflink_cached_native_dedup,2038,2038,official_detector,data30-9,deepocsort,True,3634
74.62771245832553,40.16760199593911,1781,185,86,54.078528767754385,64.70380818053597,10,45.62465602641717,1853,0,0,0,False,8,0,True,86,legacy12,2038,aflink_cached_native_saved,2038,2038,official_detector,data30-9,deepocsort,False,3634
74.63380869512628,40.16742711177114,1781,185,86,54.08131299594031,64.70380818053597,10,45.62465602641717,1853,0,0,0,True,8,0,True,86,legacy12,2038,aflink_cached_no_dedup,2038,2038,official_detector,data30-9,deepocsort,True,3634
74.63380869512628,40.16742711177114,1781,185,86,54.08131299594031,64.70380818053597,10,45.62465602641717,1853,0,0,0,True,8,0,True,86,legacy12,2038,aflink_cached_overlap_safe,2038,2038,official_detector,data30-9,deepocsort,True,3634
74.66899008012584,40.16742711177114,1781,185,86,54.096848849244026,64.63328631875882,7,45.70720968629609,1853,0,0,10,True,8,0,True,86,legacy12,2038,com3d_reciprocal_guard,2038,2038,official_detector,data30-9,deepocsort,True,3634
74.61727406957101,40.16742711177114,1781,185,86,54.077009451093815,64.66854724964739,7,45.70720968629609,1853,0,0,10,True,8,0,True,86,legacy12,2038,controlled_cost_greedy,2038,2038,official_detector,data30-9,deepocsort,True,3634
74.61727406957101,40.16742711177114,1781,185,86,54.077009451093815,64.66854724964739,7,45.70720968629609,1853,0,0,10,True,8,0,True,86,legacy12,2038,controlled_cost_reciprocal,2038,2038,official_detector,data30-9,deepocsort,True,3634
74.6248482976609,40.16742711177114,1781,185,86,54.079584443010944,64.56276445698167,7,45.70720968629609,1853,0,0,12,True,8,0,True,86,legacy12,2038,geometry_greedy,2038,2038,official_detector,data30-9,deepocsort,True,3634
