AssA,DetA,FN,FP,Frag,HOTA,IDF1,IDSW,MOTA,TP,accepted_correct,accepted_false,accepted_unknown,aggregation,all_accepted_coverage,eligible_source_tracklets,input_rows,invalid_sequences,known_link_coverage,known_link_error_rate,method,output_rows,predicted_boxes,protocol,scope,sequence_count,tracker,valid_common_box_protocol,valid_gt_boxes
49.240326489503246,29.207952487358007,118476,7846,3323,36.53185303880642,38.08522975758765,3204,27.69874601054166,77718,173,110,1766,equal_sequence_mean_metrics_total_counts,0.3541306602143104,5786,85564,0,0.04891116488074663,0.38869257950530034,com3d_reciprocal_guard,85564,85564,official_detector,all_sequences,50,ocsort,True,196194
50.03988266383189,29.207054596594425,118476,7846,3323,36.76063067301582,38.66034378646857,2635,28.034721419041926,77718,221,121,2327,equal_sequence_mean_metrics_total_counts,0.46128586242654684,5786,85564,0,0.059108192188040094,0.3538011695906433,controlled_cost_greedy,85564,85564,official_detector,all_sequences,50,ocsort,True,196194
49.75068279425514,29.20779420622215,118476,7846,3323,36.712328789695356,38.551519735987796,2825,27.952456471093424,77718,206,95,1954,equal_sequence_mean_metrics_total_counts,0.3897338403041825,5786,85564,0,0.05202212236432769,0.31561461794019935,controlled_cost_reciprocal,85564,85564,official_detector,all_sequences,50,ocsort,True,196194
49.40353139563374,29.205092726901963,118476,7846,3323,36.50638686926895,38.13725985140249,2959,27.779702242007637,77718,180,189,2393,equal_sequence_mean_metrics_total_counts,0.4773591427583823,5786,85564,0,0.06377462841341168,0.5121951219512195,geometry_greedy,85564,85564,official_detector,all_sequences,50,ocsort,True,196194
50.115808095114815,29.208096921213404,118476,7846,3323,36.79592243817724,38.76435981988647,2585,28.091661078824526,77718,221,120,2330,equal_sequence_mean_metrics_total_counts,0.46163152436916693,5786,85564,0,0.058935361216730035,0.3519061583577713,geometry_reid_greedy_guard,85564,85564,official_detector,all_sequences,50,ocsort,True,196194
49.96778136252241,29.207053545927838,118476,7846,3323,36.770673792906656,38.74189746024476,2668,28.063963991780906,77718,217,109,2298,equal_sequence_mean_metrics_total_counts,0.4535084687175942,5786,85564,0,0.05634289664707916,0.3343558282208589,geometry_reid_hungarian,85564,85564,official_detector,all_sequences,50,ocsort,True,196194
47.62000863859625,29.212513724843383,118476,7846,3325,35.886123700292494,36.46173728923568,4263,26.949922767249664,77718,0,0,0,equal_sequence_mean_metrics_total_counts,0.0,5786,85564,0,0.0,,no_refinement,85564,85564,official_detector,all_sequences,50,ocsort,True,196194
44.879475921874906,46.25189111034419,73375,310,13456,44.30296739452729,47.6979910434447,20025,46.133151568983266,122819,35,64,29,equal_sequence_mean_metrics_total_counts,0.010455807874530305,12242,123132,2,0.008086913902957033,0.6464646464646465,aflink_cached_native_dedup,123129,123129,oracle_aabb,all_sequences,50,bytetrack,False,196194
44.88102234231247,46.25118640498456,73375,310,13456,44.303206536061914,47.6979910434447,20025,46.133151568983266,122819,35,64,29,equal_sequence_mean_metrics_total_counts,0.010455807874530305,12242,123132,50,0.008086913902957033,0.6464646464646465,aflink_cached_native_saved,123129,123129,oracle_aabb,all_sequences,50,bytetrack,False,196194
44.87935941119587,46.25223373106759,73372,310,13455,44.303020532789894,47.698217955176034,20025,46.13359279802213,122822,35,64,29,equal_sequence_mean_metrics_total_counts,0.010455807874530305,12242,123132,2,0.008086913902957033,0.6464646464646465,aflink_cached_no_dedup,123132,123132,oracle_aabb,all_sequences,50,bytetrack,False,196194
44.879375204929865,46.25223373106759,73372,310,13455,44.30302797490076,47.698379417452905,20025,46.13359279802213,122822,35,62,28,equal_sequence_mean_metrics_total_counts,0.010210749877471002,12242,123132,0,0.007923541904917498,0.6391752577319587,aflink_cached_overlap_safe,123132,123132,oracle_aabb,all_sequences,50,bytetrack,True,196194
46.33654084058153,46.24728048751834,73372,310,13455,45.19470819459815,49.71681428353508,17511,47.438017804208414,122822,317,255,3909,equal_sequence_mean_metrics_total_counts,0.3660349616075805,12242,123132,0,0.0467243914393073,0.4458041958041958,com3d_reciprocal_guard,123132,123132,oracle_aabb,all_sequences,50,bytetrack,True,196194
47.3525730110879,46.24195186253286,73372,310,13455,45.826709460497206,51.54147416904981,14929,48.58650076355709,122822,450,566,6132,equal_sequence_mean_metrics_total_counts,0.5838915209933018,12242,123132,0,0.0829929750040843,0.5570866141732284,controlled_cost_greedy,123132,123132,oracle_aabb,all_sequences,50,bytetrack,True,196194
