dataset,metric,baseline_method,baseline_detector_family,baseline_model_version,baseline_yolo_version,baseline_model_scale,baseline_param_size_group,baseline_size_group,candidate_method,candidate_detector_family,candidate_model_version,candidate_yolo_version,candidate_model_scale,candidate_param_size_group,candidate_size_group,paired_seeds,seed_count,analysis_level,baseline_mean,candidate_mean,delta_candidate_minus_baseline,paired_t_statistic,paired_t_pvalue,wilcoxon_statistic,wilcoxon_pvalue
VisDrone2019-DET,best_recall,yolov9e,Other,unknown,,unknown,large,large,YOLOv5mu,YOLO,v5,v5,medium,medium,medium,42,1,insufficient_for_pvalue,0.59541,0.54593,-0.04947999999999997,,,,
VisDrone2019-DET,best_recall,yolov9e,Other,unknown,,unknown,large,large,YOLOv5nu,YOLO,v5,v5,nano,nano,nano,42,1,insufficient_for_pvalue,0.59541,0.46551,-0.12990000000000002,,,,
VisDrone2019-DET,best_recall,yolov9e,Other,unknown,,unknown,large,large,YOLOv5su,YOLO,v5,v5,small,small,small,42,1,insufficient_for_pvalue,0.59541,0.52444,-0.07096999999999998,,,,
VisDrone2019-DET,best_recall,yolov9e,Other,unknown,,unknown,large,large,YOLOv8l,YOLO,v8,v8,large,large,large,42,1,insufficient_for_pvalue,0.59541,0.57829,-0.017120000000000024,,,,
VisDrone2019-DET,best_recall,yolov9e,Other,unknown,,unknown,large,large,YOLOv8m,YOLO,v8,v8,medium,medium,medium,42,1,insufficient_for_pvalue,0.59541,0.55806,-0.037349999999999994,,,,
VisDrone2019-DET,best_recall,yolov9e,Other,unknown,,unknown,large,large,YOLOv8n,YOLO,v8,v8,nano,nano,nano,42,1,insufficient_for_pvalue,0.59541,0.47587,-0.11953999999999998,,,,
VisDrone2019-DET,best_recall,yolov9e,Other,unknown,,unknown,large,large,YOLOv8s,YOLO,v8,v8,small,small,small,42,1,insufficient_for_pvalue,0.59541,0.52572,-0.06969000000000003,,,,
VisDrone2019-DET,best_recall,yolov9e,Other,unknown,,unknown,large,large,YOLOv9m,YOLO,v9,v9,medium,medium,medium,42,1,insufficient_for_pvalue,0.59541,0.58,-0.015410000000000035,,,,
VisDrone2019-DET,best_recall,yolov9e,Other,unknown,,unknown,large,large,YOLOv9s,YOLO,v9,v9,small,small,small,42,1,insufficient_for_pvalue,0.59541,0.53859,-0.05681999999999998,,,,
VisDrone2019-DET,best_recall,yolov9e,Other,unknown,,unknown,large,large,yolov9c,Other,unknown,,unknown,medium,medium,42,1,insufficient_for_pvalue,0.59541,0.58646,-0.008950000000000014,,,,
VisDrone2019-DET,best_recall,yolov9e,Other,unknown,,unknown,large,large,yolov9t,Other,unknown,,unknown,nano,nano,42,1,insufficient_for_pvalue,0.59541,0.49773,-0.09767999999999999,,,,
VisDrone2019-DET,best_F1,yolov9e,Other,unknown,,unknown,large,large,ProposedSize-P2P4BalancedSelfAttnOnly-yolo11l,Other,unknown,,unknown,unknown,unknown,42,1,insufficient_for_pvalue,0.6349652097902098,0.6269314351068646,-0.008033774683345207,,,,
VisDrone2019-DET,best_F1,yolov9e,Other,unknown,,unknown,large,large,ProposedSize-P2P4BalancedSelfAttnTinyFReLU-yolo11l,Other,unknown,,unknown,unknown,unknown,42,1,insufficient_for_pvalue,0.6349652097902098,0.6287313916702257,-0.006233818119984025,,,,
VisDrone2019-DET,best_F1,yolov9e,Other,unknown,,unknown,large,large,ProposedSize-P2P4BalancedTinyFReLU-yolo11l,Other,unknown,,unknown,unknown,unknown,42,1,insufficient_for_pvalue,0.6349652097902098,0.6229789139555513,-0.01198629583465849,,,,
VisDrone2019-DET,best_F1,yolov9e,Other,unknown,,unknown,large,large,ProposedSize-P2P4HeadOnly-yolo11l,Other,unknown,,unknown,unknown,unknown,42,1,insufficient_for_pvalue,0.6349652097902098,0.6205527485792044,-0.014412461211005367,,,,
VisDrone2019-DET,best_F1,yolov9e,Other,unknown,,unknown,large,large,YOLOv10m,YOLO,v10,v10,medium,medium,medium,42,1,insufficient_for_pvalue,0.6349652097902098,0.5981331992860404,-0.0368320105041694,,,,
VisDrone2019-DET,best_F1,yolov9e,Other,unknown,,unknown,large,large,YOLOv10n,YOLO,v10,v10,nano,nano,nano,42,1,insufficient_for_pvalue,0.6349652097902098,0.5158828476389502,-0.11908236215125956,,,,
VisDrone2019-DET,best_F1,yolov9e,Other,unknown,,unknown,large,large,YOLOv10s,YOLO,v10,v10,small,small,small,42,1,insufficient_for_pvalue,0.6349652097902098,0.5662251037962266,-0.06874010599398317,,,,
VisDrone2019-DET,best_F1,yolov9e,Other,unknown,,unknown,large,large,YOLOv11m,YOLO,v11,v11,medium,medium,medium,42,1,insufficient_for_pvalue,0.6349652097902098,0.6121893210910687,-0.022775888699141045,,,,
VisDrone2019-DET,best_F1,yolov9e,Other,unknown,,unknown,large,large,YOLOv11n,YOLO,v11,v11,nano,nano,nano,42,1,insufficient_for_pvalue,0.6349652097902098,0.5206590127143225,-0.1143061970758873,,,,
VisDrone2019-DET,best_F1,yolov9e,Other,unknown,,unknown,large,large,YOLOv11s,YOLO,v11,v11,small,small,small,42,1,insufficient_for_pvalue,0.6349652097902098,0.571497947446015,-0.06346726234419475,,,,
VisDrone2019-DET,best_F1,yolov9e,Other,unknown,,unknown,large,large,YOLOv12m,YOLO,v12,v12,medium,medium,medium,42,1,insufficient_for_pvalue,0.6349652097902098,0.6138303558713101,-0.021134853918899688,,,,
VisDrone2019-DET,best_F1,yolov9e,Other,unknown,,unknown,large,large,YOLOv12n,YOLO,v12,v12,nano,nano,nano,42,1,insufficient_for_pvalue,0.6349652097902098,0.5300191142662065,-0.10494609552400325,,,,
