method,model,base_model,ablation,proposed_module,model_patches,is_proposed,implementation_status,detector_family,architecture_group,model_version,yolo_version,is_yolo,model_scale,name_size_tag,param_size_group,size_group,dataset,protocol_data_yaml,protocol_imgsz,protocol_epochs,protocol_batch,protocol_deterministic,protocol_match,protocol_mismatch_reason,seed,status,run_dir,results_csv,best_weight,best_epoch,best_AP,best_AP50,best_AP75,best_APsmall,best_precision,best_recall,best_F1,final_epoch,final_AP,final_AP50,final_AP75,final_APsmall,final_precision,final_recall,final_F1,ROC-AUC,latency_ms,FPS,Params,GFLOPs
YOLOv26n,yolo26n.pt,yolo26n.pt,,,,false,implemented,YOLO,yolo,v26,v26,true,nano,nano,nano,nano,VisDrone2019-DET,/home/oem/projects/multi-uav-marine-city/configs/detector/visdrone_yolo_data.yaml,1280,100,8,True,,,2026,completed,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_baselines/20260613_200327_yolo26n_visdrone_seed2026,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_baselines/20260613_200327_yolo26n_visdrone_seed2026/ultralytics/results.csv,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_baselines/20260613_200327_yolo26n_visdrone_seed2026/ultralytics/weights/best.pt,77.0,0.28362,0.46851,,,0.57831,0.46771,0.5171629033861685,100.0,0.27905,0.46239,,,0.58533,0.45273,0.5105609519680944,0.8793877659294121,,,2507700,5.8
YOLOv5su,yolov5su.pt,yolov5su.pt,,,,false,implemented,YOLO,yolo,v5,v5,true,small,small,small,small,VisDrone2019-DET,/home/oem/projects/multi-uav-marine-city/configs/detector/visdrone_yolo_data.yaml,1280,100,8,True,,,123,completed,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_baselines/20260613_230737_yolov5su_visdrone_seed123,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_baselines/20260613_230737_yolov5su_visdrone_seed123/ultralytics/results.csv,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_baselines/20260613_230737_yolov5su_visdrone_seed123/ultralytics/weights/best.pt,70.0,0.33037,0.53678,,,0.62753,0.52314,0.5705998143690199,100.0,0.32038,0.52391,,,0.62074,0.51607,0.5635863368548834,0.8863069082464679,,,9126062,24.1
YOLOv5su,yolov5su.pt,yolov5su.pt,,,,false,implemented,YOLO,yolo,v5,v5,true,small,small,small,small,VisDrone2019-DET,/home/oem/projects/multi-uav-marine-city/configs/detector/visdrone_yolo_data.yaml,1280,100,8,True,,,42,completed,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_baselines/20260613_230737_yolov5su_visdrone_seed42,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_baselines/20260613_230737_yolov5su_visdrone_seed42/ultralytics/results.csv,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_baselines/20260613_230737_yolov5su_visdrone_seed42/ultralytics/weights/best.pt,62.0,0.32741,0.53357,,,0.62539,0.52444,0.5704835177374046,100.0,0.31987,0.52509,,,0.62482,0.51217,0.5629144660902912,0.8886982420276365,,,9126062,24.1
YOLOv5su,yolov5su.pt,yolov5su.pt,,,,false,implemented,YOLO,yolo,v5,v5,true,small,small,small,small,VisDrone2019-DET,/home/oem/projects/multi-uav-marine-city/configs/detector/visdrone_yolo_data.yaml,1280,100,8,True,,,2026,completed,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_baselines/20260614_014141_yolov5su_visdrone_seed2026,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_baselines/20260614_014141_yolov5su_visdrone_seed2026/ultralytics/results.csv,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_baselines/20260614_014141_yolov5su_visdrone_seed2026/ultralytics/weights/best.pt,66.0,0.33225,0.53859,,,0.63603,0.52333,0.57420228384626,100.0,0.32066,0.52286,,,0.61675,0.51576,0.5617521787887083,0.8878220154451091,,,9126062,24.1
YOLOv8s,yolov8s.pt,yolov8s.pt,,,,false,implemented,YOLO,yolo,v8,v8,true,small,small,small,small,VisDrone2019-DET,/home/oem/projects/multi-uav-marine-city/configs/detector/visdrone_yolo_data.yaml,1280,100,8,True,,,42,completed,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_baselines/20260614_014350_yolov8s_visdrone_seed42,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_baselines/20260614_014350_yolov8s_visdrone_seed42/ultralytics/results.csv,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_baselines/20260614_014350_yolov8s_visdrone_seed42/ultralytics/weights/best.pt,61.0,0.33286,0.54179,,,0.63978,0.52572,0.5771688401544401,100.0,0.32363,0.52929,,,0.63491,0.52186,0.5728608670695126,0.8938796349872028,,,11139470,28.7
YOLOv8s,yolov8s.pt,yolov8s.pt,,,,false,implemented,YOLO,yolo,v8,v8,true,small,small,small,small,VisDrone2019-DET,/home/oem/projects/multi-uav-marine-city/configs/detector/visdrone_yolo_data.yaml,1280,100,8,True,,,123,completed,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_baselines/20260614_041421_yolov8s_visdrone_seed123,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_baselines/20260614_041421_yolov8s_visdrone_seed123/ultralytics/results.csv,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_baselines/20260614_041421_yolov8s_visdrone_seed123/ultralytics/weights/best.pt,61.0,0.33395,0.54063,,,0.6313,0.53047,0.5765094829441283,100.0,0.3214,0.52531,,,0.61033,0.53141,0.5681424234939655,0.8927427353530029,,,11139470,28.7
YOLOv8s,yolov8s.pt,yolov8s.pt,,,,false,implemented,YOLO,yolo,v8,v8,true,small,small,small,small,VisDrone2019-DET,/home/oem/projects/multi-uav-marine-city/configs/detector/visdrone_yolo_data.yaml,1280,100,8,True,,,2026,completed,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_baselines/20260614_042429_yolov8s_visdrone_seed2026,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_baselines/20260614_042429_yolov8s_visdrone_seed2026/ultralytics/results.csv,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_baselines/20260614_042429_yolov8s_visdrone_seed2026/ultralytics/weights/best.pt,61.0,0.33402,0.54155,,,0.62947,0.5343,0.5779936258882769,100.0,0.32082,0.52597,,,0.61587,0.52705,0.5680087556434396,0.8939434030212237,,,11139470,28.7
YOLOv9s,yolov9s.pt,yolov9s.pt,,,,false,implemented,YOLO,yolo,v9,v9,true,small,small,small,small,VisDrone2019-DET,/home/oem/projects/multi-uav-marine-city/configs/detector/visdrone_yolo_data.yaml,1280,100,8,True,,,42,completed,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_baselines/20260614_064950_yolov9s_visdrone_seed42,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_baselines/20260614_064950_yolov9s_visdrone_seed42/ultralytics/results.csv,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_baselines/20260614_064950_yolov9s_visdrone_seed42/ultralytics/weights/best.pt,79.0,0.34507,0.5572,,,0.64537,0.53859,0.5871648168857057,100.0,0.33921,0.55327,,,0.64314,0.53515,0.5841963710122297,0.8927833391423763,,,7291278,27.4
YOLOv9s,yolov9s.pt,yolov9s.pt,,,,false,implemented,YOLO,yolo,v9,v9,true,small,small,small,small,VisDrone2019-DET,/home/oem/projects/multi-uav-marine-city/configs/detector/visdrone_yolo_data.yaml,1280,100,8,True,,,123,completed,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_baselines/20260614_070217_yolov9s_visdrone_seed123,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_baselines/20260614_070217_yolov9s_visdrone_seed123/ultralytics/results.csv,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_baselines/20260614_070217_yolov9s_visdrone_seed123/ultralytics/weights/best.pt,69.0,0.34467,0.5563,,,0.64853,0.53545,0.5865899567560263,100.0,0.33742,0.54869,,,0.63705,0.53983,0.5844244128543267,0.8949527427370964,,,7291278,27.4
YOLOv9s,yolov9s.pt,yolov9s.pt,,,,false,implemented,YOLO,yolo,v9,v9,true,small,small,small,small,VisDrone2019-DET,/home/oem/projects/multi-uav-marine-city/configs/detector/visdrone_yolo_data.yaml,1280,100,8,True,,,2026,completed,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_baselines/20260614_104255_yolov9s_visdrone_seed2026,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_baselines/20260614_104255_yolov9s_visdrone_seed2026/ultralytics/results.csv,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_baselines/20260614_104255_yolov9s_visdrone_seed2026/ultralytics/weights/best.pt,79.0,0.34646,0.55853,,,0.64365,0.54787,0.5919103758224789,100.0,0.34151,0.55155,,,0.6417,0.5383,0.5854696779661017,0.8907373504402987,,,7291278,27.4
