method,model,base_model,ablation,proposed_module,model_patches,is_proposed,implementation_status,detector_family,architecture_group,model_version,yolo_version,is_yolo,model_scale,name_size_tag,param_size_group,size_group,dataset,seed_count,seeds,analysis_level,best_AP_mean,best_AP_std,best_AP_n,best_AP_mean_std,best_AP50_mean,best_AP50_std,best_AP50_n,best_AP50_mean_std,best_precision_mean,best_precision_std,best_precision_n,best_precision_mean_std,best_recall_mean,best_recall_std,best_recall_n,best_recall_mean_std,best_F1_mean,best_F1_std,best_F1_n,best_F1_mean_std,ROC-AUC_mean,ROC-AUC_std,ROC-AUC_n,ROC-AUC_mean_std,Params_mean,Params_std,Params_n,Params_mean_std,GFLOPs_mean,GFLOPs_std,GFLOPs_n,GFLOPs_mean_std
YOLOv5mu,yolov5mu.pt,yolov5mu.pt,,,,false,implemented,YOLO,yolo,v5,v5,true,medium,medium,medium,medium,VisDrone2019-DET,3,"123,2026,42",preliminary,0.35463333333333336,0.0009327557736799964,3,0.3546 +/- 0.0009,0.5673366666666667,0.0011676186592091738,3,0.5673 +/- 0.0012,0.6564466666666666,0.003034045703896568,3,0.6564 +/- 0.0030,0.55057,0.005435328876894186,3,0.5506 +/- 0.0054,0.5988458369820772,0.0023435123326770754,3,0.5988 +/- 0.0023,0.8924091937713916,0.000282878983976929,3,0.8924 +/- 0.0003,25070926.0,0.0,3,25070926.0000 +/- 0.0000,64.4,0.0,3,64.4000 +/- 0.0000
YOLOv5nu,yolov5nu.pt,yolov5nu.pt,,,,false,implemented,YOLO,yolo,v5,v5,true,nano,nano,nano,nano,VisDrone2019-DET,3,"123,2026,42",preliminary,0.28347666666666665,0.0006469415223444552,3,0.2835 +/- 0.0006,0.4696166666666667,0.0015460379469253995,3,0.4696 +/- 0.0015,0.5780666666666667,0.013754127865238639,3,0.5781 +/- 0.0138,0.45968,0.008675523038987328,3,0.4597 +/- 0.0087,0.5119711291224358,0.001825098534184929,3,0.5120 +/- 0.0018,0.8705095563620243,0.0018774647594609446,3,0.8705 +/- 0.0019,2510414.0,0.0,3,2510414.0000 +/- 0.0000,7.2,0.0,3,7.2000 +/- 0.0000
YOLOv5su,yolov5su.pt,yolov5su.pt,,,,false,implemented,YOLO,yolo,v5,v5,true,small,small,small,small,VisDrone2019-DET,3,"123,2026,42",preliminary,0.33000999999999997,0.0024400000000000064,3,0.3300 +/- 0.0024,0.5363133333333333,0.002542328329176507,3,0.5363 +/- 0.0025,0.62965,0.005627894810672977,3,0.6297 +/- 0.0056,0.5236366666666666,0.0007021633238309548,3,0.5236 +/- 0.0007,0.5717618719842281,0.002114258444204661,3,0.5718 +/- 0.0021,0.8876090552397378,0.0012098071540718345,3,0.8876 +/- 0.0012,9126062.0,0.0,3,9126062.0000 +/- 0.0000,24.1,0.0,3,24.1000 +/- 0.0000
YOLOv8l,yolov8l.pt,yolov8l.pt,,,,false,implemented,YOLO,yolo,v8,v8,true,large,large,large,large,VisDrone2019-DET,3,"123,2026,42",preliminary,0.37654333333333334,0.00027934447074057234,3,0.3765 +/- 0.0003,0.5962933333333333,0.0007879932317814256,3,0.5963 +/- 0.0008,0.6694933333333334,0.005379965923064302,3,0.6695 +/- 0.0054,0.5769633333333333,0.004721909924313791,3,0.5770 +/- 0.0047,0.6197670597269057,0.0006034299750058408,3,0.6198 +/- 0.0006,0.8954776137921995,0.0021937449701042956,3,0.8955 +/- 0.0022,43637550.0,0.0,3,43637550.0000 +/- 0.0000,165.4,0.0,3,165.4000 +/- 0.0000
YOLOv8m,yolov8m.pt,yolov8m.pt,,,,false,implemented,YOLO,yolo,v8,v8,true,medium,medium,medium,medium,VisDrone2019-DET,3,"123,2026,42",preliminary,0.36090666666666665,0.001714069232362968,3,0.3609 +/- 0.0017,0.5771499999999999,0.0011621961968617707,3,0.5771 +/- 0.0012,0.6592633333333333,0.0027159037783642645,3,0.6593 +/- 0.0027,0.5621666666666667,0.005161020570907802,3,0.5622 +/- 0.0052,0.606838110250844,0.0018898030194893134,3,0.6068 +/- 0.0019,0.894898680129211,0.0015506501949860173,3,0.8949 +/- 0.0016,25862110.0,0.0,3,25862110.0000 +/- 0.0000,79.1,0.0,3,79.1000 +/- 0.0000
YOLOv8n,yolov8n.pt,yolov8n.pt,,,,false,implemented,YOLO,yolo,v8,v8,true,nano,nano,nano,nano,VisDrone2019-DET,3,"123,2026,42",preliminary,0.29208666666666666,0.0006784049921200025,3,0.2921 +/- 0.0007,0.48185,0.0009042123644365723,3,0.4819 +/- 0.0009,0.58166,0.002467630442347498,3,0.5817 +/- 0.0025,0.47707333333333335,0.00174127348033941,3,0.4771 +/- 0.0017,0.5242008527127321,0.002052859296871638,3,0.5242 +/- 0.0021,0.8722112136852563,0.003443783318722199,3,0.8722 +/- 0.0034,3012798.0,0.0,3,3012798.0000 +/- 0.0000,8.2,0.0,3,8.2000 +/- 0.0000
YOLOv8s,yolov8s.pt,yolov8s.pt,,,,false,implemented,YOLO,yolo,v8,v8,true,small,small,small,small,VisDrone2019-DET,3,"123,2026,42",preliminary,0.33361,0.000650461374717984,3,0.3336 +/- 0.0007,0.5413233333333334,0.0006123180001708972,3,0.5413 +/- 0.0006,0.6335166666666666,0.005500839329896266,3,0.6335 +/- 0.0055,0.5301633333333333,0.004298212806892358,3,0.5302 +/- 0.0043,0.5772239829956151,0.0007436064949730621,3,0.5772 +/- 0.0007,0.8935219244538097,0.0006755503916459053,3,0.8935 +/- 0.0007,11139470.0,0.0,3,11139470.0000 +/- 0.0000,28.7,0.0,3,28.7000 +/- 0.0000
YOLOv9m,yolov9m.pt,yolov9m.pt,,,,false,implemented,YOLO,yolo,v9,v9,true,medium,medium,medium,medium,VisDrone2019-DET,3,"123,2026,42",preliminary,0.36995,0.0002971531591620764,3,0.3700 +/- 0.0003,0.59102,0.0012308939840619498,3,0.5910 +/- 0.0012,0.67081,0.00806721761203949,3,0.6708 +/- 0.0081,0.57495,0.005222824906121178,3,0.5749 +/- 0.0052,0.6191587846092573,0.0034661941862973488,3,0.6192 +/- 0.0035,0.8987213047612997,0.002243637141059352,3,0.8987 +/- 0.0022,20165550.0,0.0,3,20165550.0000 +/- 0.0000,77.6,0.0,3,77.6000 +/- 0.0000
YOLOv9s,yolov9s.pt,yolov9s.pt,,,,false,implemented,YOLO,yolo,v9,v9,true,small,small,small,small,VisDrone2019-DET,3,"123,2026,42",preliminary,0.3454,0.0009395211546314488,3,0.3454 +/- 0.0009,0.5573433333333333,0.0011218882891506077,3,0.5573 +/- 0.0011,0.64585,0.0024751565607048,3,0.6459 +/- 0.0025,0.5406366666666667,0.006457997625683457,3,0.5406 +/- 0.0065,0.5885550498214036,0.002919978676684544,3,0.5886 +/- 0.0029,0.8928244774399238,0.002107997230458128,3,0.8928 +/- 0.0021,7291278.0,0.0,3,7291278.0000 +/- 0.0000,27.4,0.0,3,27.4000 +/- 0.0000
yolov9c,yolov9c.pt,yolov9c.pt,,,,false,implemented,Other,non_yolo,unknown,,false,unknown,unknown,medium,medium,VisDrone2019-DET,3,"123,2026,42",preliminary,0.37376333333333334,0.0008850047080854022,3,0.3738 +/- 0.0009,0.59421,0.001962753168383653,3,0.5942 +/- 0.0020,0.6641133333333333,0.0038320925528140984,3,0.6641 +/- 0.0038,0.5831066666666667,0.002913165517668579,3,0.5831 +/- 0.0029,0.6209685024937384,0.0010141493149636166,3,0.6210 +/- 0.0010,0.8977543664062981,0.0011285572831733152,3,0.8978 +/- 0.0011,25536942.0,0.0,3,25536942.0000 +/- 0.0000,103.7,0.0,3,103.7000 +/- 0.0000
yolov9e,yolov9e.pt,yolov9e.pt,,,,false,implemented,Other,non_yolo,unknown,,false,unknown,unknown,large,large,VisDrone2019-DET,1,42,preliminary,0.38643,0.0,1,0.3864 +/- 0.0000,0.61393,0.0,1,0.6139 +/- 0.0000,0.68015,0.0,1,0.6802 +/- 0.0000,0.59541,0.0,1,0.5954 +/- 0.0000,0.6349652097902098,0.0,1,0.6350 +/- 0.0000,0.9021784328900282,0.0,1,0.9022 +/- 0.0000,58152622.0,0.0,1,58152622.0000 +/- 0.0000,192.7,0.0,1,192.7000 +/- 0.0000
yolov9t,yolov9t.pt,yolov9t.pt,,,,false,implemented,Other,non_yolo,unknown,,false,unknown,unknown,nano,nano,VisDrone2019-DET,3,"123,2026,42",preliminary,0.30430999999999997,0.0018369540005127962,3,0.3043 +/- 0.0018,0.4969133333333333,0.0032339191909095863,3,0.4969 +/- 0.0032,0.5955166666666667,0.005933905403133179,3,0.5955 +/- 0.0059,0.49047,0.008159086958722766,3,0.4905 +/- 0.0082,0.5378500086564235,0.0025257234195726216,3,0.5379 +/- 0.0025,0.8737397173129142,0.0004492928360535693,3,0.8737 +/- 0.0004,2007358.0,0.0,3,2007358.0000 +/- 0.0000,7.9,0.0,3,7.9000 +/- 0.0000
