panel,tracker,method,dimension,bin,accepted_links,correct,false,unknown,auditable_link_precision
m3ot_oracle,ocsort,regr_final,reciprocal_support,non-consensus,74,39,35,0,0.527027027027027
m3ot_oracle,ocsort,regr_final_no_motion,gap,1-5 frames,111,55,56,0,0.4954954954954955
m3ot_oracle,ocsort,regr_final_no_motion,gap,16-30 frames,22,0,22,0,0.0
m3ot_oracle,ocsort,regr_final_no_motion,gap,6-15 frames,30,6,24,0,0.2
m3ot_oracle,ocsort,regr_final_no_motion,motion_reliability,reliable,162,61,101,0,0.3765432098765432
m3ot_oracle,ocsort,regr_final_no_motion,motion_reliability,uninformative,1,0,1,0,0.0
m3ot_oracle,ocsort,regr_final_no_motion,object_size,tiny (<32^2 px),163,61,102,0,0.37423312883435583
m3ot_oracle,ocsort,regr_final_no_motion,reciprocal_support,consensus,63,22,41,0,0.3492063492063492
m3ot_oracle,ocsort,regr_final_no_motion,reciprocal_support,non-consensus,100,39,61,0,0.39
mmot_detector,bytetrack,regr_final,gap,1-5 frames,2616,101,14,2501,0.8782608695652174
mmot_detector,bytetrack,regr_final,gap,16-30 frames,522,4,10,508,0.2857142857142857
mmot_detector,bytetrack,regr_final,gap,6-15 frames,1231,17,16,1198,0.5151515151515151
mmot_detector,bytetrack,regr_final,motion_reliability,reliable,706,81,29,596,0.7363636363636363
mmot_detector,bytetrack,regr_final,motion_reliability,uninformative,3663,41,11,3611,0.7884615384615384
mmot_detector,bytetrack,regr_final,object_size,small (32^2-96^2 px),622,102,35,485,0.7445255474452555
mmot_detector,bytetrack,regr_final,object_size,tiny (<32^2 px),3747,20,5,3722,0.8
mmot_detector,bytetrack,regr_final,reciprocal_support,consensus,1483,84,22,1377,0.7924528301886793
mmot_detector,bytetrack,regr_final,reciprocal_support,non-consensus,2886,38,18,2830,0.6785714285714286
mmot_detector,bytetrack,regr_final_no_motion,gap,1-5 frames,2614,101,14,2499,0.8782608695652174
mmot_detector,bytetrack,regr_final_no_motion,gap,16-30 frames,526,6,10,510,0.375
mmot_detector,bytetrack,regr_final_no_motion,gap,6-15 frames,1234,17,16,1201,0.5151515151515151
mmot_detector,bytetrack,regr_final_no_motion,motion_reliability,reliable,711,83,29,599,0.7410714285714286
mmot_detector,bytetrack,regr_final_no_motion,motion_reliability,uninformative,3663,41,11,3611,0.7884615384615384
mmot_detector,bytetrack,regr_final_no_motion,object_size,small (32^2-96^2 px),627,104,35,488,0.7482014388489209
mmot_detector,bytetrack,regr_final_no_motion,object_size,tiny (<32^2 px),3747,20,5,3722,0.8
mmot_detector,bytetrack,regr_final_no_motion,reciprocal_support,consensus,1486,84,22,1380,0.7924528301886793
mmot_detector,bytetrack,regr_final_no_motion,reciprocal_support,non-consensus,2888,40,18,2830,0.6896551724137931
mmot_detector,deepocsort,regr_final,gap,1-5 frames,535,32,6,497,0.8421052631578947
mmot_detector,deepocsort,regr_final,gap,16-30 frames,121,2,3,116,0.4
mmot_detector,deepocsort,regr_final,gap,6-15 frames,243,10,10,223,0.5
mmot_detector,deepocsort,regr_final,motion_reliability,reliable,61,11,12,38,0.4782608695652174
mmot_detector,deepocsort,regr_final,motion_reliability,uninformative,838,33,7,798,0.825
mmot_detector,deepocsort,regr_final,object_size,small (32^2-96^2 px),101,23,16,62,0.5897435897435898
mmot_detector,deepocsort,regr_final,object_size,tiny (<32^2 px),798,21,3,774,0.875
mmot_detector,deepocsort,regr_final,reciprocal_support,consensus,448,39,12,397,0.7647058823529411
mmot_detector,deepocsort,regr_final,reciprocal_support,non-consensus,451,5,7,439,0.4166666666666667
mmot_detector,deepocsort,regr_final_no_motion,gap,1-5 frames,535,32,6,497,0.8421052631578947
mmot_detector,deepocsort,regr_final_no_motion,gap,16-30 frames,123,3,4,116,0.42857142857142855
mmot_detector,deepocsort,regr_final_no_motion,gap,6-15 frames,243,10,10,223,0.5
mmot_detector,deepocsort,regr_final_no_motion,motion_reliability,reliable,63,12,13,38,0.48
mmot_detector,deepocsort,regr_final_no_motion,motion_reliability,uninformative,838,33,7,798,0.825
mmot_detector,deepocsort,regr_final_no_motion,object_size,small (32^2-96^2 px),103,24,17,62,0.5853658536585366
mmot_detector,deepocsort,regr_final_no_motion,object_size,tiny (<32^2 px),798,21,3,774,0.875
mmot_detector,deepocsort,regr_final_no_motion,reciprocal_support,consensus,449,40,12,397,0.7692307692307693
mmot_detector,deepocsort,regr_final_no_motion,reciprocal_support,non-consensus,452,5,8,439,0.38461538461538464
mmot_detector,ocsort,regr_final,gap,1-5 frames,1911,164,47,1700,0.7772511848341233
mmot_detector,ocsort,regr_final,gap,16-30 frames,266,12,27,227,0.3076923076923077
mmot_detector,ocsort,regr_final,gap,6-15 frames,495,43,46,406,0.48314606741573035
mmot_detector,ocsort,regr_final,motion_reliability,reliable,238,73,39,126,0.6517857142857143
mmot_detector,ocsort,regr_final,motion_reliability,uninformative,2434,146,81,2207,0.6431718061674009
mmot_detector,ocsort,regr_final,object_size,small (32^2-96^2 px),541,191,102,248,0.6518771331058021
mmot_detector,ocsort,regr_final,object_size,tiny (<32^2 px),2131,28,18,2085,0.6086956521739131
mmot_detector,ocsort,regr_final,reciprocal_support,consensus,1218,157,62,999,0.7168949771689498
mmot_detector,ocsort,regr_final,reciprocal_support,non-consensus,1454,62,58,1334,0.5166666666666667
mmot_detector,ocsort,regr_final_no_motion,gap,1-5 frames,1912,164,47,1701,0.7772511848341233
mmot_detector,ocsort,regr_final_no_motion,gap,16-30 frames,266,12,27,227,0.3076923076923077
mmot_detector,ocsort,regr_final_no_motion,gap,6-15 frames,497,43,47,407,0.4777777777777778
mmot_detector,ocsort,regr_final_no_motion,motion_reliability,reliable,241,73,40,128,0.6460176991150443
