protocol,family,sequence,tracker,method,metric,stored_value,rerun_value,absolute_difference,passed
official_detector,legacy12,data28-1,bytetrack,geometry_reid_greedy_guard,Frag,284.0,284.0,0.0,True
official_detector,legacy12,data28-1,bytetrack,geometry_reid_greedy_guard,accepted_correct,5.0,5.0,0.0,True
official_detector,legacy12,data28-1,bytetrack,geometry_reid_greedy_guard,accepted_false,14.0,14.0,0.0,True
official_detector,legacy12,data28-1,bytetrack,geometry_reid_greedy_guard,accepted_unknown,91.0,91.0,0.0,True
official_detector,legacy12,data28-1,bytetrack,geometry_reid_greedy_guard,eligible_source_tracklets,200.0,200.0,0.0,True
official_detector,legacy12,data28-1,bytetrack,geometry_reid_greedy_guard,input_rows,2759.0,2759.0,0.0,True
official_detector,legacy12,data28-1,bytetrack,geometry_reid_greedy_guard,output_rows,2759.0,2759.0,0.0,True
official_detector,legacy12,data28-1,bytetrack,geometry_reid_greedy_guard,valid_gt_boxes,3966.0,3966.0,0.0,True
official_detector,legacy12,data28-1,bytetrack,geometry_reid_greedy_guard,predicted_boxes,2759.0,2759.0,0.0,True
official_detector,legacy12,data28-1,bytetrack,geometry_reid_hungarian,HOTA,27.691443829003653,27.691443829003653,0.0,True
official_detector,legacy12,data28-1,bytetrack,geometry_reid_hungarian,AssA,15.786212704120626,15.786212704120626,0.0,True
official_detector,legacy12,data28-1,bytetrack,geometry_reid_hungarian,DetA,48.90462710669946,48.90462710669946,0.0,True
official_detector,legacy12,data28-1,bytetrack,geometry_reid_hungarian,IDF1,33.01115241635688,33.01115241635688,0.0,True
official_detector,legacy12,data28-1,bytetrack,geometry_reid_hungarian,MOTA,46.7725668179526,46.7725668179526,0.0,True
official_detector,legacy12,data28-1,bytetrack,geometry_reid_hungarian,IDSW,500.0,500.0,0.0,True
official_detector,legacy12,data28-1,bytetrack,geometry_reid_hungarian,FP,202.0,202.0,0.0,True
official_detector,legacy12,data28-1,bytetrack,geometry_reid_hungarian,FN,1409.0,1409.0,0.0,True
official_detector,legacy12,data28-1,bytetrack,geometry_reid_hungarian,TP,2557.0,2557.0,0.0,True
official_detector,legacy12,data28-1,bytetrack,geometry_reid_hungarian,Frag,284.0,284.0,0.0,True
official_detector,legacy12,data28-1,bytetrack,geometry_reid_hungarian,accepted_correct,6.0,6.0,0.0,True
official_detector,legacy12,data28-1,bytetrack,geometry_reid_hungarian,accepted_false,16.0,16.0,0.0,True
official_detector,legacy12,data28-1,bytetrack,geometry_reid_hungarian,accepted_unknown,78.0,78.0,0.0,True
official_detector,legacy12,data28-1,bytetrack,geometry_reid_hungarian,eligible_source_tracklets,200.0,200.0,0.0,True
official_detector,legacy12,data28-1,bytetrack,geometry_reid_hungarian,input_rows,2759.0,2759.0,0.0,True
official_detector,legacy12,data28-1,bytetrack,geometry_reid_hungarian,output_rows,2759.0,2759.0,0.0,True
official_detector,legacy12,data28-1,bytetrack,geometry_reid_hungarian,valid_gt_boxes,3966.0,3966.0,0.0,True
official_detector,legacy12,data28-1,bytetrack,geometry_reid_hungarian,predicted_boxes,2759.0,2759.0,0.0,True
official_detector,legacy12,data28-1,bytetrack,no_refinement,HOTA,27.18798067736337,27.18798067736337,0.0,True
official_detector,legacy12,data28-1,bytetrack,no_refinement,AssA,15.232054378652165,15.232054378652165,0.0,True
official_detector,legacy12,data28-1,bytetrack,no_refinement,DetA,48.90462710669946,48.90462710669946,0.0,True
official_detector,legacy12,data28-1,bytetrack,no_refinement,IDF1,30.691449814126393,30.691449814126393,0.0,True
official_detector,legacy12,data28-1,bytetrack,no_refinement,MOTA,46.31870902672718,46.31870902672718,0.0,True
official_detector,legacy12,data28-1,bytetrack,no_refinement,IDSW,518.0,518.0,0.0,True
official_detector,legacy12,data28-1,bytetrack,no_refinement,FP,202.0,202.0,0.0,True
official_detector,legacy12,data28-1,bytetrack,no_refinement,FN,1409.0,1409.0,0.0,True
official_detector,legacy12,data28-1,bytetrack,no_refinement,TP,2557.0,2557.0,0.0,True
official_detector,legacy12,data28-1,bytetrack,no_refinement,Frag,284.0,284.0,0.0,True
official_detector,legacy12,data28-1,bytetrack,no_refinement,accepted_correct,0.0,0.0,0.0,True
official_detector,legacy12,data28-1,bytetrack,no_refinement,accepted_false,0.0,0.0,0.0,True
official_detector,legacy12,data28-1,bytetrack,no_refinement,accepted_unknown,0.0,0.0,0.0,True
official_detector,legacy12,data28-1,bytetrack,no_refinement,eligible_source_tracklets,200.0,200.0,0.0,True
official_detector,legacy12,data28-1,bytetrack,no_refinement,input_rows,2759.0,2759.0,0.0,True
official_detector,legacy12,data28-1,bytetrack,no_refinement,output_rows,2759.0,2759.0,0.0,True
official_detector,legacy12,data28-1,bytetrack,no_refinement,valid_gt_boxes,3966.0,3966.0,0.0,True
official_detector,legacy12,data28-1,bytetrack,no_refinement,predicted_boxes,2759.0,2759.0,0.0,True
official_detector,legacy12,data28-1,deepocsort,com3d_reciprocal_guard,HOTA,72.38883118322967,72.38883118322967,0.0,True
official_detector,legacy12,data28-1,deepocsort,com3d_reciprocal_guard,AssA,81.47165392493557,81.47165392493557,0.0,True
official_detector,legacy12,data28-1,deepocsort,com3d_reciprocal_guard,DetA,64.37387562275049,64.37387562275049,0.0,True
official_detector,legacy12,data28-1,deepocsort,com3d_reciprocal_guard,IDF1,84.68314862176754,84.68314862176754,0.0,True
official_detector,legacy12,data28-1,deepocsort,com3d_reciprocal_guard,MOTA,73.19717599596571,73.19717599596571,0.0,True
official_detector,legacy12,data28-1,deepocsort,com3d_reciprocal_guard,IDSW,9.0,9.0,0.0,True
official_detector,legacy12,data28-1,deepocsort,com3d_reciprocal_guard,FP,80.0,80.0,0.0,True
official_detector,legacy12,data28-1,deepocsort,com3d_reciprocal_guard,FN,974.0,974.0,0.0,True
