accepted_correct,accepted_false,accepted_link_error_rate,accepted_link_precision,accepted_unknown,all_accepted_coverage,eligible_source_tracklets,known_link_coverage,method,parameter,scope,threshold,tracker,valid_output
348,405,0.5378486055776892,0.46215139442231074,4896,0.5515524311657879,10242,0.07352079671939074,geometry_reid_hungarian,appearance_cosine,confirmation38,0.25,bytetrack,True
351,409,0.5381578947368421,0.4618421052631579,4984,0.5608279632884202,10242,0.07420425698105838,geometry_reid_hungarian,appearance_cosine,confirmation38,0.3,bytetrack,True
12,11,0.4782608695652174,0.5217391304347826,0,0.0022456551454793985,10242,0.0022456551454793985,aflink_official,aflink_cost,confirmation38,0.01,bytetrack,True
19,25,0.5681818181818182,0.4318181818181818,4,0.0046865846514352666,10242,0.004296035930482328,aflink_official,aflink_cost,confirmation38,0.025,bytetrack,False
33,56,0.6292134831460674,0.3707865168539326,29,0.011521187268111696,10242,0.00868970904120289,aflink_official,aflink_cost,confirmation38,0.05,bytetrack,False
57,89,0.6095890410958904,0.3904109589041096,90,0.023042374536223393,10242,0.01425502831478227,aflink_official,aflink_cost,confirmation38,0.1,bytetrack,False
89,148,0.6244725738396625,0.3755274261603376,161,0.03885959773481742,10242,0.023140011716461628,aflink_official,aflink_cost,confirmation38,0.2,bytetrack,False
128,222,0.6342857142857142,0.3657142857142857,335,0.06688146846319078,10242,0.03417301308338215,aflink_official,aflink_cost,confirmation38,0.4,bytetrack,False
1062,150,0.12376237623762376,0.8762376237623762,0,0.2342481638964051,5174,0.2342481638964051,com3d_reciprocal_guard,appearance_cosine,confirmation38,0.05,ocsort,True
1388,324,0.18925233644859812,0.8107476635514018,0,0.33088519520680326,5174,0.33088519520680326,com3d_reciprocal_guard,appearance_cosine,confirmation38,0.1,ocsort,True
1361,450,0.2484815019326339,0.7515184980673661,0,0.35001932740626207,5174,0.35001932740626207,com3d_reciprocal_guard,appearance_cosine,confirmation38,0.15,ocsort,True
1299,559,0.3008611410118407,0.6991388589881593,0,0.3591032083494395,5174,0.3591032083494395,com3d_reciprocal_guard,appearance_cosine,confirmation38,0.2,ocsort,True
1241,629,0.33636363636363636,0.6636363636363637,0,0.3614224971008891,5174,0.3614224971008891,com3d_reciprocal_guard,appearance_cosine,confirmation38,0.25,ocsort,True
1183,695,0.37007454739084134,0.6299254526091587,0,0.3629686896018554,5174,0.3629686896018554,com3d_reciprocal_guard,appearance_cosine,confirmation38,0.3,ocsort,True
1163,200,0.1467351430667645,0.8532648569332355,0,0.26343254735214533,5174,0.26343254735214533,geometry_reid_hungarian,appearance_cosine,confirmation38,0.05,ocsort,True
1625,376,0.18790604697651175,0.8120939530234883,0,0.38674139930421336,5174,0.38674139930421336,geometry_reid_hungarian,appearance_cosine,confirmation38,0.1,ocsort,True
1750,501,0.22256774766770324,0.7774322523322967,0,0.43505991495941243,5174,0.43505991495941243,geometry_reid_hungarian,appearance_cosine,confirmation38,0.15,ocsort,True
1792,594,0.24895222129086336,0.7510477787091366,0,0.4611519134132199,5174,0.4611519134132199,geometry_reid_hungarian,appearance_cosine,confirmation38,0.2,ocsort,True
1805,661,0.2680454176804542,0.7319545823195458,0,0.47661383842288363,5174,0.47661383842288363,geometry_reid_hungarian,appearance_cosine,confirmation38,0.25,ocsort,True
1818,699,0.27771156138259834,0.7222884386174017,0,0.48647081561654426,5174,0.48647081561654426,geometry_reid_hungarian,appearance_cosine,confirmation38,0.3,ocsort,True
15,4,0.21052631578947367,0.7894736842105263,0,0.0036722071897951295,5174,0.0036722071897951295,aflink_official,aflink_cost,confirmation38,0.01,ocsort,False
21,9,0.3,0.7,0,0.005798221878623889,5174,0.005798221878623889,aflink_official,aflink_cost,confirmation38,0.025,ocsort,False
38,23,0.3770491803278688,0.6229508196721312,0,0.011789717819868574,5174,0.011789717819868574,aflink_official,aflink_cost,confirmation38,0.05,ocsort,False
64,57,0.47107438016528924,0.5289256198347108,0,0.02338616157711635,5174,0.02338616157711635,aflink_official,aflink_cost,confirmation38,0.1,ocsort,False
95,90,0.4864864864864865,0.5135135135135135,0,0.03575570158484731,5174,0.03575570158484731,aflink_official,aflink_cost,confirmation38,0.2,ocsort,False
148,156,0.5131578947368421,0.4868421052631579,0,0.05875531503672207,5174,0.05875531503672207,aflink_official,aflink_cost,confirmation38,0.4,ocsort,False
293,108,0.26932668329177056,0.7306733167082294,0,0.13371123707902635,2999,0.13371123707902635,com3d_reciprocal_guard,appearance_cosine,confirmation38,0.05,deepocsort,True
438,189,0.3014354066985646,0.6985645933014354,0,0.20906968989663222,2999,0.20906968989663222,com3d_reciprocal_guard,appearance_cosine,confirmation38,0.1,deepocsort,True
463,266,0.36488340192043894,0.635116598079561,0,0.243081027009003,2999,0.243081027009003,com3d_reciprocal_guard,appearance_cosine,confirmation38,0.15,deepocsort,True
471,294,0.3843137254901961,0.615686274509804,0,0.2550850283427809,2999,0.2550850283427809,com3d_reciprocal_guard,appearance_cosine,confirmation38,0.2,deepocsort,True
460,330,0.4177215189873418,0.5822784810126582,0,0.2634211403801267,2999,0.2634211403801267,com3d_reciprocal_guard,appearance_cosine,confirmation38,0.25,deepocsort,True
454,342,0.4296482412060301,0.5703517587939698,0,0.2654218072690897,2999,0.2654218072690897,com3d_reciprocal_guard,appearance_cosine,confirmation38,0.3,deepocsort,True
322,115,0.2631578947368421,0.7368421052631579,0,0.14571523841280426,2999,0.14571523841280426,geometry_reid_hungarian,appearance_cosine,confirmation38,0.05,deepocsort,True
500,233,0.3178717598908595,0.6821282401091405,0,0.24441480493497833,2999,0.24441480493497833,geometry_reid_hungarian,appearance_cosine,confirmation38,0.1,deepocsort,True
572,320,0.35874439461883406,0.6412556053811659,0,0.2974324774924975,2999,0.2974324774924975,geometry_reid_hungarian,appearance_cosine,confirmation38,0.15,deepocsort,True
595,359,0.37631027253668764,0.6236897274633124,0,0.31810603534511506,2999,0.31810603534511506,geometry_reid_hungarian,appearance_cosine,confirmation38,0.2,deepocsort,True
616,384,0.384,0.616,0,0.33344448149383127,2999,0.33344448149383127,geometry_reid_hungarian,appearance_cosine,confirmation38,0.25,deepocsort,True
621,395,0.3887795275590551,0.6112204724409449,0,0.3387795931977326,2999,0.3387795931977326,geometry_reid_hungarian,appearance_cosine,confirmation38,0.3,deepocsort,True
17,23,0.575,0.425,0,0.013337779259753251,2999,0.013337779259753251,aflink_official,aflink_cost,confirmation38,0.01,deepocsort,True
27,39,0.5909090909090909,0.4090909090909091,0,0.022007335778592863,2999,0.022007335778592863,aflink_official,aflink_cost,confirmation38,0.025,deepocsort,False
44,67,0.6036036036036037,0.3963963963963964,0,0.03701233744581527,2999,0.03701233744581527,aflink_official,aflink_cost,confirmation38,0.05,deepocsort,False
64,120,0.6521739130434783,0.34782608695652173,0,0.06135378459486496,2999,0.06135378459486496,aflink_official,aflink_cost,confirmation38,0.1,deepocsort,False
95,190,0.6666666666666666,0.3333333333333333,0,0.09503167722574192,2999,0.09503167722574192,aflink_official,aflink_cost,confirmation38,0.2,deepocsort,False
148,307,0.6747252747252748,0.3252747252747253,0,0.15171723907969323,2999,0.15171723907969323,aflink_official,aflink_cost,confirmation38,0.4,deepocsort,False
229,121,0.3457142857142857,0.6542857142857142,2088,0.19915046561019442,12242,0.028590099656918805,com3d_reciprocal_guard,appearance_cosine,all_sequences,0.05,bytetrack,True
312,190,0.3784860557768924,0.6215139442231076,3248,0.30632249632413006,12242,0.04100637150792354,com3d_reciprocal_guard,appearance_cosine,all_sequences,0.1,bytetrack,True
328,218,0.3992673992673993,0.6007326007326007,3639,0.34185590589772913,12242,0.044600555464793336,com3d_reciprocal_guard,appearance_cosine,all_sequences,0.15,bytetrack,True
324,238,0.4234875444839858,0.5765124555160143,3796,0.355987583728149,12242,0.045907531449109626,com3d_reciprocal_guard,appearance_cosine,all_sequences,0.2,bytetrack,True
320,249,0.437609841827768,0.562390158172232,3881,0.36350269563796767,12242,0.046479333442248,com3d_reciprocal_guard,appearance_cosine,all_sequences,0.25,bytetrack,True
317,255,0.4458041958041958,0.5541958041958042,3909,0.3660349616075805,12242,0.0467243914393073,com3d_reciprocal_guard,appearance_cosine,all_sequences,0.3,bytetrack,True
256,183,0.4168564920273349,0.5831435079726651,2463,0.23705276915536677,12242,0.03586015356967816,geometry_reid_hungarian,appearance_cosine,all_sequences,0.05,bytetrack,True
364,354,0.49303621169916434,0.5069637883008357,4291,0.409165169090018,12242,0.058650547296193435,geometry_reid_hungarian,appearance_cosine,all_sequences,0.1,bytetrack,True
407,415,0.5048661800486618,0.4951338199513382,5065,0.4808854762293743,12242,0.06714589119424931,geometry_reid_hungarian,appearance_cosine,all_sequences,0.15,bytetrack,True
416,446,0.5174013921113689,0.48259860788863107,5416,0.5128247018461036,12242,0.07041333115504003,geometry_reid_hungarian,appearance_cosine,all_sequences,0.2,bytetrack,True
414,464,0.5284738041002278,0.4715261958997722,5613,0.5302238196373141,12242,0.07172030713935632,geometry_reid_hungarian,appearance_cosine,all_sequences,0.25,bytetrack,True
417,468,0.5288135593220339,0.4711864406779661,5721,0.5396177095245875,12242,0.07229210913249469,geometry_reid_hungarian,appearance_cosine,all_sequences,0.3,bytetrack,True
13,11,0.4583333333333333,0.5416666666666666,0,0.001960463976474432,12242,0.001960463976474432,aflink_official,aflink_cost,all_sequences,0.01,bytetrack,True
21,27,0.5625,0.4375,4,0.004247671949027937,12242,0.003920927952948864,aflink_official,aflink_cost,all_sequences,0.025,bytetrack,False
35,64,0.6464646464646465,0.35353535353535354,29,0.010455807874530305,12242,0.008086913902957033,aflink_official,aflink_cost,all_sequences,0.05,bytetrack,False
61,105,0.6325301204819277,0.3674698795180723,95,0.021320045744159452,12242,0.01355987583728149,aflink_official,aflink_cost,all_sequences,0.1,bytetrack,False
94,177,0.6531365313653137,0.34686346863468637,171,0.03610521156673746,12242,0.022136905734357133,aflink_official,aflink_cost,all_sequences,0.2,bytetrack,False
140,265,0.654320987654321,0.345679012345679,362,0.06265316124816206,12242,0.03308282960300604,aflink_official,aflink_cost,all_sequences,0.4,bytetrack,False
1414,163,0.10336081166772353,0.8966391883322765,0,0.23359502295956155,6751,0.23359502295956155,com3d_reciprocal_guard,appearance_cosine,all_sequences,0.05,ocsort,True
1902,381,0.16688567674113008,0.8331143232588699,0,0.3381721226484965,6751,0.3381721226484965,com3d_reciprocal_guard,appearance_cosine,all_sequences,0.1,ocsort,True
1895,556,0.22684618523051817,0.7731538147694819,0,0.3630573248407643,6751,0.3630573248407643,com3d_reciprocal_guard,appearance_cosine,all_sequences,0.15,ocsort,True
1824,701,0.27762376237623765,0.7223762376237624,0,0.3740186639016442,6751,0.3740186639016442,com3d_reciprocal_guard,appearance_cosine,all_sequences,0.2,ocsort,True
1750,807,0.315604223699648,0.684395776300352,0,0.37875870241445714,6751,0.37875870241445714,com3d_reciprocal_guard,appearance_cosine,all_sequences,0.25,ocsort,True
1661,899,0.351171875,0.648828125,0,0.3792030810250333,6751,0.3792030810250333,com3d_reciprocal_guard,appearance_cosine,all_sequences,0.3,ocsort,True
1524,212,0.12211981566820276,0.8778801843317973,0,0.2571470893201007,6751,0.2571470893201007,geometry_reid_hungarian,appearance_cosine,all_sequences,0.05,ocsort,True
2181,424,0.16276391554702496,0.837236084452975,0,0.3858687601836765,6751,0.3858687601836765,geometry_reid_hungarian,appearance_cosine,all_sequences,0.1,ocsort,True
