AssA,DetA,FN,FP,Frag,HOTA,IDF1,IDSW,MOTA,TP,aggregation,invalid_sequences,method,parameter,predicted_boxes,scope,sequence_count,threshold,tracker,valid_gt_boxes,valid_output
49.596208353501915,36.27189091823542,18180,0,896,40.96129170926837,40.435375354051786,1003,33.3663007202579,12486,equal_sequence_mean_metrics_total_counts,0,geometry_reid_hungarian,appearance_cosine,12486,legacy12,12,0.1,ocsort,30666,True
55.68174513794123,42.409118055820606,87556,0,2979,47.817419468242434,47.511664612885745,2933,40.56715821332824,77972,equal_sequence_mean_metrics_total_counts,0,geometry_reid_hungarian,appearance_cosine,77972,confirmation38,38,0.1,ocsort,165528,True
54.22121630967579,40.93618354280017,105736,0,3875,46.17194880608865,45.8133551907656,3936,38.838952414991354,90458,equal_sequence_mean_metrics_total_counts,0,geometry_reid_hungarian,appearance_cosine,90458,all_sequences,50,0.1,ocsort,196194,True
49.66661742796085,36.27189091823542,18180,0,896,40.99391438349501,40.852051668166276,922,33.63115154252619,12486,equal_sequence_mean_metrics_total_counts,0,geometry_reid_hungarian,appearance_cosine,12486,legacy12,12,0.15,ocsort,30666,True
55.96177685070425,42.406916899331954,87556,0,2979,47.93433340406495,47.752256527721585,2776,40.707952767787255,77972,equal_sequence_mean_metrics_total_counts,0,geometry_reid_hungarian,appearance_cosine,77972,confirmation38,38,0.15,ocsort,165528,True
54.45093858924582,40.93451066386879,105736,0,3875,46.268632839128166,46.09620736142831,3698,39.0095204737246,90458,equal_sequence_mean_metrics_total_counts,0,geometry_reid_hungarian,appearance_cosine,90458,all_sequences,50,0.15,ocsort,196194,True
49.69836724277341,36.27189091823542,18180,0,896,41.00769669900553,40.93731646328151,883,33.71378926848967,12486,equal_sequence_mean_metrics_total_counts,0,geometry_reid_hungarian,appearance_cosine,12486,legacy12,12,0.2,ocsort,30666,True
55.97134477497686,42.39577053699566,87556,0,2979,47.929037226575495,47.80389676045955,2722,40.767228363987364,77972,equal_sequence_mean_metrics_total_counts,0,geometry_reid_hungarian,appearance_cosine,77972,confirmation38,38,0.2,ocsort,165528,True
54.46583016724804,40.92603942849321,105736,0,3875,46.26791549995869,46.15591748913681,3605,39.07440298106791,90458,equal_sequence_mean_metrics_total_counts,0,geometry_reid_hungarian,appearance_cosine,90458,all_sequences,50,0.2,ocsort,196194,True
49.77987172488533,36.27189091823542,18180,0,896,41.0504582401704,41.01995978905028,869,33.741896672905135,12486,equal_sequence_mean_metrics_total_counts,0,geometry_reid_hungarian,appearance_cosine,12486,legacy12,12,0.25,ocsort,30666,True
55.964137698733936,42.39577053699566,87556,0,2979,47.92642312672709,47.82244883674114,2699,40.791803678025076,77972,equal_sequence_mean_metrics_total_counts,0,geometry_reid_hungarian,appearance_cosine,77972,confirmation38,38,0.25,ocsort,165528,True
54.479913865010275,40.92603942849321,105736,0,3875,46.276191553953474,46.18985146529533,3568,39.099825996796284,90458,equal_sequence_mean_metrics_total_counts,0,geometry_reid_hungarian,appearance_cosine,90458,all_sequences,50,0.25,ocsort,196194,True
49.72477760982584,36.27189091823542,18180,0,896,41.01650178009236,40.99497284109595,866,33.74747359748226,12486,equal_sequence_mean_metrics_total_counts,0,geometry_reid_hungarian,appearance_cosine,12486,legacy12,12,0.3,ocsort,30666,True
55.936093193418536,42.39555843244396,87556,0,2979,47.91296256953824,47.82437643278605,2681,40.8045906925561,77972,equal_sequence_mean_metrics_total_counts,0,geometry_reid_hungarian,appearance_cosine,77972,confirmation38,38,0.3,ocsort,165528,True
54.445377453356286,40.92587822903393,105736,0,3875,46.25781198007123,46.18531957078042,3547,39.11088258973838,90458,equal_sequence_mean_metrics_total_counts,0,geometry_reid_hungarian,appearance_cosine,90458,all_sequences,50,0.3,ocsort,196194,True
76.32327232979347,67.1069007003687,3851,0,283,70.34791554866588,69.83953537220113,286,65.22753948570173,26815,equal_sequence_mean_metrics_total_counts,0,aflink_official,aflink_cost,26815,legacy12,12,0.01,deepocsort,30666,True
84.01605540407986,86.17802632246548,18279,0,1872,84.86005290978704,85.33921704625669,1660,85.02621049669415,147249,equal_sequence_mean_metrics_total_counts,0,aflink_official,aflink_cost,147249,confirmation38,38,0.01,deepocsort,165528,True
82.16978746625112,81.60095617316226,22130,0,2155,81.37713994311797,81.61929344448338,1946,80.27452945405598,174064,equal_sequence_mean_metrics_total_counts,0,aflink_official,aflink_cost,174064,all_sequences,50,0.01,deepocsort,196194,True
76.31494530709689,67.1069007003687,3851,0,283,70.34366472692672,69.83953537220113,286,65.22753948570173,26815,equal_sequence_mean_metrics_total_counts,0,aflink_official,aflink_cost,26815,legacy12,12,0.025,deepocsort,30666,True
