dataset,split,protocol,data_role,input,sequence,tracker,method,internal_method,parent_method,IDF1,delta_IDF1_vs_None,delta_IDF1_vs_parent,AssA,delta_AssA_vs_None,delta_AssA_vs_parent,IDSW,delta_IDSW_vs_None,delta_IDSW_vs_parent
M3OT,held_out,held_out,exposed exploratory retest,oracle-box tracker output; direct tracker-box BaseReID crops,M3OT/1/ir/test/1-03T,ocsort,H+V,cost_h_full_reassign,H,97.4822974036192,0.3147128245475983,3.8552321007081076,95.19592923199454,0.583826190078014,5.235418088524071,1,-1,-1
M3OT,held_out,held_out,exposed exploratory retest,oracle-box tracker output; direct tracker-box BaseReID crops,M3OT/1/ir/test/1-03T,ocsort,P-G,path_g,None,97.4822974036192,0.3147128245475983,0.3147128245475983,95.19592923199454,0.583826190078014,0.583826190078014,1,-1,-1
M3OT,held_out,held_out,exposed exploratory retest,oracle-box tracker output; direct tracker-box BaseReID crops,M3OT/1/ir/test/1-03T,ocsort,P-G+V,path_g_full_reassign,P-G,97.4822974036192,0.3147128245475983,0.0,95.19592923199454,0.583826190078014,0.0,1,-1,0
M3OT,held_out,held_out,exposed exploratory retest,oracle-box tracker output; direct tracker-box BaseReID crops,M3OT/1/rgb/test/1-03,bytetrack,None,no_refinement,None,99.3050193050193,0.0,0.0,93.80810176939875,0.0,0.0,0,0,0
M3OT,held_out,held_out,exposed exploratory retest,oracle-box tracker output; direct tracker-box BaseReID crops,M3OT/1/rgb/test/1-03,bytetrack,v1,ace_v1,None,96.06177606177606,-3.243243243243242,-3.243243243243242,89.14330440788947,-4.664797361509272,-4.664797361509272,0,0,0
M3OT,held_out,held_out,exposed exploratory retest,oracle-box tracker output; direct tracker-box BaseReID crops,M3OT/1/rgb/test/1-03,bytetrack,H,cost_h,None,96.06177606177606,-3.243243243243242,-3.243243243243242,89.14330440788947,-4.664797361509272,-4.664797361509272,0,0,0
M3OT,held_out,held_out,exposed exploratory retest,oracle-box tracker output; direct tracker-box BaseReID crops,M3OT/1/rgb/test/1-03,bytetrack,H+V,cost_h_full_reassign,H,96.06177606177606,-3.243243243243242,0.0,89.14330440788947,-4.664797361509272,0.0,0,0,0
M3OT,held_out,held_out,exposed exploratory retest,oracle-box tracker output; direct tracker-box BaseReID crops,M3OT/1/rgb/test/1-03,bytetrack,P-G,path_g,None,96.06177606177606,-3.243243243243242,-3.243243243243242,89.14330440788947,-4.664797361509272,-4.664797361509272,0,0,0
M3OT,held_out,held_out,exposed exploratory retest,oracle-box tracker output; direct tracker-box BaseReID crops,M3OT/1/rgb/test/1-03,bytetrack,P-G+V,path_g_full_reassign,P-G,96.06177606177606,-3.243243243243242,0.0,89.14330440788947,-4.664797361509272,0.0,0,0,0
M3OT,held_out,held_out,exposed exploratory retest,oracle-box tracker output; direct tracker-box BaseReID crops,M3OT/1/rgb/test/1-03,ocsort,None,no_refinement,None,97.88566953797964,0.0,0.0,95.89923456617828,0.0,0.0,0,0,0
M3OT,held_out,held_out,exposed exploratory retest,oracle-box tracker output; direct tracker-box BaseReID crops,M3OT/1/rgb/test/1-03,ocsort,v1,ace_v1,None,97.88566953797964,0.0,0.0,95.89923456617828,0.0,0.0,0,0,0
M3OT,held_out,held_out,exposed exploratory retest,oracle-box tracker output; direct tracker-box BaseReID crops,M3OT/1/rgb/test/1-03,ocsort,H,cost_h,None,97.88566953797964,0.0,0.0,95.89923456617828,0.0,0.0,0,0,0
M3OT,held_out,held_out,exposed exploratory retest,oracle-box tracker output; direct tracker-box BaseReID crops,M3OT/1/rgb/test/1-03,ocsort,H+V,cost_h_full_reassign,H,97.88566953797964,0.0,0.0,95.89923456617828,0.0,0.0,0,0,0
