protocol,family,sequence,tracker,table4_method,d16_method,table4_IDF1,d16_IDF1,d16_minus_table4_IDF1,table4_AssA,d16_AssA,d16_minus_table4_AssA,table4_IDSW,d16_IDSW,d16_minus_table4_IDSW,table4_reconstructed_accepted_edges,table4_stored_accepted_edges,table4_reconstruction_count_matches,d16_reconstructed_accepted_edges,d16_stored_accepted_edges,d16_reconstruction_count_matches
oracle_aabb,confirmation38,data34-1,bytetrack,geometry_reid_greedy_guard,path_g,23.97050482132728,20.306296086216676,-3.6642087351106056,17.61477457185388,14.973783435327533,-2.6409911365263454,3098,3291,193,777,777,True,648,648,True
oracle_aabb,confirmation38,data34-1,ocsort,geometry_reid_greedy_guard,path_g,13.562456654080297,13.16174770748247,-0.4007089465978275,47.07916336361397,44.233540289493654,-2.8456230741203186,98,127,29,146,146,True,128,128,True
oracle_aabb,confirmation38,data34-1,deepocsort,geometry_reid_greedy_guard,path_g,78.49316308974011,79.15421534003441,0.6610522502943041,71.28046245059222,72.28285021832033,1.0023877677281092,117,114,-3,136,136,True,133,133,True
oracle_aabb,confirmation38,data34-2,bytetrack,geometry_reid_greedy_guard,path_g,58.56573705179283,57.76892430278885,-0.7968127490039834,69.46860986742095,68.97309699582568,-0.4955128715952668,148,164,16,114,114,True,107,107,True
oracle_aabb,confirmation38,data34-2,ocsort,geometry_reid_greedy_guard,path_g,54.47103274559194,54.47103274559194,0.0,91.67721458510171,91.66896971665082,-0.008244868450887566,6,7,1,21,21,True,21,21,True
oracle_aabb,confirmation38,data34-2,deepocsort,geometry_reid_greedy_guard,path_g,91.89691200371487,92.03622010680289,0.13930810308801256,89.02774952852027,89.11377501041822,0.08602548189794845,11,10,-1,14,14,True,13,13,True
oracle_aabb,confirmation38,data34-3,bytetrack,geometry_reid_greedy_guard,path_g,14.645858343337334,13.985594237695079,-0.6602641056422556,11.53020151226252,11.299854928566191,-0.23034658369632943,443,457,14,153,153,True,121,121,True
oracle_aabb,confirmation38,data34-3,ocsort,geometry_reid_greedy_guard,path_g,15.997229916897506,16.20498614958449,0.2077562326869824,21.3750978664014,21.325093477583394,-0.05000438881800662,61,53,-8,131,131,True,130,130,True
oracle_aabb,confirmation38,data34-3,deepocsort,geometry_reid_greedy_guard,path_g,76.1822125813449,75.66160520607376,-0.5206073752711404,70.56877226677398,69.31528558895592,-1.25348667781806,53,56,3,70,70,True,66,66,True
oracle_aabb,confirmation38,data36-10,bytetrack,geometry_reid_greedy_guard,path_g,43.511314789157694,43.95182777363317,0.4405129844754754,54.578841320368596,54.582203915116914,0.003362594748317349,2047,2146,99,944,944,True,773,773,True
oracle_aabb,confirmation38,data36-10,ocsort,geometry_reid_greedy_guard,path_g,43.07531548910859,43.155694879832815,0.08037939072422517,84.34401941082126,84.34961486544627,0.005595454625009211,126,121,-5,211,211,True,202,202,True
oracle_aabb,confirmation38,data36-10,deepocsort,geometry_reid_greedy_guard,path_g,82.59872329842209,82.36659573880122,-0.23212755962086362,76.80350407342222,75.72343191862491,-1.080072154797307,197,222,25,213,213,True,197,197,True
oracle_aabb,confirmation38,data36-11,bytetrack,geometry_reid_greedy_guard,path_g,49.9961788307222,49.84333205961024,-0.15284677111196032,64.45974823577598,64.39038453932471,-0.06936369645126206,815,865,50,309,309,True,258,258,True
oracle_aabb,confirmation38,data36-11,ocsort,geometry_reid_greedy_guard,path_g,52.13815789473685,52.03947368421053,-0.09868421052632215,83.24954993808667,83.1988209588442,-0.050728979242478545,85,94,9,230,230,True,229,229,True
oracle_aabb,confirmation38,data36-11,deepocsort,geometry_reid_greedy_guard,path_g,93.67029639550456,93.90322017119898,0.2329237756944167,90.48359347807559,90.91333510581141,0.42974162773582236,41,42,1,28,28,True,27,27,True
oracle_aabb,confirmation38,data36-12,bytetrack,geometry_reid_greedy_guard,path_g,71.52180361910412,71.16582616434293,-0.35597745476118803,65.1123745881732,64.93646067308674,-0.17591391508645415,94,104,10,68,68,True,61,61,True
oracle_aabb,confirmation38,data36-12,ocsort,geometry_reid_greedy_guard,path_g,72.34567901234567,72.34567901234567,0.0,74.53738634015042,74.53518658880587,-0.0021997513445484174,44,43,-1,38,38,True,39,39,True
oracle_aabb,confirmation38,data36-12,deepocsort,geometry_reid_greedy_guard,path_g,94.8780487804878,94.8780487804878,0.0,92.53534328929615,92.5366910671387,0.00134777784255391,8,8,0,8,8,True,8,8,True
oracle_aabb,confirmation38,data36-13,bytetrack,geometry_reid_greedy_guard,path_g,80.8837066584842,79.28812519177661,-1.5955814667075856,67.17139963188217,66.42572350978536,-0.7456761220968104,54,71,17,35,35,True,27,27,True
oracle_aabb,confirmation38,data36-13,ocsort,geometry_reid_greedy_guard,path_g,76.58884565499352,76.58884565499352,0.0,79.37597274344834,79.37597274344834,0.0,25,25,0,20,20,True,20,20,True
oracle_aabb,confirmation38,data36-13,deepocsort,geometry_reid_greedy_guard,path_g,90.85043988269794,90.6158357771261,-0.2346041055718473,87.49381182616271,86.7867138355449,-0.707097990617811,14,15,1,7,7,True,7,7,True
oracle_aabb,confirmation38,data36-4,bytetrack,geometry_reid_greedy_guard,path_g,55.49514563106796,54.06796116504854,-1.4271844660194262,52.89552709775327,52.41963211721963,-0.47589498053364565,719,818,99,686,686,True,615,615,True
oracle_aabb,confirmation38,data36-4,ocsort,geometry_reid_greedy_guard,path_g,43.848288621646624,44.000652990150726,0.1523643685041023,54.00484458495159,53.945146267729726,-0.05969831722186569,182,192,10,207,207,True,199,199,True
oracle_aabb,confirmation38,data36-4,deepocsort,geometry_reid_greedy_guard,path_g,89.9070707070707,89.89090909090909,-0.016161616161610937,85.96821920182973,86.0205124398684,0.05229323803867203,52,54,2,67,67,True,64,64,True
oracle_aabb,confirmation38,data36-5,bytetrack,geometry_reid_greedy_guard,path_g,75.33274179236912,74.32712215320912,-1.0056196391600025,72.4804642073571,72.2059251231375,-0.2745390842195974,294,367,73,263,263,True,229,229,True
oracle_aabb,confirmation38,data36-5,ocsort,geometry_reid_greedy_guard,path_g,72.2848200312989,72.31611893583725,0.03129890453834605,83.46172888911758,83.4647499688664,0.0030210797488194885,101,98,-3,117,117,True,116,116,True
oracle_aabb,confirmation38,data36-5,deepocsort,geometry_reid_greedy_guard,path_g,96.46431821136098,96.46431821136098,0.0,95.53296300419632,95.53296300419632,0.0,7,7,0,26,26,True,26,26,True
oracle_aabb,confirmation38,data37-1,bytetrack,geometry_reid_greedy_guard,path_g,64.10336726703211,62.889584964761156,-1.2137823022709568,51.97759046618815,51.39572286356324,-0.5818676026249037,755,893,138,481,481,True,393,393,True
oracle_aabb,confirmation38,data37-1,ocsort,geometry_reid_greedy_guard,path_g,63.720025923525604,63.00280838193994,-0.7172175415856614,65.47703566928969,64.94722689681075,-0.529808772478944,297,334,37,226,226,True,207,207,True
oracle_aabb,confirmation38,data37-1,deepocsort,geometry_reid_greedy_guard,path_g,95.26570048309179,95.27285739846127,0.007156915369478156,93.74365193661008,93.72242859602945,-0.02122334058063302,21,22,1,41,41,True,41,41,True
oracle_aabb,confirmation38,data37-10,bytetrack,geometry_reid_greedy_guard,path_g,76.52424387902064,76.06817090734518,-0.4560729716754679,63.45736682192371,63.3377312493256,-0.11963557259811353,100,120,20,79,79,True,74,74,True
oracle_aabb,confirmation38,data37-10,ocsort,geometry_reid_greedy_guard,path_g,69.03707452866,69.03707452866,0.0,68.04202855913547,68.04202855913547,0.0,63,63,0,19,19,True,19,19,True
oracle_aabb,confirmation38,data37-10,deepocsort,geometry_reid_greedy_guard,path_g,89.86175115207374,89.86175115207374,0.0,85.44971450233778,85.44971450233778,0.0,29,29,0,12,12,True,12,12,True
oracle_aabb,confirmation38,data37-11,bytetrack,geometry_reid_greedy_guard,path_g,81.87366493744278,80.74458346048215,-1.1290814769606357,71.99589363572707,71.50415329299014,-0.49174034273693223,332,410,78,218,218,True,189,189,True
oracle_aabb,confirmation38,data37-11,ocsort,geometry_reid_greedy_guard,path_g,72.16427284146143,72.1096608595926,-0.054611981868831094,73.67221697715698,73.7938030039101,0.12158602675312125,134,140,6,49,49,True,46,46,True
oracle_aabb,confirmation38,data37-11,deepocsort,geometry_reid_greedy_guard,path_g,93.90858028278133,94.08289754018982,0.17431725740848947,92.51908506171797,92.79956900360904,0.2804839418910632,16,15,-1,16,16,True,16,16,True
oracle_aabb,confirmation38,data37-12,bytetrack,geometry_reid_greedy_guard,path_g,92.67399267399267,92.67399267399267,0.0,89.69969392133119,89.69969392133119,0.0,7,7,0,5,5,True,5,5,True
oracle_aabb,confirmation38,data37-12,ocsort,geometry_reid_greedy_guard,path_g,89.68657915885348,89.57942673452986,-0.10715242432361549,92.24193813292779,92.15896879537556,-0.08296933755222824,3,4,1,6,6,True,5,5,True
oracle_aabb,confirmation38,data37-12,deepocsort,geometry_reid_greedy_guard,path_g,95.23565573770492,95.23565573770492,0.0,94.04892588032418,94.04892588032418,0.0,2,2,0,0,0,True,0,0,True
oracle_aabb,confirmation38,data37-2,bytetrack,geometry_reid_greedy_guard,path_g,55.94867807153966,55.24883359253499,-0.6998444790046676,47.78188668178249,47.32269121416199,-0.45919546762049634,670,681,11,175,175,True,153,153,True
oracle_aabb,confirmation38,data37-2,ocsort,geometry_reid_greedy_guard,path_g,56.395870736086174,55.22890484739676,-1.1669658886894112,58.09740275542404,57.51730201746608,-0.580100737957963,260,287,27,178,178,True,161,161,True
oracle_aabb,confirmation38,data37-2,deepocsort,geometry_reid_greedy_guard,path_g,85.55833102044592,85.59533721898418,0.03700619853826481,77.35509518594695,77.47574986476519,0.12065467881824077,48,50,2,28,28,True,27,27,True
oracle_aabb,confirmation38,data39-1,bytetrack,geometry_reid_greedy_guard,path_g,57.0334928229665,56.84210526315789,-0.19138755980861077,58.34349781469521,58.03614815506338,-0.30734965963183214,73,70,-3,41,41,True,39,39,True
oracle_aabb,confirmation38,data39-1,ocsort,geometry_reid_greedy_guard,path_g,52.06703910614525,51.84357541899441,-0.22346368715083997,81.8579170024419,81.75410094071293,-0.1038160617289634,7,9,2,11,11,True,10,10,True
oracle_aabb,confirmation38,data39-1,deepocsort,geometry_reid_greedy_guard,path_g,76.78571428571429,78.21428571428571,1.4285714285714164,74.3440229228678,75.14949324488441,0.8054703220166175,6,8,2,10,10,True,9,9,True
oracle_aabb,confirmation38,data39-2,bytetrack,geometry_reid_greedy_guard,path_g,13.23251417769376,14.744801512287333,1.512287334593573,7.818004020687348,9.197077939716545,1.3790739190291967,21,20,-1,21,21,True,21,21,True
oracle_aabb,confirmation38,data39-2,ocsort,geometry_reid_greedy_guard,path_g,13.385826771653544,13.385826771653544,0.0,7.310592426611508,7.310592426611508,0.0,9,9,0,9,9,True,9,9,True
oracle_aabb,confirmation38,data39-2,deepocsort,geometry_reid_greedy_guard,path_g,90.98998887652948,90.98998887652948,0.0,86.43504732865811,86.43504732865811,0.0,4,4,0,3,3,True,3,3,True
oracle_aabb,confirmation38,data39-3,bytetrack,geometry_reid_greedy_guard,path_g,21.105527638190953,18.341708542713565,-2.7638190954773876,12.795204529618484,11.15536786952153,-1.6398366600969538,128,145,17,78,78,True,69,69,True
oracle_aabb,confirmation38,data39-3,ocsort,geometry_reid_greedy_guard,path_g,8.656716417910449,8.358208955223882,-0.29850746268656714,13.1575977855711,12.995201980154702,-0.16239580541639853,12,13,1,24,24,True,25,25,True
oracle_aabb,confirmation38,data39-3,deepocsort,geometry_reid_greedy_guard,path_g,84.58662235147486,84.58662235147486,0.0,80.83342281855417,80.83342281855417,0.0,9,9,0,9,9,True,9,9,True
