dataset,split,protocol,data_role,input,tracker,method,internal_method,parent_method,sequence_count,sequences,aggregation,IDF1,delta_IDF1_vs_None,delta_IDF1_vs_parent,AssA,delta_AssA_vs_None,delta_AssA_vs_parent,IDSW,delta_IDSW_vs_None,delta_IDSW_vs_parent
MMOT,test,official_detector,exposed exploratory retest,official detector,bytetrack,H,cost_h,None,50,data23-1;data24-1;data27-1;data28-1;data28-2;data28-3;data28-4;data28-5;data28-6;data30-10;data30-2;data30-3;data30-4;data30-5;data30-9;data31-1;data33-1;data34-1;data34-2;data34-3;data36-10;data36-11;data36-12;data36-13;data36-4;data36-5;data37-1;data37-10;data37-11;data37-12;data37-2;data39-1;data39-2;data39-3;data39-6;data40-3;data40-4;data40-5;data41-1;data42-1;data42-2;data42-3;data46-11;data46-12;data47-1;data47-2;data47-3;data47-4;data48-1;data49-2,equal-sequence mean for IDF1/AssA; total for IDSW,40.563010567702186,2.246669835897037,2.246669835897037,44.105388126177616,1.8169861347714362,1.8169861347714362,8405,-1919,-1919
MMOT,test,official_detector,exposed exploratory retest,official detector,bytetrack,H+V,cost_h_full_reassign,H,50,data23-1;data24-1;data27-1;data28-1;data28-2;data28-3;data28-4;data28-5;data28-6;data30-10;data30-2;data30-3;data30-4;data30-5;data30-9;data31-1;data33-1;data34-1;data34-2;data34-3;data36-10;data36-11;data36-12;data36-13;data36-4;data36-5;data37-1;data37-10;data37-11;data37-12;data37-2;data39-1;data39-2;data39-3;data39-6;data40-3;data40-4;data40-5;data41-1;data42-1;data42-2;data42-3;data46-11;data46-12;data47-1;data47-2;data47-3;data47-4;data48-1;data49-2,equal-sequence mean for IDF1/AssA; total for IDSW,40.46218162067082,2.145840888865676,-0.1008289470313613,44.05724512614301,1.7688431347368228,-0.04814300003461331,8466,-1858,61
MMOT,test,official_detector,exposed exploratory retest,official detector,bytetrack,None,no_refinement,None,50,data23-1;data24-1;data27-1;data28-1;data28-2;data28-3;data28-4;data28-5;data28-6;data30-10;data30-2;data30-3;data30-4;data30-5;data30-9;data31-1;data33-1;data34-1;data34-2;data34-3;data36-10;data36-11;data36-12;data36-13;data36-4;data36-5;data37-1;data37-10;data37-11;data37-12;data37-2;data39-1;data39-2;data39-3;data39-6;data40-3;data40-4;data40-5;data41-1;data42-1;data42-2;data42-3;data46-11;data46-12;data47-1;data47-2;data47-3;data47-4;data48-1;data49-2,equal-sequence mean for IDF1/AssA; total for IDSW,38.31634073180515,0.0,0.0,42.28840199140618,0.0,0.0,10324,0,0
MMOT,test,official_detector,exposed exploratory retest,official detector,bytetrack,P-G,path_g,None,50,data23-1;data24-1;data27-1;data28-1;data28-2;data28-3;data28-4;data28-5;data28-6;data30-10;data30-2;data30-3;data30-4;data30-5;data30-9;data31-1;data33-1;data34-1;data34-2;data34-3;data36-10;data36-11;data36-12;data36-13;data36-4;data36-5;data37-1;data37-10;data37-11;data37-12;data37-2;data39-1;data39-2;data39-3;data39-6;data40-3;data40-4;data40-5;data41-1;data42-1;data42-2;data42-3;data46-11;data46-12;data47-1;data47-2;data47-3;data47-4;data48-1;data49-2,equal-sequence mean for IDF1/AssA; total for IDSW,40.52926314088377,2.2129224090786264,2.2129224090786264,44.0865116538621,1.79810966245592,1.79810966245592,8371,-1953,-1953
MMOT,test,official_detector,exposed exploratory retest,official detector,bytetrack,P-G+V,path_g_full_reassign,P-G,50,data23-1;data24-1;data27-1;data28-1;data28-2;data28-3;data28-4;data28-5;data28-6;data30-10;data30-2;data30-3;data30-4;data30-5;data30-9;data31-1;data33-1;data34-1;data34-2;data34-3;data36-10;data36-11;data36-12;data36-13;data36-4;data36-5;data37-1;data37-10;data37-11;data37-12;data37-2;data39-1;data39-2;data39-3;data39-6;data40-3;data40-4;data40-5;data41-1;data42-1;data42-2;data42-3;data46-11;data46-12;data47-1;data47-2;data47-3;data47-4;data48-1;data49-2,equal-sequence mean for IDF1/AssA; total for IDSW,40.46207026741405,2.1457295356089,-0.0671928734697261,44.05503970337383,1.766637711967653,-0.031471950488267064,8464,-1860,93
MMOT,test,official_detector,exposed exploratory retest,official detector,bytetrack,v1,ace_v1,None,50,data23-1;data24-1;data27-1;data28-1;data28-2;data28-3;data28-4;data28-5;data28-6;data30-10;data30-2;data30-3;data30-4;data30-5;data30-9;data31-1;data33-1;data34-1;data34-2;data34-3;data36-10;data36-11;data36-12;data36-13;data36-4;data36-5;data37-1;data37-10;data37-11;data37-12;data37-2;data39-1;data39-2;data39-3;data39-6;data40-3;data40-4;data40-5;data41-1;data42-1;data42-2;data42-3;data46-11;data46-12;data47-1;data47-2;data47-3;data47-4;data48-1;data49-2,equal-sequence mean for IDF1/AssA; total for IDSW,39.96740133053277,1.6510605987276212,1.6510605987276212,43.754992136797625,1.466590145391444,1.466590145391444,8935,-1389,-1389
MMOT,test,official_detector,exposed exploratory retest,official detector,deepocsort,H,cost_h,None,50,data23-1;data24-1;data27-1;data28-1;data28-2;data28-3;data28-4;data28-5;data28-6;data30-10;data30-2;data30-3;data30-4;data30-5;data30-9;data31-1;data33-1;data34-1;data34-2;data34-3;data36-10;data36-11;data36-12;data36-13;data36-4;data36-5;data37-1;data37-10;data37-11;data37-12;data37-2;data39-1;data39-2;data39-3;data39-6;data40-3;data40-4;data40-5;data41-1;data42-1;data42-2;data42-3;data46-11;data46-12;data47-1;data47-2;data47-3;data47-4;data48-1;data49-2,equal-sequence mean for IDF1/AssA; total for IDSW,64.17182438841733,1.0866678650729096,1.0866678650729096,67.95142270721477,0.9471191974674582,0.9471191974674582,957,-413,-413
MMOT,test,official_detector,exposed exploratory retest,official detector,deepocsort,H+V,cost_h_full_reassign,H,50,data23-1;data24-1;data27-1;data28-1;data28-2;data28-3;data28-4;data28-5;data28-6;data30-10;data30-2;data30-3;data30-4;data30-5;data30-9;data31-1;data33-1;data34-1;data34-2;data34-3;data36-10;data36-11;data36-12;data36-13;data36-4;data36-5;data37-1;data37-10;data37-11;data37-12;data37-2;data39-1;data39-2;data39-3;data39-6;data40-3;data40-4;data40-5;data41-1;data42-1;data42-2;data42-3;data46-11;data46-12;data47-1;data47-2;data47-3;data47-4;data48-1;data49-2,equal-sequence mean for IDF1/AssA; total for IDSW,64.22176120081886,1.1366046774744247,0.04993681240151524,67.9791524832778,0.9748489735304751,0.0277297760630168,984,-386,27
MMOT,test,official_detector,exposed exploratory retest,official detector,deepocsort,None,no_refinement,None,50,data23-1;data24-1;data27-1;data28-1;data28-2;data28-3;data28-4;data28-5;data28-6;data30-10;data30-2;data30-3;data30-4;data30-5;data30-9;data31-1;data33-1;data34-1;data34-2;data34-3;data36-10;data36-11;data36-12;data36-13;data36-4;data36-5;data37-1;data37-10;data37-11;data37-12;data37-2;data39-1;data39-2;data39-3;data39-6;data40-3;data40-4;data40-5;data41-1;data42-1;data42-2;data42-3;data46-11;data46-12;data47-1;data47-2;data47-3;data47-4;data48-1;data49-2,equal-sequence mean for IDF1/AssA; total for IDSW,63.08515652334443,0.0,0.0,67.00430350974733,0.0,0.0,1370,0,0
MMOT,test,official_detector,exposed exploratory retest,official detector,deepocsort,P-G,path_g,None,50,data23-1;data24-1;data27-1;data28-1;data28-2;data28-3;data28-4;data28-5;data28-6;data30-10;data30-2;data30-3;data30-4;data30-5;data30-9;data31-1;data33-1;data34-1;data34-2;data34-3;data36-10;data36-11;data36-12;data36-13;data36-4;data36-5;data37-1;data37-10;data37-11;data37-12;data37-2;data39-1;data39-2;data39-3;data39-6;data40-3;data40-4;data40-5;data41-1;data42-1;data42-2;data42-3;data46-11;data46-12;data47-1;data47-2;data47-3;data47-4;data48-1;data49-2,equal-sequence mean for IDF1/AssA; total for IDSW,64.17207969544218,1.086923172097748,1.086923172097748,67.95635425950935,0.9520507497620279,0.9520507497620279,963,-407,-407
