protocol,family,sequence,class_name,tracker,input_tracklets,fixed_candidate_edges,table4_method,table4_ranking,table4_accepted_edges,d16_method,d16_ranking,d16_accepted_edges,table4_vs_d16_edge_sets_identical,table4_vs_d16_final_partitions_identical,cost_g_method,cost_g_accepted_edges,cost_g_vs_d16_edge_sets_identical,cost_g_vs_d16_final_partitions_identical
official_detector,confirmation38,data27-1,tricycle,deepocsort,0,0,geometry_reid_greedy_guard,"cosine_distance,gap,earlier,later; component-overlap guard",0,path_g,"controlled_cost,gap,earlier,later; one predecessor/successor",0,True,True,controlled_cost_greedy,0,True,True
official_detector,confirmation38,data27-1,tricycle,ocsort,0,0,geometry_reid_greedy_guard,"cosine_distance,gap,earlier,later; component-overlap guard",0,path_g,"controlled_cost,gap,earlier,later; one predecessor/successor",0,True,True,controlled_cost_greedy,0,True,True
official_detector,confirmation38,data27-1,truck,bytetrack,5,3,geometry_reid_greedy_guard,"cosine_distance,gap,earlier,later; component-overlap guard",2,path_g,"controlled_cost,gap,earlier,later; one predecessor/successor",2,False,True,controlled_cost_greedy,2,True,True
official_detector,confirmation38,data27-1,truck,deepocsort,3,0,geometry_reid_greedy_guard,"cosine_distance,gap,earlier,later; component-overlap guard",0,path_g,"controlled_cost,gap,earlier,later; one predecessor/successor",0,True,True,controlled_cost_greedy,0,True,True
official_detector,confirmation38,data27-1,truck,ocsort,4,0,geometry_reid_greedy_guard,"cosine_distance,gap,earlier,later; component-overlap guard",0,path_g,"controlled_cost,gap,earlier,later; one predecessor/successor",0,True,True,controlled_cost_greedy,0,True,True
official_detector,confirmation38,data27-1,van,bytetrack,1,0,geometry_reid_greedy_guard,"cosine_distance,gap,earlier,later; component-overlap guard",0,path_g,"controlled_cost,gap,earlier,later; one predecessor/successor",0,True,True,controlled_cost_greedy,0,True,True
official_detector,confirmation38,data27-1,van,deepocsort,0,0,geometry_reid_greedy_guard,"cosine_distance,gap,earlier,later; component-overlap guard",0,path_g,"controlled_cost,gap,earlier,later; one predecessor/successor",0,True,True,controlled_cost_greedy,0,True,True
official_detector,confirmation38,data27-1,van,ocsort,1,0,geometry_reid_greedy_guard,"cosine_distance,gap,earlier,later; component-overlap guard",0,path_g,"controlled_cost,gap,earlier,later; one predecessor/successor",0,True,True,controlled_cost_greedy,0,True,True
official_detector,confirmation38,data31-1,awning-bike,bytetrack,0,0,geometry_reid_greedy_guard,"cosine_distance,gap,earlier,later; component-overlap guard",0,path_g,"controlled_cost,gap,earlier,later; one predecessor/successor",0,True,True,controlled_cost_greedy,0,True,True
official_detector,confirmation38,data31-1,awning-bike,deepocsort,0,0,geometry_reid_greedy_guard,"cosine_distance,gap,earlier,later; component-overlap guard",0,path_g,"controlled_cost,gap,earlier,later; one predecessor/successor",0,True,True,controlled_cost_greedy,0,True,True
official_detector,confirmation38,data31-1,awning-bike,ocsort,0,0,geometry_reid_greedy_guard,"cosine_distance,gap,earlier,later; component-overlap guard",0,path_g,"controlled_cost,gap,earlier,later; one predecessor/successor",0,True,True,controlled_cost_greedy,0,True,True
official_detector,confirmation38,data31-1,bike,bytetrack,0,0,geometry_reid_greedy_guard,"cosine_distance,gap,earlier,later; component-overlap guard",0,path_g,"controlled_cost,gap,earlier,later; one predecessor/successor",0,True,True,controlled_cost_greedy,0,True,True
official_detector,confirmation38,data31-1,bike,deepocsort,0,0,geometry_reid_greedy_guard,"cosine_distance,gap,earlier,later; component-overlap guard",0,path_g,"controlled_cost,gap,earlier,later; one predecessor/successor",0,True,True,controlled_cost_greedy,0,True,True
