protocol,family,sequence,tracker,base_solver,base_method,reassignment_method,tau_a,tau_m,audit_label,base_edges,postfilter_edges,reassigned_edges,base_correct_rejected_by_verifier,base_false_removed_by_verifier,base_unresolved_rejected_by_verifier,reassignment_added_correct,reassignment_added_false,reassignment_added_unresolved,reassignment_dropped_postfilter_correct,reassignment_dropped_postfilter_false,reassignment_dropped_postfilter_unresolved,stored_H_postfilter_exact
official_detector,confirmation38,data34-1,ocsort,P-G,path_g,path_g_full_reassign,0.1,4.0,post-hoc majority actor at IoU>=0.9; majority ties excluded,122,89,90,1,0,32,0,0,1,0,0,0,N/A
official_detector,confirmation38,data34-2,bytetrack,H,cost_h,cost_h_full_reassign,0.1,4.0,post-hoc majority actor at IoU>=0.9; majority ties excluded,39,24,27,0,0,15,0,0,4,0,0,1,True
official_detector,confirmation38,data34-2,bytetrack,P-G,path_g,path_g_full_reassign,0.1,4.0,post-hoc majority actor at IoU>=0.9; majority ties excluded,37,27,27,0,0,10,0,0,0,0,0,0,N/A
official_detector,confirmation38,data34-2,deepocsort,H,cost_h,cost_h_full_reassign,0.1,4.0,post-hoc majority actor at IoU>=0.9; majority ties excluded,12,4,8,0,0,8,0,0,4,0,0,0,True
official_detector,confirmation38,data34-2,deepocsort,P-G,path_g,path_g_full_reassign,0.1,4.0,post-hoc majority actor at IoU>=0.9; majority ties excluded,10,7,8,0,0,3,0,0,1,0,0,0,N/A
official_detector,confirmation38,data34-2,ocsort,H,cost_h,cost_h_full_reassign,0.1,4.0,post-hoc majority actor at IoU>=0.9; majority ties excluded,11,11,11,0,0,0,0,0,0,0,0,0,True
official_detector,confirmation38,data34-2,ocsort,P-G,path_g,path_g_full_reassign,0.1,4.0,post-hoc majority actor at IoU>=0.9; majority ties excluded,11,11,11,0,0,0,0,0,0,0,0,0,N/A
official_detector,confirmation38,data34-3,bytetrack,H,cost_h,cost_h_full_reassign,0.1,4.0,post-hoc majority actor at IoU>=0.9; majority ties excluded,87,44,61,0,0,43,0,0,19,0,0,2,True
official_detector,confirmation38,data34-3,bytetrack,P-G,path_g,path_g_full_reassign,0.1,4.0,post-hoc majority actor at IoU>=0.9; majority ties excluded,79,59,61,0,0,20,0,0,2,0,0,0,N/A
official_detector,confirmation38,data34-3,deepocsort,H,cost_h,cost_h_full_reassign,0.1,4.0,post-hoc majority actor at IoU>=0.9; majority ties excluded,54,35,35,0,0,19,0,0,5,0,0,5,True
official_detector,confirmation38,data34-3,deepocsort,P-G,path_g,path_g_full_reassign,0.1,4.0,post-hoc majority actor at IoU>=0.9; majority ties excluded,48,33,34,0,0,15,0,0,1,0,0,0,N/A
official_detector,confirmation38,data34-3,ocsort,H,cost_h,cost_h_full_reassign,0.1,4.0,post-hoc majority actor at IoU>=0.9; majority ties excluded,106,76,83,0,0,30,0,0,7,0,0,0,True
official_detector,confirmation38,data34-3,ocsort,P-G,path_g,path_g_full_reassign,0.1,4.0,post-hoc majority actor at IoU>=0.9; majority ties excluded,104,83,83,0,0,21,0,0,0,0,0,0,N/A
official_detector,confirmation38,data36-10,bytetrack,H,cost_h,cost_h_full_reassign,0.1,4.0,post-hoc majority actor at IoU>=0.9; majority ties excluded,308,191,224,0,0,117,0,0,37,0,0,4,True
official_detector,confirmation38,data36-10,bytetrack,P-G,path_g,path_g_full_reassign,0.1,4.0,post-hoc majority actor at IoU>=0.9; majority ties excluded,282,221,224,0,0,61,0,0,3,0,0,0,N/A
official_detector,confirmation38,data36-10,deepocsort,H,cost_h,cost_h_full_reassign,0.1,4.0,post-hoc majority actor at IoU>=0.9; majority ties excluded,152,66,77,0,1,85,0,0,13,0,0,2,True
official_detector,confirmation38,data36-10,deepocsort,P-G,path_g,path_g_full_reassign,0.1,4.0,post-hoc majority actor at IoU>=0.9; majority ties excluded,143,70,77,0,1,72,0,0,10,0,0,3,N/A
official_detector,confirmation38,data36-10,ocsort,H,cost_h,cost_h_full_reassign,0.1,4.0,post-hoc majority actor at IoU>=0.9; majority ties excluded,149,120,125,0,0,29,0,0,5,0,0,0,True
official_detector,confirmation38,data36-10,ocsort,P-G,path_g,path_g_full_reassign,0.1,4.0,post-hoc majority actor at IoU>=0.9; majority ties excluded,145,125,125,0,0,20,0,0,0,0,0,0,N/A
official_detector,confirmation38,data36-11,bytetrack,H,cost_h,cost_h_full_reassign,0.1,4.0,post-hoc majority actor at IoU>=0.9; majority ties excluded,50,35,39,0,0,15,0,0,4,0,0,0,True
official_detector,confirmation38,data36-11,bytetrack,P-G,path_g,path_g_full_reassign,0.1,4.0,post-hoc majority actor at IoU>=0.9; majority ties excluded,47,39,39,0,0,8,0,0,0,0,0,0,N/A
official_detector,confirmation38,data36-11,deepocsort,H,cost_h,cost_h_full_reassign,0.1,4.0,post-hoc majority actor at IoU>=0.9; majority ties excluded,46,18,20,0,0,28,0,0,2,0,0,0,True
official_detector,confirmation38,data36-11,deepocsort,P-G,path_g,path_g_full_reassign,0.1,4.0,post-hoc majority actor at IoU>=0.9; majority ties excluded,43,20,20,0,0,23,0,0,0,0,0,0,N/A
official_detector,confirmation38,data36-11,ocsort,H,cost_h,cost_h_full_reassign,0.1,4.0,post-hoc majority actor at IoU>=0.9; majority ties excluded,164,127,136,0,0,37,0,0,9,0,0,0,True
official_detector,confirmation38,data36-11,ocsort,P-G,path_g,path_g_full_reassign,0.1,4.0,post-hoc majority actor at IoU>=0.9; majority ties excluded,161,136,136,0,0,25,0,0,0,0,0,0,N/A
official_detector,confirmation38,data36-12,bytetrack,H,cost_h,cost_h_full_reassign,0.1,4.0,post-hoc majority actor at IoU>=0.9; majority ties excluded,29,27,27,0,0,2,0,0,1,0,0,1,True
official_detector,confirmation38,data36-12,bytetrack,P-G,path_g,path_g_full_reassign,0.1,4.0,post-hoc majority actor at IoU>=0.9; majority ties excluded,29,27,27,0,0,2,0,0,1,0,0,1,N/A
official_detector,confirmation38,data36-12,deepocsort,H,cost_h,cost_h_full_reassign,0.1,4.0,post-hoc majority actor at IoU>=0.9; majority ties excluded,1,0,0,0,0,1,0,0,0,0,0,0,True
official_detector,confirmation38,data36-12,deepocsort,P-G,path_g,path_g_full_reassign,0.1,4.0,post-hoc majority actor at IoU>=0.9; majority ties excluded,1,0,0,0,0,1,0,0,0,0,0,0,N/A
official_detector,confirmation38,data36-12,ocsort,H,cost_h,cost_h_full_reassign,0.1,4.0,post-hoc majority actor at IoU>=0.9; majority ties excluded,25,24,24,0,0,1,0,0,0,0,0,0,True
official_detector,confirmation38,data36-12,ocsort,P-G,path_g,path_g_full_reassign,0.1,4.0,post-hoc majority actor at IoU>=0.9; majority ties excluded,25,24,24,0,0,1,0,0,0,0,0,0,N/A
official_detector,confirmation38,data36-13,bytetrack,H,cost_h,cost_h_full_reassign,0.1,4.0,post-hoc majority actor at IoU>=0.9; majority ties excluded,17,17,17,0,0,0,0,0,0,0,0,0,True
official_detector,confirmation38,data36-13,bytetrack,P-G,path_g,path_g_full_reassign,0.1,4.0,post-hoc majority actor at IoU>=0.9; majority ties excluded,17,17,17,0,0,0,0,0,0,0,0,0,N/A
official_detector,confirmation38,data36-13,deepocsort,H,cost_h,cost_h_full_reassign,0.1,4.0,post-hoc majority actor at IoU>=0.9; majority ties excluded,5,5,5,0,0,0,0,0,0,0,0,0,True
official_detector,confirmation38,data36-13,deepocsort,P-G,path_g,path_g_full_reassign,0.1,4.0,post-hoc majority actor at IoU>=0.9; majority ties excluded,5,5,5,0,0,0,0,0,0,0,0,0,N/A
official_detector,confirmation38,data36-13,ocsort,H,cost_h,cost_h_full_reassign,0.1,4.0,post-hoc majority actor at IoU>=0.9; majority ties excluded,17,16,16,0,0,1,0,0,0,0,0,0,True
official_detector,confirmation38,data36-13,ocsort,P-G,path_g,path_g_full_reassign,0.1,4.0,post-hoc majority actor at IoU>=0.9; majority ties excluded,17,16,16,0,0,1,0,0,0,0,0,0,N/A
official_detector,confirmation38,data36-4,bytetrack,H,cost_h,cost_h_full_reassign,0.1,4.0,post-hoc majority actor at IoU>=0.9; majority ties excluded,483,364,399,0,1,118,0,0,44,0,0,9,True
official_detector,confirmation38,data36-4,bytetrack,P-G,path_g,path_g_full_reassign,0.1,4.0,post-hoc majority actor at IoU>=0.9; majority ties excluded,462,396,398,0,0,66,0,0,3,0,0,1,N/A
official_detector,confirmation38,data36-4,deepocsort,H,cost_h,cost_h_full_reassign,0.1,4.0,post-hoc majority actor at IoU>=0.9; majority ties excluded,48,40,42,0,0,8,0,0,2,0,0,0,True
official_detector,confirmation38,data36-4,deepocsort,P-G,path_g,path_g_full_reassign,0.1,4.0,post-hoc majority actor at IoU>=0.9; majority ties excluded,47,41,42,0,0,6,0,0,1,0,0,0,N/A
official_detector,confirmation38,data36-4,ocsort,H,cost_h,cost_h_full_reassign,0.1,4.0,post-hoc majority actor at IoU>=0.9; majority ties excluded,199,181,183,0,0,18,0,0,2,0,0,0,True
official_detector,confirmation38,data36-4,ocsort,P-G,path_g,path_g_full_reassign,0.1,4.0,post-hoc majority actor at IoU>=0.9; majority ties excluded,196,183,183,0,0,13,0,0,0,0,0,0,N/A
official_detector,confirmation38,data36-5,bytetrack,H,cost_h,cost_h_full_reassign,0.1,4.0,post-hoc majority actor at IoU>=0.9; majority ties excluded,195,128,146,0,0,67,0,0,22,0,0,4,True
official_detector,confirmation38,data36-5,bytetrack,P-G,path_g,path_g_full_reassign,0.1,4.0,post-hoc majority actor at IoU>=0.9; majority ties excluded,174,145,146,0,0,29,0,0,1,0,0,0,N/A
official_detector,confirmation38,data36-5,deepocsort,H,cost_h,cost_h_full_reassign,0.1,4.0,post-hoc majority actor at IoU>=0.9; majority ties excluded,6,6,6,0,0,0,0,0,0,0,0,0,True
official_detector,confirmation38,data36-5,deepocsort,P-G,path_g,path_g_full_reassign,0.1,4.0,post-hoc majority actor at IoU>=0.9; majority ties excluded,6,6,6,0,0,0,0,0,0,0,0,0,N/A
official_detector,confirmation38,data36-5,ocsort,H,cost_h,cost_h_full_reassign,0.1,4.0,post-hoc majority actor at IoU>=0.9; majority ties excluded,111,86,91,0,0,25,0,0,5,0,0,0,True
official_detector,confirmation38,data36-5,ocsort,P-G,path_g,path_g_full_reassign,0.1,4.0,post-hoc majority actor at IoU>=0.9; majority ties excluded,108,91,91,0,0,17,0,0,0,0,0,0,N/A
official_detector,confirmation38,data37-1,bytetrack,H,cost_h,cost_h_full_reassign,0.1,4.0,post-hoc majority actor at IoU>=0.9; majority ties excluded,304,237,254,0,0,67,0,0,23,0,0,6,True
official_detector,confirmation38,data37-1,bytetrack,P-G,path_g,path_g_full_reassign,0.1,4.0,post-hoc majority actor at IoU>=0.9; majority ties excluded,294,250,252,0,0,44,0,0,3,0,0,1,N/A
official_detector,confirmation38,data37-1,deepocsort,H,cost_h,cost_h_full_reassign,0.1,4.0,post-hoc majority actor at IoU>=0.9; majority ties excluded,34,28,30,0,0,6,0,0,2,0,0,0,True
official_detector,confirmation38,data37-1,deepocsort,P-G,path_g,path_g_full_reassign,0.1,4.0,post-hoc majority actor at IoU>=0.9; majority ties excluded,33,29,30,0,0,4,0,0,1,0,0,0,N/A
official_detector,confirmation38,data37-1,ocsort,H,cost_h,cost_h_full_reassign,0.1,4.0,post-hoc majority actor at IoU>=0.9; majority ties excluded,184,147,157,0,0,37,0,0,13,0,0,3,True
