adapter_input_detections,class_name,dataset,descriptor_eligible_output_boxes_iou_ge_0_9,descriptor_eligible_track_ids,duplicate_frame_identity_count,evaluated_gt_boxes,evaluated_prediction_boxes,family,frames_with_gt,released_frames,saved_output,saved_output_sha256,score_gate_admitted_detections,sequence,tracker,tracker_output_boxes,tracker_output_track_ids,tracker_runtime_seconds,valid_gt_boxes,zero_gt_frames
9,van,MMOT,0,0,0,9,0,data28,9,65,<EXPERIMENT_ROOT>/results_raw/e0/results_raw/tracker_outputs/data28/data28-6/van/ocsort.jsonl.gz,f77d9e042ae4b52fbb829d9cacc240b749633757b0a880b5e89af75076e3e8f6,9,data28-6,ocsort,0,0,0.007812093012034893,9,56
188,truck,MMOT,60,7,0,188,150,data28,65,65,<EXPERIMENT_ROOT>/results_raw/e0/results_raw/tracker_outputs/data28/data28-6/truck/bytetrack.jsonl.gz,f750e2c9e5ba1d7eea1a5305c39767982949a34fb9887492c01260c79424f04b,188,data28-6,bytetrack,150,8,0.05180590972304344,188,0
188,truck,MMOT,137,7,0,188,137,data28,65,65,<EXPERIMENT_ROOT>/results_raw/e0/results_raw/tracker_outputs/data28/data28-6/truck/ocsort.jsonl.gz,9d750830e27531901e604dc43c7006fe08cfe2edfcccab199eed233e11d0ef56,188,data28-6,ocsort,137,7,0.06812283303588629,188,0
25,bus,MMOT,1,1,0,25,3,data28,18,65,<EXPERIMENT_ROOT>/results_raw/e0/results_raw/tracker_outputs/data28/data28-6/bus/bytetrack.jsonl.gz,ad9c1afa3ea1b7e0082a009cec16594541fd2484e51c3477f974d064f756ccc2,25,data28-6,bytetrack,3,1,0.012663307599723339,25,47
25,bus,MMOT,8,1,0,25,8,data28,18,65,<EXPERIMENT_ROOT>/results_raw/e0/results_raw/tracker_outputs/data28/data28-6/bus/ocsort.jsonl.gz,3c44de1f7a8ad013f06ba1dce1c7be83e0549c4f6aa23dbf7f7d5fc59e7e1301,25,data28-6,ocsort,8,1,0.01631787046790123,25,47
3738,car,MMOT,979,89,0,3738,3623,data30,68,68,<EXPERIMENT_ROOT>/results_raw/e0/results_raw/tracker_outputs/data30/data30-10/car/bytetrack.jsonl.gz,358b7f7554f5549c61849fe2011a4424c60dbf89025074e517d9cda6fb9da3a5,3738,data30-10,bytetrack,3623,114,0.4441358372569084,3738,0
3738,car,MMOT,3246,122,0,3738,3246,data30,68,68,<EXPERIMENT_ROOT>/results_raw/e0/results_raw/tracker_outputs/data30/data30-10/car/ocsort.jsonl.gz,7545badf119736fddc061d2007e3d67e2ec9fb7783d3eb27a1082187bf667a8e,3738,data30-10,ocsort,3246,122,0.6011179871857166,3738,0
245,bike,MMOT,10,10,0,245,70,data30,58,68,<EXPERIMENT_ROOT>/results_raw/e0/results_raw/tracker_outputs/data30/data30-10/bike/bytetrack.jsonl.gz,2491dabd29c9e683afb9dda27425dd3f1bf9f35b7cce074ca7b2a0c713408629,245,data30-10,bytetrack,70,43,0.07051548920571804,245,10
245,bike,MMOT,24,24,0,245,24,data30,58,68,<EXPERIMENT_ROOT>/results_raw/e0/results_raw/tracker_outputs/data30/data30-10/bike/ocsort.jsonl.gz,52d97e6245e94edf873aa6ba87b416b5a4bf067f3f6835d5d5c96e58627cd29f,245,data30-10,ocsort,24,24,0.21481081191450357,245,10
2441,pedestrian,MMOT,57,56,0,2441,247,data30,68,68,<EXPERIMENT_ROOT>/results_raw/e0/results_raw/tracker_outputs/data30/data30-10/pedestrian/bytetrack.jsonl.gz,70b7d0db02751bbe652e95a70d2c5f7765daeb95577f3904e0657be4bd7cfd6f,2441,data30-10,bytetrack,247,194,0.32374586071819067,2441,0
2441,pedestrian,MMOT,153,151,0,2441,153,data30,68,68,<EXPERIMENT_ROOT>/results_raw/e0/results_raw/tracker_outputs/data30/data30-10/pedestrian/ocsort.jsonl.gz,dad54f8c5f09dd902973ca569ec501233a923b2ad6a0394bc22f5bf7012c59d2,2441,data30-10,ocsort,153,151,2.3002567533403635,2441,0
165,van,MMOT,58,4,0,165,165,data30,47,68,<EXPERIMENT_ROOT>/results_raw/e0/results_raw/tracker_outputs/data30/data30-10/van/bytetrack.jsonl.gz,9f3e4d360d06fde295ec85100d698537d722aae7371afd23f8068bf843dd407d,165,data30-10,bytetrack,165,4,0.037391710095107555,165,21
165,van,MMOT,161,4,0,165,161,data30,47,68,<EXPERIMENT_ROOT>/results_raw/e0/results_raw/tracker_outputs/data30/data30-10/van/ocsort.jsonl.gz,9b0ef8a84f7dca5783dd18085ac31753ef12d469357f85fd8c730906adb9c5d0,165,data30-10,ocsort,161,4,0.036832431331276894,165,21
70,truck,MMOT,31,2,0,70,69,data30,68,68,<EXPERIMENT_ROOT>/results_raw/e0/results_raw/tracker_outputs/data30/data30-10/truck/bytetrack.jsonl.gz,c66c28c0d543e33b22a116e2895cd3f2cec64064c9bc228ba270fc4fe46ab322,70,data30-10,bytetrack,69,2,0.03317724447697401,70,0
