absolute_difference,metric,new_method,passed,protocol,rerun_value,stored_method,stored_value,tracker
0.0,eligible_source_tracklets,no_refinement,True,oracle_aabb,6751,no_refinement,6751,ocsort
0.0,HOTA,ace_v1,True,oracle_aabb,45.91677836089798,com3d_reciprocal_guard,45.91677836089798,ocsort
0.0,AssA,ace_v1,True,oracle_aabb,53.63882045073404,com3d_reciprocal_guard,53.63882045073404,ocsort
0.0,DetA,ace_v1,True,oracle_aabb,40.925425846227526,com3d_reciprocal_guard,40.925425846227526,ocsort
0.0,IDF1,ace_v1,True,oracle_aabb,45.25381478226733,com3d_reciprocal_guard,45.25381478226733,ocsort
0.0,MOTA,ace_v1,True,oracle_aabb,38.54715113826074,com3d_reciprocal_guard,38.54715113826074,ocsort
0.0,IDSW,ace_v1,True,oracle_aabb,4441,com3d_reciprocal_guard,4441,ocsort
0.0,FP,ace_v1,True,oracle_aabb,0,com3d_reciprocal_guard,0,ocsort
0.0,FN,ace_v1,True,oracle_aabb,105736,com3d_reciprocal_guard,105736,ocsort
0.0,TP,ace_v1,True,oracle_aabb,90458,com3d_reciprocal_guard,90458,ocsort
0.0,Frag,ace_v1,True,oracle_aabb,3875,com3d_reciprocal_guard,3875,ocsort
0.0,accepted_correct,ace_v1,True,oracle_aabb,1661,com3d_reciprocal_guard,1661,ocsort
0.0,accepted_false,ace_v1,True,oracle_aabb,899,com3d_reciprocal_guard,899,ocsort
0.0,accepted_unknown,ace_v1,True,oracle_aabb,0,com3d_reciprocal_guard,0,ocsort
0.0,eligible_source_tracklets,ace_v1,True,oracle_aabb,6751,com3d_reciprocal_guard,6751,ocsort
0.0,HOTA,cost_r,True,oracle_aabb,46.1573274757975,controlled_cost_reciprocal,46.1573274757975,ocsort
0.0,AssA,cost_r,True,oracle_aabb,54.19719129036984,controlled_cost_reciprocal,54.19719129036984,ocsort
0.0,DetA,cost_r,True,oracle_aabb,40.92576493211428,controlled_cost_reciprocal,40.92576493211428,ocsort
0.0,IDF1,cost_r,True,oracle_aabb,45.88269382141451,controlled_cost_reciprocal,45.88269382141451,ocsort
0.0,MOTA,cost_r,True,oracle_aabb,38.91652681066621,controlled_cost_reciprocal,38.91652681066621,ocsort
0.0,IDSW,cost_r,True,oracle_aabb,3828,controlled_cost_reciprocal,3828,ocsort
0.0,FP,cost_r,True,oracle_aabb,0,controlled_cost_reciprocal,0,ocsort
0.0,FN,cost_r,True,oracle_aabb,105736,controlled_cost_reciprocal,105736,ocsort
0.0,TP,cost_r,True,oracle_aabb,90458,controlled_cost_reciprocal,90458,ocsort
0.0,Frag,cost_r,True,oracle_aabb,3875,controlled_cost_reciprocal,3875,ocsort
0.0,accepted_correct,cost_r,True,oracle_aabb,2239,controlled_cost_reciprocal,2239,ocsort
0.0,accepted_false,cost_r,True,oracle_aabb,602,controlled_cost_reciprocal,602,ocsort
0.0,accepted_unknown,cost_r,True,oracle_aabb,0,controlled_cost_reciprocal,0,ocsort
0.0,eligible_source_tracklets,cost_r,True,oracle_aabb,6751,controlled_cost_reciprocal,6751,ocsort
0.0,HOTA,cost_g_legacy,True,oracle_aabb,46.2326515621981,controlled_cost_greedy,46.2326515621981,ocsort
0.0,AssA,cost_g_legacy,True,oracle_aabb,54.40527697911088,controlled_cost_greedy,54.40527697911088,ocsort
0.0,DetA,cost_g_legacy,True,oracle_aabb,40.926235641215946,controlled_cost_greedy,40.926235641215946,ocsort
0.0,IDF1,cost_g_legacy,True,oracle_aabb,46.13763558814354,controlled_cost_greedy,46.13763558814354,ocsort
0.0,MOTA,cost_g_legacy,True,oracle_aabb,39.07371459750779,controlled_cost_greedy,39.07371459750779,ocsort
0.0,IDSW,cost_g_legacy,True,oracle_aabb,3501,controlled_cost_greedy,3501,ocsort
0.0,FP,cost_g_legacy,True,oracle_aabb,0,controlled_cost_greedy,0,ocsort
0.0,FN,cost_g_legacy,True,oracle_aabb,105736,controlled_cost_greedy,105736,ocsort
0.0,TP,cost_g_legacy,True,oracle_aabb,90458,controlled_cost_greedy,90458,ocsort
0.0,Frag,cost_g_legacy,True,oracle_aabb,3875,controlled_cost_greedy,3875,ocsort
0.0,accepted_correct,cost_g_legacy,True,oracle_aabb,2457,controlled_cost_greedy,2457,ocsort
0.0,accepted_false,cost_g_legacy,True,oracle_aabb,963,controlled_cost_greedy,963,ocsort
0.0,accepted_unknown,cost_g_legacy,True,oracle_aabb,0,controlled_cost_greedy,0,ocsort
0.0,eligible_source_tracklets,cost_g_legacy,True,oracle_aabb,6751,controlled_cost_greedy,6751,ocsort
0.0,HOTA,cost_h,True,oracle_aabb,46.25781198007123,geometry_reid_hungarian,46.25781198007123,ocsort
0.0,AssA,cost_h,True,oracle_aabb,54.445377453356286,geometry_reid_hungarian,54.445377453356286,ocsort
0.0,DetA,cost_h,True,oracle_aabb,40.92587822903393,geometry_reid_hungarian,40.92587822903393,ocsort
0.0,IDF1,cost_h,True,oracle_aabb,46.18531957078042,geometry_reid_hungarian,46.18531957078042,ocsort
0.0,MOTA,cost_h,True,oracle_aabb,39.110882589738374,geometry_reid_hungarian,39.110882589738374,ocsort
0.0,IDSW,cost_h,True,oracle_aabb,3547,geometry_reid_hungarian,3547,ocsort
0.0,FP,cost_h,True,oracle_aabb,0,geometry_reid_hungarian,0,ocsort
0.0,FN,cost_h,True,oracle_aabb,105736,geometry_reid_hungarian,105736,ocsort
0.0,TP,cost_h,True,oracle_aabb,90458,geometry_reid_hungarian,90458,ocsort
0.0,Frag,cost_h,True,oracle_aabb,3875,geometry_reid_hungarian,3875,ocsort
0.0,accepted_correct,cost_h,True,oracle_aabb,2489,geometry_reid_hungarian,2489,ocsort
0.0,accepted_false,cost_h,True,oracle_aabb,856,geometry_reid_hungarian,856,ocsort
0.0,accepted_unknown,cost_h,True,oracle_aabb,0,geometry_reid_hungarian,0,ocsort
0.0,eligible_source_tracklets,cost_h,True,oracle_aabb,6751,geometry_reid_hungarian,6751,ocsort
0.0,HOTA,no_refinement,True,oracle_aabb,81.32105008043304,no_refinement,81.32105008043304,deepocsort
0.0,AssA,no_refinement,True,oracle_aabb,82.06275997135361,no_refinement,82.06275997135361,deepocsort
0.0,DetA,no_refinement,True,oracle_aabb,81.60219151010966,no_refinement,81.60219151010966,deepocsort
0.0,IDF1,no_refinement,True,oracle_aabb,81.48609392004403,no_refinement,81.48609392004403,deepocsort
0.0,MOTA,no_refinement,True,oracle_aabb,80.27084974644677,no_refinement,80.27084974644677,deepocsort
0.0,IDSW,no_refinement,True,oracle_aabb,1962,no_refinement,1962,deepocsort
0.0,FP,no_refinement,True,oracle_aabb,0,no_refinement,0,deepocsort
0.0,FN,no_refinement,True,oracle_aabb,22130,no_refinement,22130,deepocsort
0.0,TP,no_refinement,True,oracle_aabb,174064,no_refinement,174064,deepocsort
0.0,Frag,no_refinement,True,oracle_aabb,2155,no_refinement,2155,deepocsort
