dataset,protocol,data_role,sequence,tracker,contrast,description,baseline,treatment,tau_a,tau_m,gt_used_by_linker_or_verifier,gt_use,baseline_HOTA,treatment_HOTA,delta_HOTA,baseline_AssA,treatment_AssA,delta_AssA,baseline_IDF1,treatment_IDF1,delta_IDF1,baseline_IDSW,treatment_IDSW,delta_IDSW,baseline_accepted_links,baseline_accepted_correct,baseline_accepted_false,baseline_accepted_unknown,treatment_accepted_links,treatment_accepted_correct,treatment_accepted_false,treatment_accepted_unknown
M3OT,development,development,M3OT/1/ir/val/1-08T,bytetrack,post_filter_only,Hungarian + full verifier post-filter minus Hungarian,cost_h,cost_h_full_postfilter,0.1,4.0,False,"oracle tracker input plus metrics/post-hoc edge labels; not crop admission, candidates, solver, or verifier",93.8139084453356,94.56355442790301,0.7496459825674151,93.5742203443645,95.07268175085143,1.4984614064869248,98.34273940696944,99.41771925109738,1.0749798441279381,1,2,1,6,3,1,2,4,2,0,2
M3OT,development,development,M3OT/1/ir/val/1-08T,ocsort,post_filter_only,Hungarian + full verifier post-filter minus Hungarian,cost_h,cost_h_full_postfilter,0.1,4.0,False,"oracle tracker input plus metrics/post-hoc edge labels; not crop admission, candidates, solver, or verifier",97.62556833474638,97.5622696264787,-0.06329870826768058,97.51830214101534,97.39188482020062,-0.12641732081472412,98.76320303331227,98.69098131262977,-0.07222172068249222,2,3,1,6,4,2,0,5,3,2,0
M3OT,development,development,M3OT/1/rgb/val/1-08,bytetrack,post_filter_only,Hungarian + full verifier post-filter minus Hungarian,cost_h,cost_h_full_postfilter,0.1,4.0,False,"oracle tracker input plus metrics/post-hoc edge labels; not crop admission, candidates, solver, or verifier",93.18331179640991,93.18331179640991,0.0,93.65072633344991,93.65072633344991,0.0,99.54537506557091,99.54537506557091,0.0,1,1,0,2,2,0,0,2,2,0,0
M3OT,development,development,M3OT/1/rgb/val/1-08,ocsort,post_filter_only,Hungarian + full verifier post-filter minus Hungarian,cost_h,cost_h_full_postfilter,0.1,4.0,False,"oracle tracker input plus metrics/post-hoc edge labels; not crop admission, candidates, solver, or verifier",97.85513745108297,97.85513745108297,0.0,97.77044456021233,97.77044456021233,0.0,98.8906497622821,98.8906497622821,0.0,1,1,0,3,2,1,0,3,2,1,0
M3OT,development,development,M3OT/2/ir/val/2-08T,bytetrack,post_filter_only,Hungarian + full verifier post-filter minus Hungarian,cost_h,cost_h_full_postfilter,0.1,4.0,False,"oracle tracker input plus metrics/post-hoc edge labels; not crop admission, candidates, solver, or verifier",94.39495340863073,94.31013643702038,-0.08481697161035129,93.90167054848341,93.73292050728963,-0.1687500411937748,98.02522614345777,97.93604280800102,-0.08918333545675239,2,3,1,10,8,1,1,9,7,1,1
M3OT,development,development,M3OT/2/ir/val/2-08T,ocsort,post_filter_only,Hungarian + full verifier post-filter minus Hungarian,cost_h,cost_h_full_postfilter,0.1,4.0,False,"oracle tracker input plus metrics/post-hoc edge labels; not crop admission, candidates, solver, or verifier",97.01188743136667,97.01188743136667,0.0,95.79234964725343,95.79234964725343,0.0,97.51377675253107,97.51377675253107,0.0,2,2,0,10,9,1,0,10,9,1,0
M3OT,development,development,M3OT/2/rgb/val/2-08,bytetrack,post_filter_only,Hungarian + full verifier post-filter minus Hungarian,cost_h,cost_h_full_postfilter,0.1,4.0,False,"oracle tracker input plus metrics/post-hoc edge labels; not crop admission, candidates, solver, or verifier",95.68914716653936,95.68914716653936,0.0,95.67316321825757,95.67316321825757,0.0,98.57943925233646,98.57943925233646,0.0,1,1,0,0,0,0,0,0,0,0,0
M3OT,development,development,M3OT/2/rgb/val/2-08,ocsort,post_filter_only,Hungarian + full verifier post-filter minus Hungarian,cost_h,cost_h_full_postfilter,0.1,4.0,False,"oracle tracker input plus metrics/post-hoc edge labels; not crop admission, candidates, solver, or verifier",97.9784501584312,97.9784501584312,0.0,97.32888435836351,97.32888435836351,0.0,98.13470205307962,98.13470205307962,0.0,1,1,0,0,0,0,0,0,0,0,0
M3OT,development,development,M3OT/1/ir/val/1-08T,bytetrack,reassignment_after_verification,Verification followed by reassignment minus post-filter only,cost_h_full_postfilter,cost_h_full_reassign,0.1,4.0,False,"oracle tracker input plus metrics/post-hoc edge labels; not crop admission, candidates, solver, or verifier",94.56355442790301,94.37983506215261,-0.18371936575040593,95.07268175085143,94.70438659266016,-0.36829515819127323,99.41771925109738,99.25647227447818,-0.1612469766191964,2,3,1,4,2,0,2,4,1,1,2
M3OT,development,development,M3OT/1/ir/val/1-08T,ocsort,reassignment_after_verification,Verification followed by reassignment minus post-filter only,cost_h_full_postfilter,cost_h_full_reassign,0.1,4.0,False,"oracle tracker input plus metrics/post-hoc edge labels; not crop admission, candidates, solver, or verifier",97.5622696264787,97.43258483103867,-0.12968479544002776,97.39188482020062,97.13314028050411,-0.258744539696508,98.69098131262977,98.56459330143541,-0.12638801119436494,3,4,1,5,3,2,0,5,2,3,0
M3OT,development,development,M3OT/1/rgb/val/1-08,bytetrack,reassignment_after_verification,Verification followed by reassignment minus post-filter only,cost_h_full_postfilter,cost_h_full_reassign,0.1,4.0,False,"oracle tracker input plus metrics/post-hoc edge labels; not crop admission, candidates, solver, or verifier",93.18331179640991,93.18331179640991,0.0,93.65072633344991,93.65072633344991,0.0,99.54537506557091,99.54537506557091,0.0,1,1,0,2,2,0,0,2,2,0,0
M3OT,development,development,M3OT/1/rgb/val/1-08,ocsort,reassignment_after_verification,Verification followed by reassignment minus post-filter only,cost_h_full_postfilter,cost_h_full_reassign,0.1,4.0,False,"oracle tracker input plus metrics/post-hoc edge labels; not crop admission, candidates, solver, or verifier",97.85513745108297,97.85513745108297,0.0,97.77044456021233,97.77044456021233,0.0,98.8906497622821,98.8906497622821,0.0,1,1,0,3,2,1,0,3,2,1,0
M3OT,development,development,M3OT/2/ir/val/2-08T,bytetrack,reassignment_after_verification,Verification followed by reassignment minus post-filter only,cost_h_full_postfilter,cost_h_full_reassign,0.1,4.0,False,"oracle tracker input plus metrics/post-hoc edge labels; not crop admission, candidates, solver, or verifier",94.31013643702038,94.1875714954364,-0.12256494158397402,93.73292050728963,93.48933470009861,-0.24358580719102463,97.93604280800102,97.84685947254428,-0.08918333545673818,3,4,1,9,7,1,1,9,6,2,1
M3OT,development,development,M3OT/2/ir/val/2-08T,ocsort,reassignment_after_verification,Verification followed by reassignment minus post-filter only,cost_h_full_postfilter,cost_h_full_reassign,0.1,4.0,False,"oracle tracker input plus metrics/post-hoc edge labels; not crop admission, candidates, solver, or verifier",97.01188743136667,97.01188743136667,0.0,95.79234964725343,95.79234964725343,0.0,97.51377675253107,97.51377675253107,0.0,2,2,0,10,9,1,0,10,9,1,0
M3OT,development,development,M3OT/2/rgb/val/2-08,bytetrack,reassignment_after_verification,Verification followed by reassignment minus post-filter only,cost_h_full_postfilter,cost_h_full_reassign,0.1,4.0,False,"oracle tracker input plus metrics/post-hoc edge labels; not crop admission, candidates, solver, or verifier",95.68914716653936,95.68914716653936,0.0,95.67316321825757,95.67316321825757,0.0,98.57943925233646,98.57943925233646,0.0,1,1,0,0,0,0,0,0,0,0,0
M3OT,development,development,M3OT/2/rgb/val/2-08,ocsort,reassignment_after_verification,Verification followed by reassignment minus post-filter only,cost_h_full_postfilter,cost_h_full_reassign,0.1,4.0,False,"oracle tracker input plus metrics/post-hoc edge labels; not crop admission, candidates, solver, or verifier",97.9784501584312,97.9784501584312,0.0,97.32888435836351,97.32888435836351,0.0,98.13470205307962,98.13470205307962,0.0,1,1,0,0,0,0,0,0,0,0,0
M3OT,development,development,M3OT/1/ir/val/1-08T,bytetrack,same_cue_cost_only,Hungarian + same-cue soft cost minus Hungarian,cost_h,cost_h_soft_information,0.1,4.0,False,"oracle tracker input plus metrics/post-hoc edge labels; not crop admission, candidates, solver, or verifier",93.8139084453356,93.8139084453356,0.0,93.5742203443645,93.5742203443645,0.0,98.34273940696944,98.34273940696944,0.0,1,1,0,6,3,1,2,6,3,1,2
M3OT,development,development,M3OT/1/ir/val/1-08T,ocsort,same_cue_cost_only,Hungarian + same-cue soft cost minus Hungarian,cost_h,cost_h_soft_information,0.1,4.0,False,"oracle tracker input plus metrics/post-hoc edge labels; not crop admission, candidates, solver, or verifier",97.62556833474638,97.62556833474638,0.0,97.51830214101534,97.51830214101534,0.0,98.76320303331227,98.76320303331227,0.0,2,2,0,6,4,2,0,6,4,2,0
M3OT,development,development,M3OT/1/rgb/val/1-08,bytetrack,same_cue_cost_only,Hungarian + same-cue soft cost minus Hungarian,cost_h,cost_h_soft_information,0.1,4.0,False,"oracle tracker input plus metrics/post-hoc edge labels; not crop admission, candidates, solver, or verifier",93.18331179640991,93.18331179640991,0.0,93.65072633344991,93.65072633344991,0.0,99.54537506557091,99.54537506557091,0.0,1,1,0,2,2,0,0,2,2,0,0
M3OT,development,development,M3OT/1/rgb/val/1-08,ocsort,same_cue_cost_only,Hungarian + same-cue soft cost minus Hungarian,cost_h,cost_h_soft_information,0.1,4.0,False,"oracle tracker input plus metrics/post-hoc edge labels; not crop admission, candidates, solver, or verifier",97.85513745108297,97.85513745108297,0.0,97.77044456021233,97.77044456021233,0.0,98.8906497622821,98.8906497622821,0.0,1,1,0,3,2,1,0,3,2,1,0
M3OT,development,development,M3OT/2/ir/val/2-08T,bytetrack,same_cue_cost_only,Hungarian + same-cue soft cost minus Hungarian,cost_h,cost_h_soft_information,0.1,4.0,False,"oracle tracker input plus metrics/post-hoc edge labels; not crop admission, candidates, solver, or verifier",94.39495340863073,94.15035707297352,-0.2445963356572065,93.90167054848341,93.41556683062167,-0.486103717861738,98.02522614345777,97.84685947254428,-0.17836667091349057,2,4,2,10,8,1,1,10,6,3,1
M3OT,development,development,M3OT/2/ir/val/2-08T,ocsort,same_cue_cost_only,Hungarian + same-cue soft cost minus Hungarian,cost_h,cost_h_soft_information,0.1,4.0,False,"oracle tracker input plus metrics/post-hoc edge labels; not crop admission, candidates, solver, or verifier",97.01188743136667,97.01188743136667,0.0,95.79234964725343,95.79234964725343,0.0,97.51377675253107,97.51377675253107,0.0,2,2,0,10,9,1,0,10,9,1,0
M3OT,development,development,M3OT/2/rgb/val/2-08,bytetrack,same_cue_cost_only,Hungarian + same-cue soft cost minus Hungarian,cost_h,cost_h_soft_information,0.1,4.0,False,"oracle tracker input plus metrics/post-hoc edge labels; not crop admission, candidates, solver, or verifier",95.68914716653936,95.68914716653936,0.0,95.67316321825757,95.67316321825757,0.0,98.57943925233646,98.57943925233646,0.0,1,1,0,0,0,0,0,0,0,0,0
M3OT,development,development,M3OT/2/rgb/val/2-08,ocsort,same_cue_cost_only,Hungarian + same-cue soft cost minus Hungarian,cost_h,cost_h_soft_information,0.1,4.0,False,"oracle tracker input plus metrics/post-hoc edge labels; not crop admission, candidates, solver, or verifier",97.9784501584312,97.9784501584312,0.0,97.32888435836351,97.32888435836351,0.0,98.13470205307962,98.13470205307962,0.0,1,1,0,0,0,0,0,0,0,0,0
M3OT,held_out,exposed_exploratory_retest,M3OT/1/ir/test/1-03T,bytetrack,greedy_full_verifier,P-G (controlled-cost path-constrained greedy) + same full verifier/reassignment minus P-G,path_g,path_g_full_reassign,0.1,4.0,False,"oracle tracker input plus metrics/post-hoc edge labels; not crop admission, candidates, solver, or verifier",84.40886511708091,84.40886511708091,0.0,83.47914556093346,83.47914556093346,0.0,95.73643410852713,95.73643410852713,0.0,1,1,0,3,1,1,1,3,1,1,1
M3OT,held_out,exposed_exploratory_retest,M3OT/1/ir/test/1-03T,ocsort,greedy_full_verifier,P-G (controlled-cost path-constrained greedy) + same full verifier/reassignment minus P-G,path_g,path_g_full_reassign,0.1,4.0,False,"oracle tracker input plus metrics/post-hoc edge labels; not crop admission, candidates, solver, or verifier",95.29199761736639,95.29199761736639,0.0,95.19592923199454,95.19592923199454,0.0,97.4822974036192,97.4822974036192,0.0,1,1,0,1,1,0,0,1,1,0,0
