dataset,protocol,family,sequence,class_or_modality,tracker,solver,candidate_edges,baseline_selected_edges,V_off_selected_edges,selected_pairs_identical
MMOT,oracle_aabb,legacy12,data30-3,awning-bike,bytetrack,controlled_partial_hungarian,38,30,30,True
MMOT,oracle_aabb,legacy12,data30-3,bike,bytetrack,controlled_partial_hungarian,24,19,19,True
MMOT,oracle_aabb,legacy12,data30-3,bus,bytetrack,controlled_partial_hungarian,1,1,1,True
MMOT,oracle_aabb,legacy12,data30-3,car,bytetrack,controlled_partial_hungarian,46,32,32,True
MMOT,oracle_aabb,legacy12,data30-3,pedestrian,bytetrack,controlled_partial_hungarian,437,122,122,True
MMOT,oracle_aabb,legacy12,data30-3,tricycle,bytetrack,controlled_partial_hungarian,11,8,8,True
MMOT,oracle_aabb,legacy12,data30-3,truck,bytetrack,controlled_partial_hungarian,1,1,1,True
MMOT,oracle_aabb,legacy12,data30-3,van,bytetrack,controlled_partial_hungarian,11,5,5,True
MMOT,oracle_aabb,legacy12,data30-3,awning-bike,bytetrack,path_constrained_greedy,38,30,30,True
MMOT,oracle_aabb,legacy12,data30-3,bike,bytetrack,path_constrained_greedy,24,19,19,True
MMOT,oracle_aabb,legacy12,data30-3,bus,bytetrack,path_constrained_greedy,1,1,1,True
MMOT,oracle_aabb,legacy12,data30-3,car,bytetrack,path_constrained_greedy,46,31,31,True
MMOT,oracle_aabb,legacy12,data30-3,pedestrian,bytetrack,path_constrained_greedy,437,119,119,True
MMOT,oracle_aabb,legacy12,data30-3,tricycle,bytetrack,path_constrained_greedy,11,8,8,True
MMOT,oracle_aabb,legacy12,data30-3,truck,bytetrack,path_constrained_greedy,1,1,1,True
MMOT,oracle_aabb,legacy12,data30-3,van,bytetrack,path_constrained_greedy,11,5,5,True
MMOT,oracle_aabb,legacy12,data30-3,awning-bike,deepocsort,controlled_partial_hungarian,1,1,1,True
MMOT,oracle_aabb,legacy12,data30-3,bike,deepocsort,controlled_partial_hungarian,3,3,3,True
MMOT,oracle_aabb,legacy12,data30-3,car,deepocsort,controlled_partial_hungarian,2,2,2,True
MMOT,oracle_aabb,legacy12,data30-3,pedestrian,deepocsort,controlled_partial_hungarian,23,19,19,True
MMOT,oracle_aabb,legacy12,data30-3,awning-bike,deepocsort,path_constrained_greedy,1,1,1,True
MMOT,oracle_aabb,legacy12,data30-3,bike,deepocsort,path_constrained_greedy,3,3,3,True
MMOT,oracle_aabb,legacy12,data30-3,car,deepocsort,path_constrained_greedy,2,2,2,True
MMOT,oracle_aabb,legacy12,data30-3,pedestrian,deepocsort,path_constrained_greedy,23,18,18,True
MMOT,oracle_aabb,legacy12,data30-3,awning-bike,ocsort,controlled_partial_hungarian,17,11,11,True
MMOT,oracle_aabb,legacy12,data30-3,bike,ocsort,controlled_partial_hungarian,18,13,13,True
MMOT,oracle_aabb,legacy12,data30-3,bus,ocsort,controlled_partial_hungarian,1,1,1,True
MMOT,oracle_aabb,legacy12,data30-3,car,ocsort,controlled_partial_hungarian,59,43,43,True
MMOT,oracle_aabb,legacy12,data30-3,pedestrian,ocsort,controlled_partial_hungarian,264,88,88,True
MMOT,oracle_aabb,legacy12,data30-3,tricycle,ocsort,controlled_partial_hungarian,5,5,5,True
MMOT,oracle_aabb,legacy12,data30-3,truck,ocsort,controlled_partial_hungarian,1,1,1,True
MMOT,oracle_aabb,legacy12,data30-3,van,ocsort,controlled_partial_hungarian,5,4,4,True
MMOT,oracle_aabb,legacy12,data30-3,awning-bike,ocsort,path_constrained_greedy,17,11,11,True
MMOT,oracle_aabb,legacy12,data30-3,bike,ocsort,path_constrained_greedy,18,13,13,True
MMOT,oracle_aabb,legacy12,data30-3,bus,ocsort,path_constrained_greedy,1,1,1,True
MMOT,oracle_aabb,legacy12,data30-3,car,ocsort,path_constrained_greedy,59,40,40,True
MMOT,oracle_aabb,legacy12,data30-3,pedestrian,ocsort,path_constrained_greedy,264,85,85,True
MMOT,oracle_aabb,legacy12,data30-3,tricycle,ocsort,path_constrained_greedy,5,5,5,True
MMOT,oracle_aabb,legacy12,data30-3,truck,ocsort,path_constrained_greedy,1,1,1,True
MMOT,oracle_aabb,legacy12,data30-3,van,ocsort,path_constrained_greedy,5,4,4,True
MMOT,oracle_aabb,legacy12,data30-4,awning-bike,bytetrack,controlled_partial_hungarian,5,5,5,True
MMOT,oracle_aabb,legacy12,data30-4,bike,bytetrack,controlled_partial_hungarian,1,1,1,True
MMOT,oracle_aabb,legacy12,data30-4,car,bytetrack,controlled_partial_hungarian,12,10,10,True
MMOT,oracle_aabb,legacy12,data30-4,pedestrian,bytetrack,controlled_partial_hungarian,194,67,67,True
MMOT,oracle_aabb,legacy12,data30-4,truck,bytetrack,controlled_partial_hungarian,2,2,2,True
MMOT,oracle_aabb,legacy12,data30-4,van,bytetrack,controlled_partial_hungarian,6,4,4,True
MMOT,oracle_aabb,legacy12,data30-4,awning-bike,bytetrack,path_constrained_greedy,5,5,5,True
MMOT,oracle_aabb,legacy12,data30-4,bike,bytetrack,path_constrained_greedy,1,1,1,True
MMOT,oracle_aabb,legacy12,data30-4,car,bytetrack,path_constrained_greedy,12,9,9,True
MMOT,oracle_aabb,legacy12,data30-4,pedestrian,bytetrack,path_constrained_greedy,194,61,61,True
MMOT,oracle_aabb,legacy12,data30-4,truck,bytetrack,path_constrained_greedy,2,2,2,True
MMOT,oracle_aabb,legacy12,data30-4,van,bytetrack,path_constrained_greedy,6,4,4,True
MMOT,oracle_aabb,legacy12,data30-4,awning-bike,deepocsort,controlled_partial_hungarian,3,2,2,True
MMOT,oracle_aabb,legacy12,data30-4,pedestrian,deepocsort,controlled_partial_hungarian,61,31,31,True
MMOT,oracle_aabb,legacy12,data30-4,awning-bike,deepocsort,path_constrained_greedy,3,2,2,True
MMOT,oracle_aabb,legacy12,data30-4,pedestrian,deepocsort,path_constrained_greedy,61,31,31,True
MMOT,oracle_aabb,legacy12,data30-4,awning-bike,ocsort,controlled_partial_hungarian,5,4,4,True
MMOT,oracle_aabb,legacy12,data30-4,bus,ocsort,controlled_partial_hungarian,2,2,2,True
MMOT,oracle_aabb,legacy12,data30-4,car,ocsort,controlled_partial_hungarian,40,21,21,True
MMOT,oracle_aabb,legacy12,data30-4,pedestrian,ocsort,controlled_partial_hungarian,49,25,25,True
MMOT,oracle_aabb,legacy12,data30-4,truck,ocsort,controlled_partial_hungarian,3,2,2,True
MMOT,oracle_aabb,legacy12,data30-4,van,ocsort,controlled_partial_hungarian,5,4,4,True
MMOT,oracle_aabb,legacy12,data30-4,awning-bike,ocsort,path_constrained_greedy,5,4,4,True
MMOT,oracle_aabb,legacy12,data30-4,bus,ocsort,path_constrained_greedy,2,2,2,True
MMOT,oracle_aabb,legacy12,data30-4,car,ocsort,path_constrained_greedy,40,19,19,True
MMOT,oracle_aabb,legacy12,data30-4,pedestrian,ocsort,path_constrained_greedy,49,25,25,True
MMOT,oracle_aabb,legacy12,data30-4,truck,ocsort,path_constrained_greedy,3,2,2,True
MMOT,oracle_aabb,legacy12,data30-4,van,ocsort,path_constrained_greedy,5,4,4,True
MMOT,oracle_aabb,legacy12,data30-5,bike,bytetrack,controlled_partial_hungarian,2,2,2,True
MMOT,oracle_aabb,legacy12,data30-5,bus,bytetrack,controlled_partial_hungarian,1,1,1,True
MMOT,oracle_aabb,legacy12,data30-5,car,bytetrack,controlled_partial_hungarian,4,4,4,True
MMOT,oracle_aabb,legacy12,data30-5,pedestrian,bytetrack,controlled_partial_hungarian,139,47,47,True
MMOT,oracle_aabb,legacy12,data30-5,bike,bytetrack,path_constrained_greedy,2,2,2,True
MMOT,oracle_aabb,legacy12,data30-5,bus,bytetrack,path_constrained_greedy,1,1,1,True
MMOT,oracle_aabb,legacy12,data30-5,car,bytetrack,path_constrained_greedy,4,4,4,True
MMOT,oracle_aabb,legacy12,data30-5,pedestrian,bytetrack,path_constrained_greedy,139,44,44,True
MMOT,oracle_aabb,legacy12,data30-5,car,deepocsort,controlled_partial_hungarian,1,1,1,True
MMOT,oracle_aabb,legacy12,data30-5,pedestrian,deepocsort,controlled_partial_hungarian,27,12,12,True
MMOT,oracle_aabb,legacy12,data30-5,car,deepocsort,path_constrained_greedy,1,1,1,True
MMOT,oracle_aabb,legacy12,data30-5,pedestrian,deepocsort,path_constrained_greedy,27,12,12,True
MMOT,oracle_aabb,legacy12,data30-5,bike,ocsort,controlled_partial_hungarian,3,3,3,True
MMOT,oracle_aabb,legacy12,data30-5,bus,ocsort,controlled_partial_hungarian,3,3,3,True
MMOT,oracle_aabb,legacy12,data30-5,car,ocsort,controlled_partial_hungarian,8,7,7,True
MMOT,oracle_aabb,legacy12,data30-5,pedestrian,ocsort,controlled_partial_hungarian,64,24,24,True
MMOT,oracle_aabb,legacy12,data30-5,van,ocsort,controlled_partial_hungarian,2,2,2,True
MMOT,oracle_aabb,legacy12,data30-5,bike,ocsort,path_constrained_greedy,3,3,3,True
MMOT,oracle_aabb,legacy12,data30-5,bus,ocsort,path_constrained_greedy,3,3,3,True
MMOT,oracle_aabb,legacy12,data30-5,car,ocsort,path_constrained_greedy,8,7,7,True
MMOT,oracle_aabb,legacy12,data30-5,pedestrian,ocsort,path_constrained_greedy,64,23,23,True
MMOT,oracle_aabb,legacy12,data30-5,van,ocsort,path_constrained_greedy,2,2,2,True
MMOT,oracle_aabb,legacy12,data30-9,awning-bike,bytetrack,controlled_partial_hungarian,134,53,53,True
MMOT,oracle_aabb,legacy12,data30-9,bike,bytetrack,controlled_partial_hungarian,89,33,33,True
MMOT,oracle_aabb,legacy12,data30-9,car,bytetrack,controlled_partial_hungarian,1,1,1,True
MMOT,oracle_aabb,legacy12,data30-9,pedestrian,bytetrack,controlled_partial_hungarian,60,22,22,True
MMOT,oracle_aabb,legacy12,data30-9,van,bytetrack,controlled_partial_hungarian,1,1,1,True
MMOT,oracle_aabb,legacy12,data30-9,awning-bike,bytetrack,path_constrained_greedy,134,51,51,True
MMOT,oracle_aabb,legacy12,data30-9,bike,bytetrack,path_constrained_greedy,89,32,32,True
MMOT,oracle_aabb,legacy12,data30-9,car,bytetrack,path_constrained_greedy,1,1,1,True
MMOT,oracle_aabb,legacy12,data30-9,pedestrian,bytetrack,path_constrained_greedy,60,21,21,True
MMOT,oracle_aabb,legacy12,data30-9,van,bytetrack,path_constrained_greedy,1,1,1,True
MMOT,oracle_aabb,legacy12,data30-9,awning-bike,deepocsort,controlled_partial_hungarian,3,2,2,True
MMOT,oracle_aabb,legacy12,data30-9,pedestrian,deepocsort,controlled_partial_hungarian,21,14,14,True
MMOT,oracle_aabb,legacy12,data30-9,awning-bike,deepocsort,path_constrained_greedy,3,2,2,True
MMOT,oracle_aabb,legacy12,data30-9,pedestrian,deepocsort,path_constrained_greedy,21,14,14,True
MMOT,oracle_aabb,legacy12,data30-9,awning-bike,ocsort,controlled_partial_hungarian,105,28,28,True
MMOT,oracle_aabb,legacy12,data30-9,bike,ocsort,controlled_partial_hungarian,86,19,19,True
MMOT,oracle_aabb,legacy12,data30-9,pedestrian,ocsort,controlled_partial_hungarian,526,106,106,True
MMOT,oracle_aabb,legacy12,data30-9,tricycle,ocsort,controlled_partial_hungarian,2,2,2,True
MMOT,oracle_aabb,legacy12,data30-9,van,ocsort,controlled_partial_hungarian,2,2,2,True
MMOT,oracle_aabb,legacy12,data30-9,awning-bike,ocsort,path_constrained_greedy,105,26,26,True
MMOT,oracle_aabb,legacy12,data30-9,bike,ocsort,path_constrained_greedy,86,18,18,True
MMOT,oracle_aabb,legacy12,data30-9,pedestrian,ocsort,path_constrained_greedy,526,106,106,True
MMOT,oracle_aabb,legacy12,data30-9,tricycle,ocsort,path_constrained_greedy,2,2,2,True
MMOT,oracle_aabb,legacy12,data30-9,van,ocsort,path_constrained_greedy,2,2,2,True
MMOT,oracle_aabb,confirmation38,data31-1,pedestrian,bytetrack,controlled_partial_hungarian,63,42,42,True
MMOT,oracle_aabb,confirmation38,data31-1,pedestrian,bytetrack,path_constrained_greedy,63,42,42,True
MMOT,oracle_aabb,confirmation38,data31-1,pedestrian,deepocsort,controlled_partial_hungarian,2,2,2,True
MMOT,oracle_aabb,confirmation38,data31-1,pedestrian,deepocsort,path_constrained_greedy,2,2,2,True
MMOT,oracle_aabb,confirmation38,data31-1,pedestrian,ocsort,controlled_partial_hungarian,13,8,8,True
MMOT,oracle_aabb,confirmation38,data31-1,pedestrian,ocsort,path_constrained_greedy,13,8,8,True
MMOT,oracle_aabb,confirmation38,data33-1,pedestrian,bytetrack,controlled_partial_hungarian,202,68,68,True
MMOT,oracle_aabb,confirmation38,data33-1,pedestrian,bytetrack,path_constrained_greedy,202,66,66,True
MMOT,oracle_aabb,confirmation38,data33-1,pedestrian,deepocsort,controlled_partial_hungarian,10,10,10,True
MMOT,oracle_aabb,confirmation38,data33-1,pedestrian,deepocsort,path_constrained_greedy,10,10,10,True
MMOT,oracle_aabb,confirmation38,data33-1,pedestrian,ocsort,controlled_partial_hungarian,17,11,11,True
MMOT,oracle_aabb,confirmation38,data33-1,pedestrian,ocsort,path_constrained_greedy,17,11,11,True
MMOT,oracle_aabb,confirmation38,data34-1,car,bytetrack,controlled_partial_hungarian,6,4,4,True
MMOT,oracle_aabb,confirmation38,data34-1,pedestrian,bytetrack,controlled_partial_hungarian,7234,688,688,True
MMOT,oracle_aabb,confirmation38,data34-1,truck,bytetrack,controlled_partial_hungarian,15,8,8,True
MMOT,oracle_aabb,confirmation38,data34-1,van,bytetrack,controlled_partial_hungarian,2,2,2,True
MMOT,oracle_aabb,confirmation38,data34-1,car,bytetrack,path_constrained_greedy,6,4,4,True
MMOT,oracle_aabb,confirmation38,data34-1,pedestrian,bytetrack,path_constrained_greedy,7234,634,634,True
MMOT,oracle_aabb,confirmation38,data34-1,truck,bytetrack,path_constrained_greedy,15,8,8,True
MMOT,oracle_aabb,confirmation38,data34-1,van,bytetrack,path_constrained_greedy,2,2,2,True
MMOT,oracle_aabb,confirmation38,data34-1,pedestrian,deepocsort,controlled_partial_hungarian,487,138,138,True
MMOT,oracle_aabb,confirmation38,data34-1,pedestrian,deepocsort,path_constrained_greedy,487,133,133,True
MMOT,oracle_aabb,confirmation38,data34-1,car,ocsort,controlled_partial_hungarian,19,10,10,True
MMOT,oracle_aabb,confirmation38,data34-1,pedestrian,ocsort,controlled_partial_hungarian,429,111,111,True
MMOT,oracle_aabb,confirmation38,data34-1,truck,ocsort,controlled_partial_hungarian,15,9,9,True
MMOT,oracle_aabb,confirmation38,data34-1,van,ocsort,controlled_partial_hungarian,1,1,1,True
MMOT,oracle_aabb,confirmation38,data34-1,car,ocsort,path_constrained_greedy,19,10,10,True
MMOT,oracle_aabb,confirmation38,data34-1,pedestrian,ocsort,path_constrained_greedy,429,109,109,True
MMOT,oracle_aabb,confirmation38,data34-1,truck,ocsort,path_constrained_greedy,15,8,8,True
MMOT,oracle_aabb,confirmation38,data34-1,van,ocsort,path_constrained_greedy,1,1,1,True
MMOT,oracle_aabb,confirmation38,data34-2,bike,bytetrack,controlled_partial_hungarian,1,1,1,True
MMOT,oracle_aabb,confirmation38,data34-2,pedestrian,bytetrack,controlled_partial_hungarian,844,109,109,True
MMOT,oracle_aabb,confirmation38,data34-2,bike,bytetrack,path_constrained_greedy,1,1,1,True
MMOT,oracle_aabb,confirmation38,data34-2,pedestrian,bytetrack,path_constrained_greedy,844,106,106,True
MMOT,oracle_aabb,confirmation38,data34-2,pedestrian,deepocsort,controlled_partial_hungarian,40,14,14,True
MMOT,oracle_aabb,confirmation38,data34-2,pedestrian,deepocsort,path_constrained_greedy,40,13,13,True
MMOT,oracle_aabb,confirmation38,data34-2,awning-bike,ocsort,controlled_partial_hungarian,3,2,2,True
MMOT,oracle_aabb,confirmation38,data34-2,bike,ocsort,controlled_partial_hungarian,3,2,2,True
MMOT,oracle_aabb,confirmation38,data34-2,pedestrian,ocsort,controlled_partial_hungarian,39,17,17,True
MMOT,oracle_aabb,confirmation38,data34-2,awning-bike,ocsort,path_constrained_greedy,3,2,2,True
MMOT,oracle_aabb,confirmation38,data34-2,bike,ocsort,path_constrained_greedy,3,2,2,True
MMOT,oracle_aabb,confirmation38,data34-2,pedestrian,ocsort,path_constrained_greedy,39,17,17,True
MMOT,oracle_aabb,confirmation38,data34-3,bike,bytetrack,controlled_partial_hungarian,3,3,3,True
MMOT,oracle_aabb,confirmation38,data34-3,pedestrian,bytetrack,controlled_partial_hungarian,914,123,123,True
MMOT,oracle_aabb,confirmation38,data34-3,truck,bytetrack,controlled_partial_hungarian,1,1,1,True
MMOT,oracle_aabb,confirmation38,data34-3,van,bytetrack,controlled_partial_hungarian,1,1,1,True
MMOT,oracle_aabb,confirmation38,data34-3,bike,bytetrack,path_constrained_greedy,3,3,3,True
MMOT,oracle_aabb,confirmation38,data34-3,pedestrian,bytetrack,path_constrained_greedy,914,116,116,True
MMOT,oracle_aabb,confirmation38,data34-3,truck,bytetrack,path_constrained_greedy,1,1,1,True
MMOT,oracle_aabb,confirmation38,data34-3,van,bytetrack,path_constrained_greedy,1,1,1,True
MMOT,oracle_aabb,confirmation38,data34-3,pedestrian,deepocsort,controlled_partial_hungarian,298,68,68,True
MMOT,oracle_aabb,confirmation38,data34-3,pedestrian,deepocsort,path_constrained_greedy,298,66,66,True
MMOT,oracle_aabb,confirmation38,data34-3,bike,ocsort,controlled_partial_hungarian,4,3,3,True
MMOT,oracle_aabb,confirmation38,data34-3,pedestrian,ocsort,controlled_partial_hungarian,891,129,129,True
MMOT,oracle_aabb,confirmation38,data34-3,van,ocsort,controlled_partial_hungarian,1,1,1,True
MMOT,oracle_aabb,confirmation38,data34-3,bike,ocsort,path_constrained_greedy,4,3,3,True
MMOT,oracle_aabb,confirmation38,data34-3,pedestrian,ocsort,path_constrained_greedy,891,126,126,True
MMOT,oracle_aabb,confirmation38,data34-3,van,ocsort,path_constrained_greedy,1,1,1,True
MMOT,oracle_aabb,confirmation38,data36-10,awning-bike,bytetrack,controlled_partial_hungarian,13,10,10,True
MMOT,oracle_aabb,confirmation38,data36-10,bike,bytetrack,controlled_partial_hungarian,7,7,7,True
MMOT,oracle_aabb,confirmation38,data36-10,car,bytetrack,controlled_partial_hungarian,2,1,1,True
MMOT,oracle_aabb,confirmation38,data36-10,pedestrian,bytetrack,controlled_partial_hungarian,5703,818,818,True
MMOT,oracle_aabb,confirmation38,data36-10,awning-bike,bytetrack,path_constrained_greedy,13,10,10,True
MMOT,oracle_aabb,confirmation38,data36-10,bike,bytetrack,path_constrained_greedy,7,7,7,True
MMOT,oracle_aabb,confirmation38,data36-10,car,bytetrack,path_constrained_greedy,2,1,1,True
MMOT,oracle_aabb,confirmation38,data36-10,pedestrian,bytetrack,path_constrained_greedy,5703,755,755,True
MMOT,oracle_aabb,confirmation38,data36-10,car,deepocsort,controlled_partial_hungarian,2,1,1,True
MMOT,oracle_aabb,confirmation38,data36-10,pedestrian,deepocsort,controlled_partial_hungarian,1218,210,210,True
MMOT,oracle_aabb,confirmation38,data36-10,car,deepocsort,path_constrained_greedy,2,1,1,True
MMOT,oracle_aabb,confirmation38,data36-10,pedestrian,deepocsort,path_constrained_greedy,1218,196,196,True
MMOT,oracle_aabb,confirmation38,data36-10,awning-bike,ocsort,controlled_partial_hungarian,8,6,6,True
MMOT,oracle_aabb,confirmation38,data36-10,bike,ocsort,controlled_partial_hungarian,2,2,2,True
MMOT,oracle_aabb,confirmation38,data36-10,car,ocsort,controlled_partial_hungarian,2,1,1,True
MMOT,oracle_aabb,confirmation38,data36-10,pedestrian,ocsort,controlled_partial_hungarian,1433,201,201,True
MMOT,oracle_aabb,confirmation38,data36-10,awning-bike,ocsort,path_constrained_greedy,8,6,6,True
MMOT,oracle_aabb,confirmation38,data36-10,bike,ocsort,path_constrained_greedy,2,2,2,True
MMOT,oracle_aabb,confirmation38,data36-10,car,ocsort,path_constrained_greedy,2,1,1,True
MMOT,oracle_aabb,confirmation38,data36-10,pedestrian,ocsort,path_constrained_greedy,1433,193,193,True
MMOT,oracle_aabb,confirmation38,data36-11,awning-bike,bytetrack,controlled_partial_hungarian,4,4,4,True
MMOT,oracle_aabb,confirmation38,data36-11,bike,bytetrack,controlled_partial_hungarian,3,3,3,True
MMOT,oracle_aabb,confirmation38,data36-11,pedestrian,bytetrack,controlled_partial_hungarian,1647,264,264,True
MMOT,oracle_aabb,confirmation38,data36-11,awning-bike,bytetrack,path_constrained_greedy,4,4,4,True
MMOT,oracle_aabb,confirmation38,data36-11,bike,bytetrack,path_constrained_greedy,3,3,3,True
MMOT,oracle_aabb,confirmation38,data36-11,pedestrian,bytetrack,path_constrained_greedy,1647,251,251,True
MMOT,oracle_aabb,confirmation38,data36-11,car,deepocsort,controlled_partial_hungarian,2,1,1,True
MMOT,oracle_aabb,confirmation38,data36-11,pedestrian,deepocsort,controlled_partial_hungarian,92,27,27,True
MMOT,oracle_aabb,confirmation38,data36-11,car,deepocsort,path_constrained_greedy,2,1,1,True
MMOT,oracle_aabb,confirmation38,data36-11,pedestrian,deepocsort,path_constrained_greedy,92,26,26,True
MMOT,oracle_aabb,confirmation38,data36-11,awning-bike,ocsort,controlled_partial_hungarian,4,3,3,True
MMOT,oracle_aabb,confirmation38,data36-11,bike,ocsort,controlled_partial_hungarian,6,4,4,True
MMOT,oracle_aabb,confirmation38,data36-11,pedestrian,ocsort,controlled_partial_hungarian,1671,224,224,True
MMOT,oracle_aabb,confirmation38,data36-11,tricycle,ocsort,controlled_partial_hungarian,1,1,1,True
MMOT,oracle_aabb,confirmation38,data36-11,awning-bike,ocsort,path_constrained_greedy,4,3,3,True
MMOT,oracle_aabb,confirmation38,data36-11,bike,ocsort,path_constrained_greedy,6,4,4,True
MMOT,oracle_aabb,confirmation38,data36-11,pedestrian,ocsort,path_constrained_greedy,1671,221,221,True
MMOT,oracle_aabb,confirmation38,data36-11,tricycle,ocsort,path_constrained_greedy,1,1,1,True
MMOT,oracle_aabb,confirmation38,data36-12,awning-bike,bytetrack,controlled_partial_hungarian,1,1,1,True
MMOT,oracle_aabb,confirmation38,data36-12,bike,bytetrack,controlled_partial_hungarian,24,10,10,True
MMOT,oracle_aabb,confirmation38,data36-12,car,bytetrack,controlled_partial_hungarian,3,3,3,True
MMOT,oracle_aabb,confirmation38,data36-12,pedestrian,bytetrack,controlled_partial_hungarian,98,45,45,True
MMOT,oracle_aabb,confirmation38,data36-12,tricycle,bytetrack,controlled_partial_hungarian,5,5,5,True
MMOT,oracle_aabb,confirmation38,data36-12,awning-bike,bytetrack,path_constrained_greedy,1,1,1,True
MMOT,oracle_aabb,confirmation38,data36-12,bike,bytetrack,path_constrained_greedy,24,9,9,True
MMOT,oracle_aabb,confirmation38,data36-12,car,bytetrack,path_constrained_greedy,3,3,3,True
MMOT,oracle_aabb,confirmation38,data36-12,pedestrian,bytetrack,path_constrained_greedy,98,43,43,True
MMOT,oracle_aabb,confirmation38,data36-12,tricycle,bytetrack,path_constrained_greedy,5,5,5,True
MMOT,oracle_aabb,confirmation38,data36-12,pedestrian,deepocsort,controlled_partial_hungarian,17,8,8,True
MMOT,oracle_aabb,confirmation38,data36-12,pedestrian,deepocsort,path_constrained_greedy,17,8,8,True
MMOT,oracle_aabb,confirmation38,data36-12,awning-bike,ocsort,controlled_partial_hungarian,4,3,3,True
MMOT,oracle_aabb,confirmation38,data36-12,bike,ocsort,controlled_partial_hungarian,7,6,6,True
MMOT,oracle_aabb,confirmation38,data36-12,car,ocsort,controlled_partial_hungarian,2,2,2,True
MMOT,oracle_aabb,confirmation38,data36-12,pedestrian,ocsort,controlled_partial_hungarian,58,24,24,True
MMOT,oracle_aabb,confirmation38,data36-12,tricycle,ocsort,controlled_partial_hungarian,3,2,2,True
MMOT,oracle_aabb,confirmation38,data36-12,van,ocsort,controlled_partial_hungarian,2,2,2,True
MMOT,oracle_aabb,confirmation38,data36-12,awning-bike,ocsort,path_constrained_greedy,4,3,3,True
MMOT,oracle_aabb,confirmation38,data36-12,bike,ocsort,path_constrained_greedy,7,6,6,True
MMOT,oracle_aabb,confirmation38,data36-12,car,ocsort,path_constrained_greedy,2,2,2,True
MMOT,oracle_aabb,confirmation38,data36-12,pedestrian,ocsort,path_constrained_greedy,58,24,24,True
MMOT,oracle_aabb,confirmation38,data36-12,tricycle,ocsort,path_constrained_greedy,3,2,2,True
MMOT,oracle_aabb,confirmation38,data36-12,van,ocsort,path_constrained_greedy,2,2,2,True
MMOT,oracle_aabb,confirmation38,data36-13,awning-bike,bytetrack,controlled_partial_hungarian,2,2,2,True
MMOT,oracle_aabb,confirmation38,data36-13,car,bytetrack,controlled_partial_hungarian,6,4,4,True
MMOT,oracle_aabb,confirmation38,data36-13,pedestrian,bytetrack,controlled_partial_hungarian,57,21,21,True
MMOT,oracle_aabb,confirmation38,data36-13,tricycle,bytetrack,controlled_partial_hungarian,1,1,1,True
MMOT,oracle_aabb,confirmation38,data36-13,awning-bike,bytetrack,path_constrained_greedy,2,2,2,True
MMOT,oracle_aabb,confirmation38,data36-13,car,bytetrack,path_constrained_greedy,6,4,4,True
MMOT,oracle_aabb,confirmation38,data36-13,pedestrian,bytetrack,path_constrained_greedy,57,20,20,True
MMOT,oracle_aabb,confirmation38,data36-13,tricycle,bytetrack,path_constrained_greedy,1,1,1,True
MMOT,oracle_aabb,confirmation38,data36-13,awning-bike,deepocsort,controlled_partial_hungarian,3,2,2,True
MMOT,oracle_aabb,confirmation38,data36-13,pedestrian,deepocsort,controlled_partial_hungarian,14,5,5,True
MMOT,oracle_aabb,confirmation38,data36-13,awning-bike,deepocsort,path_constrained_greedy,3,2,2,True
MMOT,oracle_aabb,confirmation38,data36-13,pedestrian,deepocsort,path_constrained_greedy,14,5,5,True
MMOT,oracle_aabb,confirmation38,data36-13,awning-bike,ocsort,controlled_partial_hungarian,1,1,1,True
MMOT,oracle_aabb,confirmation38,data36-13,bike,ocsort,controlled_partial_hungarian,3,2,2,True
MMOT,oracle_aabb,confirmation38,data36-13,pedestrian,ocsort,controlled_partial_hungarian,47,17,17,True
MMOT,oracle_aabb,confirmation38,data36-13,awning-bike,ocsort,path_constrained_greedy,1,1,1,True
MMOT,oracle_aabb,confirmation38,data36-13,bike,ocsort,path_constrained_greedy,3,2,2,True
MMOT,oracle_aabb,confirmation38,data36-13,pedestrian,ocsort,path_constrained_greedy,47,17,17,True
MMOT,oracle_aabb,confirmation38,data36-4,awning-bike,bytetrack,controlled_partial_hungarian,21,12,12,True
MMOT,oracle_aabb,confirmation38,data36-4,bike,bytetrack,controlled_partial_hungarian,69,34,34,True
MMOT,oracle_aabb,confirmation38,data36-4,car,bytetrack,controlled_partial_hungarian,16,15,15,True
MMOT,oracle_aabb,confirmation38,data36-4,pedestrian,bytetrack,controlled_partial_hungarian,3332,577,577,True
MMOT,oracle_aabb,confirmation38,data36-4,van,bytetrack,controlled_partial_hungarian,1,1,1,True
MMOT,oracle_aabb,confirmation38,data36-4,awning-bike,bytetrack,path_constrained_greedy,21,12,12,True
MMOT,oracle_aabb,confirmation38,data36-4,bike,bytetrack,path_constrained_greedy,69,33,33,True
MMOT,oracle_aabb,confirmation38,data36-4,car,bytetrack,path_constrained_greedy,16,15,15,True
MMOT,oracle_aabb,confirmation38,data36-4,pedestrian,bytetrack,path_constrained_greedy,3332,554,554,True
MMOT,oracle_aabb,confirmation38,data36-4,van,bytetrack,path_constrained_greedy,1,1,1,True
MMOT,oracle_aabb,confirmation38,data36-4,bike,deepocsort,controlled_partial_hungarian,2,2,2,True
MMOT,oracle_aabb,confirmation38,data36-4,car,deepocsort,controlled_partial_hungarian,9,7,7,True
MMOT,oracle_aabb,confirmation38,data36-4,pedestrian,deepocsort,controlled_partial_hungarian,135,57,57,True
