dataset,protocol,data_role,tracker,contrast,description,baseline,treatment,sequence_count,tracker_count,mean_delta_HOTA_pp,mean_delta_AssA_pp,mean_delta_IDF1_pp,IDF1_bootstrap_95_low_pp,IDF1_bootstrap_95_high_pp,improved_sequences,tied_sequences,worsened_sequences,baseline_IDSW_total,treatment_IDSW_total,delta_IDSW_total,baseline_accepted_links,treatment_accepted_links,baseline_conditional_link_error,treatment_conditional_link_error,baseline_auditable_fraction,treatment_auditable_fraction,bootstrap_seed,bootstrap_resamples,fresh_confirmation
M3OT,held_out,exposed_exploratory_retest,all_trackers_sequence_mean,margin_only,Hungarian + margin-only verifier/reassignment minus Hungarian,cost_h,cost_h_margin_reassign,4,2,0.6527067056528502,1.2738037385654977,0.9954699040613821,0.0,2.9864097121841464,1,3,0,10,8,-2,14,12,1.0,0.8181818181818182,0.9285714285714286,0.9166666666666666,20260915,10000,False
M3OT,held_out,exposed_exploratory_retest,bytetrack,margin_only,Hungarian + margin-only verifier/reassignment minus Hungarian,cost_h,cost_h_margin_reassign,4,1,0.6410623593620741,1.2387529549999776,1.0271317829457374,0.0,3.081395348837212,1,3,0,5,4,-1,10,9,1.0,0.875,0.9,0.8888888888888888,20260915,10000,False
M3OT,held_out,exposed_exploratory_retest,ocsort,margin_only,Hungarian + margin-only verifier/reassignment minus Hungarian,cost_h,cost_h_margin_reassign,4,1,0.6643510519436262,1.3088545221310177,0.9638080251770269,0.0,2.8914240755310807,1,3,0,5,4,-1,4,3,1.0,0.6666666666666666,1.0,1.0,20260915,10000,False
M3OT,held_out,exposed_exploratory_retest,all_trackers_sequence_mean,motion_only,Hungarian + motion-only verifier/reassignment minus Hungarian,cost_h,cost_h_motion_reassign,4,2,0.6527067056528502,1.2738037385654977,0.9954699040613821,0.0,2.9864097121841464,1,3,0,10,8,-2,14,12,1.0,0.8181818181818182,0.9285714285714286,0.9166666666666666,20260915,10000,False
M3OT,held_out,exposed_exploratory_retest,bytetrack,motion_only,Hungarian + motion-only verifier/reassignment minus Hungarian,cost_h,cost_h_motion_reassign,4,1,0.6410623593620741,1.2387529549999776,1.0271317829457374,0.0,3.081395348837212,1,3,0,5,4,-1,10,9,1.0,0.875,0.9,0.8888888888888888,20260915,10000,False
M3OT,held_out,exposed_exploratory_retest,ocsort,motion_only,Hungarian + motion-only verifier/reassignment minus Hungarian,cost_h,cost_h_motion_reassign,4,1,0.6643510519436262,1.3088545221310177,0.9638080251770269,0.0,2.8914240755310807,1,3,0,5,4,-1,4,3,1.0,0.6666666666666666,1.0,1.0,20260915,10000,False
M3OT,held_out,exposed_exploratory_retest,all_trackers_sequence_mean,post_filter_only,Hungarian + full verifier post-filter minus Hungarian,cost_h,cost_h_full_postfilter,4,2,0.32006290382701685,0.6286180150236333,0.44256490952006367,0.0,1.327694728560191,1,3,0,10,10,0,14,11,1.0,1.0,0.9285714285714286,0.9090909090909091,20260915,10000,False
M3OT,held_out,exposed_exploratory_retest,bytetrack,post_filter_only,Hungarian + full verifier post-filter minus Hungarian,cost_h,cost_h_full_postfilter,4,1,0.04893902621159185,0.09433805543575247,0.0,0.0,0.0,0,4,0,5,5,0,10,9,1.0,1.0,0.9,0.8888888888888888,20260915,10000,False
M3OT,held_out,exposed_exploratory_retest,ocsort,post_filter_only,Hungarian + full verifier post-filter minus Hungarian,cost_h,cost_h_full_postfilter,4,1,0.5911867814424419,1.1628979746115142,0.8851298190401273,0.0,2.655389457120382,1,3,0,5,5,0,4,2,1.0,1.0,1.0,1.0,20260915,10000,False
M3OT,held_out,exposed_exploratory_retest,all_trackers_sequence_mean,reassignment_after_verification,Verification followed by reassignment minus post-filter only,cost_h_full_postfilter,cost_h_full_reassign,4,2,0.3326438018258333,0.6451857235418643,0.5529049945413185,0.0,1.6587149836239554,1,3,0,10,8,-2,11,12,1.0,0.8181818181818182,0.9090909090909091,0.9166666666666666,20260915,10000,False
M3OT,held_out,exposed_exploratory_retest,bytetrack,reassignment_after_verification,Verification followed by reassignment minus post-filter only,cost_h_full_postfilter,cost_h_full_reassign,4,1,0.5921233331504823,1.1444148995642252,1.0271317829457374,0.0,3.081395348837212,1,3,0,5,4,-1,9,9,1.0,0.875,0.8888888888888888,0.8888888888888888,20260915,10000,False
M3OT,held_out,exposed_exploratory_retest,ocsort,reassignment_after_verification,Verification followed by reassignment minus post-filter only,cost_h_full_postfilter,cost_h_full_reassign,4,1,0.07316427050118435,0.1459565475195035,0.07867820613689958,0.0,0.23603461841069873,1,3,0,5,4,-1,2,3,1.0,0.6666666666666666,1.0,1.0,20260915,10000,False
M3OT,held_out,exposed_exploratory_retest,all_trackers_sequence_mean,same_cue_cost_only,Hungarian + same-cue soft cost minus Hungarian,cost_h,cost_h_soft_information,4,2,0.32053117968103706,0.6193764774999888,0.5135658914728687,0.0,1.540697674418606,1,3,0,10,9,-1,14,13,1.0,0.9166666666666666,0.9285714285714286,0.9230769230769231,20260915,10000,False
M3OT,held_out,exposed_exploratory_retest,bytetrack,same_cue_cost_only,Hungarian + same-cue soft cost minus Hungarian,cost_h,cost_h_soft_information,4,1,0.6410623593620741,1.2387529549999776,1.0271317829457374,0.0,3.081395348837212,1,3,0,5,4,-1,10,9,1.0,0.875,0.9,0.8888888888888888,20260915,10000,False
M3OT,held_out,exposed_exploratory_retest,ocsort,same_cue_cost_only,Hungarian + same-cue soft cost minus Hungarian,cost_h,cost_h_soft_information,4,1,0.0,0.0,0.0,0.0,0.0,0,4,0,5,5,0,4,4,1.0,1.0,1.0,1.0,20260915,10000,False
