family,sequence,tracker,no_refinement_idf1,com3d_ace_idf1,delta_idf1_pp,outcome
confirmation38,data31-1,ocsort,2.2821576763485476,2.6970954356846475,0.4149377593360999,improved
confirmation38,data33-1,ocsort,6.738544474393531,10.242587601078167,3.5040431266846364,improved
confirmation38,data34-1,ocsort,3.939873417721519,4.351265822784811,0.41139240506329156,improved
confirmation38,data34-2,ocsort,48.335467349551855,48.59154929577465,0.25608194622279257,improved
confirmation38,data34-3,ocsort,7.200847158489234,7.765619484645252,0.5647723261560182,improved
confirmation38,data36-4,ocsort,38.296726959517656,39.66408268733851,1.3673557278208506,improved
confirmation38,data36-5,ocsort,63.46138613861386,64.66534653465347,1.203960396039605,improved
confirmation38,data36-10,ocsort,39.46896888744095,39.45267958950969,-0.016289297931258773,worsened
confirmation38,data36-11,ocsort,41.14520829761701,41.77953025887193,0.6343219612549191,improved
confirmation38,data36-12,ocsort,53.519340519974634,53.804692454026636,0.2853519340520023,improved
confirmation38,data36-13,ocsort,69.18813172481252,69.44897293772416,0.2608412129116431,improved
confirmation38,data37-1,ocsort,53.089674277288765,55.386265135606095,2.2965908583173302,improved
confirmation38,data37-2,ocsort,46.94758958795377,47.39115209524921,0.44356250729543945,improved
confirmation38,data37-10,ocsort,66.5018541409147,67.56489493201482,1.0630407911001214,improved
confirmation38,data37-11,ocsort,70.9424645770717,72.48819235723487,1.545727780163162,improved
confirmation38,data37-12,ocsort,86.62715794898223,87.03942282916775,0.41226488018551777,improved
confirmation38,data39-1,ocsort,45.63445867287544,45.401629802095464,-0.23282887077997572,worsened
confirmation38,data39-2,ocsort,14.258188824662813,18.11175337186898,3.8535645472061653,improved
confirmation38,data39-3,ocsort,2.122820318423048,3.9423805913570886,1.8195602729340408,improved
confirmation38,data39-6,ocsort,46.38833664678595,46.98475811795891,0.5964214711729596,improved
confirmation38,data40-3,ocsort,32.342449464922716,36.385255648038054,4.042806183115339,improved
confirmation38,data40-4,ocsort,3.5837353549276365,5.444521019986216,1.8607856650585797,improved
confirmation38,data40-5,ocsort,56.34642356241234,64.23562412342217,7.8892005610098295,improved
confirmation38,data41-1,ocsort,35.833333333333336,37.916666666666664,2.0833333333333286,improved
confirmation38,data42-1,ocsort,55.13364055299539,56.00000000000001,0.8663594470046192,improved
confirmation38,data42-2,ocsort,47.53237661883094,49.002450122506126,1.470073503675188,improved
confirmation38,data42-3,ocsort,70.07237122179652,71.86036611323968,1.7879948914431623,improved
confirmation38,data46-11,ocsort,38.74290702749891,41.728502837189005,2.9855958096900963,improved
confirmation38,data46-12,ocsort,59.53682019255789,60.811865729898514,1.275045537340624,improved
confirmation38,data47-1,ocsort,10.638297872340425,11.347517730496454,0.709219858156029,improved
confirmation38,data47-2,ocsort,24.77596204533474,25.51396942540854,0.7380073800737996,improved
confirmation38,data47-3,ocsort,48.177733399900156,49.725411882176736,1.5476784822765808,improved
confirmation38,data47-4,ocsort,39.35599284436494,39.89266547406082,0.5366726296958788,improved
confirmation38,data48-1,ocsort,5.660377358490567,8.80503144654088,3.1446540880503138,improved
confirmation38,data49-2,ocsort,43.05555555555556,44.97549019607843,1.9199346405228752,improved
legacy12,data28-1,deepocsort,84.68314862176754,84.68314862176754,0.0,tied
legacy12,data28-2,deepocsort,85.20023215322112,85.54846198491003,0.3482298316889114,improved
legacy12,data28-3,deepocsort,1.25,1.25,0.0,tied
legacy12,data28-4,deepocsort,4.878048780487805,4.878048780487805,0.0,tied
legacy12,data28-5,deepocsort,17.117117117117118,21.62162162162162,4.504504504504503,improved
legacy12,data28-6,deepocsort,0.0,0.0,0.0,tied
legacy12,data30-2,deepocsort,74.08864411224756,74.45580907421977,0.3671649619722075,improved
legacy12,data30-3,deepocsort,73.04108752100198,73.71315106155491,0.6720635405529265,improved
legacy12,data30-4,deepocsort,78.11981566820276,80.51612903225806,2.3963133640553025,improved
legacy12,data30-5,deepocsort,63.844449913856764,63.696775781442284,-0.1476741324144797,worsened
legacy12,data30-9,deepocsort,64.70380818053597,64.63328631875882,-0.07052186177715214,worsened
legacy12,data30-10,deepocsort,72.45141493351517,72.2979884077736,-0.15342652574156546,worsened
confirmation38,data23-1,deepocsort,78.8020589611605,78.8020589611605,0.0,tied
confirmation38,data24-1,deepocsort,55.00773063047586,56.244631506613985,1.2369008761381224,improved
confirmation38,data27-1,deepocsort,43.44827586206896,43.44827586206896,0.0,tied
confirmation38,data31-1,deepocsort,51.51301900070373,51.51301900070373,0.0,tied
confirmation38,data33-1,deepocsort,62.531433361274104,76.78122380553228,14.249790444258174,improved
confirmation38,data34-1,deepocsort,53.08590923188255,54.42985630104415,1.3439470691615938,improved
confirmation38,data34-2,deepocsort,72.13710724487146,72.39678005712801,0.2596728122565537,improved
confirmation38,data34-3,deepocsort,46.99777613046701,47.096614776377564,0.09883864591055413,improved
confirmation38,data36-4,deepocsort,75.36068138362594,76.05597079784461,0.6952894142186636,improved
confirmation38,data36-5,deepocsort,83.90169819135718,84.26066547010907,0.3589672787518907,improved
confirmation38,data36-10,deepocsort,67.92583064035391,66.97204530480344,-0.9537853355504637,worsened
confirmation38,data36-11,deepocsort,61.864711379483865,60.915822011357925,-0.9488893681259398,worsened
confirmation38,data36-12,deepocsort,66.8411330049261,66.7795566502463,-0.061576354679800716,worsened
confirmation38,data36-13,deepocsort,78.8510101010101,80.3030303030303,1.4520202020201936,improved
confirmation38,data37-1,deepocsort,75.45356241739756,76.40674436301013,0.9531819456125703,improved
confirmation38,data37-2,deepocsort,75.13626003369339,75.9290456842731,0.7927856505797166,improved
confirmation38,data37-10,deepocsort,85.51407237219989,87.21424468696152,1.7001723147616303,improved
confirmation38,data37-11,deepocsort,87.76504157032518,89.1130024105869,1.3479608402617203,improved
confirmation38,data37-12,deepocsort,90.82751744765703,90.62811565304088,-0.1994017946161506,worsened
confirmation38,data39-1,deepocsort,56.774193548387096,57.41935483870968,0.6451612903225836,improved
