atomic_context,class_name,controlled_cost,controlled_cost_in_rank,controlled_cost_out_rank,controlled_greedy_accepted,controlled_reciprocal_accepted,controlled_reciprocal_proposed,cosine_distance,destination_choice_count_across_methods,destination_conflict,destination_gt_purity,destination_majority_gt_identity,earlier,endpoint_center_distance_pixels,endpoint_top_left_distance_pixels,enters_fixed_candidate_graph,family,gap,geometry_first_in_rank,geometry_first_out_rank,historical_reciprocal_accepted,historical_reciprocal_proposed,later,partial_hungarian_selected,passes_appearance_gate,passes_geometry_gate,posthoc_gt_correctness,protocol,selected_methods,selection_count,sequence,source_choice_count_across_methods,source_conflict,source_gt_purity,source_majority_gt_identity,tracker
oracle_aabb/legacy12/data28-1/car/bytetrack,car,0.47758389223867703,1,2,False,False,False,0.15902674198150635,1,False,1.0,14,156,40.479772856105534,41.815487445125285,True,legacy12,5,1,5,False,False,269,True,True,True,false,oracle_aabb,Cost-H,1,data28-1,2,True,1.0,30,bytetrack
oracle_aabb/legacy12/data28-1/car/bytetrack,car,0.363018529678416,2,2,True,False,False,0.0716046690940857,2,True,,,157,43.10386806302293,41.98132642788459,True,legacy12,2,3,2,False,False,188,False,True,True,unknown,oracle_aabb,Cost-G,1,data28-1,2,True,,,bytetrack
oracle_aabb/legacy12/data28-1/car/bytetrack,car,0.5988090472898352,3,3,False,False,False,0.2804710865020752,3,True,0.42857142857142855,49,158,10.71712694410901,11.107558017935128,True,legacy12,20,1,1,True,True,353,False,True,True,unknown,oracle_aabb,ACE-v1,1,data28-1,2,True,,,bytetrack
oracle_aabb/legacy12/data28-1/car/bytetrack,car,0.6799717447475273,1,4,False,False,False,0.23255503177642822,1,False,,,158,32.893582057663494,33.297409995022235,True,legacy12,20,1,2,False,False,354,True,True,True,unknown,oracle_aabb,Cost-H,1,data28-1,2,True,,,bytetrack
oracle_aabb/legacy12/data28-1/car/bytetrack,car,0.5623782106270875,1,1,True,True,True,0.18730902671813965,3,True,1.0,49,159,54.785749855143834,54.3508290296968,True,legacy12,2,4,2,False,False,378,False,True,True,false,oracle_aabb,Cost-G;Cost-R,2,data28-1,2,True,0.5,7,bytetrack
oracle_aabb/legacy12/data28-1/car/bytetrack,car,0.8012219566304027,1,2,False,False,False,0.23994725942611694,1,False,0.6666666666666666,53,159,38.71129194922833,29.257183346530926,True,legacy12,27,1,1,True,True,425,True,True,True,false,oracle_aabb,ACE-v1;Cost-H,2,data28-1,2,True,0.5,7,bytetrack
oracle_aabb/legacy12/data28-1/car/bytetrack,car,0.7201429792915648,2,2,True,False,False,0.21130746603012085,1,False,1.0,14,184,26.91722281091936,31.469774689574688,True,legacy12,29,1,1,True,True,397,True,True,True,false,oracle_aabb,ACE-v1;Cost-G;Cost-H,3,data28-1,1,False,0.6666666666666666,6,bytetrack
oracle_aabb/legacy12/data28-1/car/bytetrack,car,0.46196750354705,1,1,False,True,True,0.08152425289154053,3,True,1.0,36,186,46.611858388480826,45.91757009135213,True,legacy12,8,4,1,False,False,349,True,True,True,false,oracle_aabb,Cost-H;Cost-R,2,data28-1,1,False,0.6666666666666666,11,bytetrack
oracle_aabb/legacy12/data28-1/car/bytetrack,car,0.5766060301153052,2,2,False,False,False,0.16998887062072754,3,True,0.42857142857142855,49,189,29.142035355225296,30.15676396597465,True,legacy12,19,3,1,False,False,353,True,True,True,false,oracle_aabb,Cost-H,1,data28-1,2,True,1.0,25,bytetrack
oracle_aabb/legacy12/data28-1/car/bytetrack,car,0.6716181317986876,4,4,True,False,False,0.14894217252731323,2,True,1.0,43,189,37.67759345010934,37.55366258448692,True,legacy12,25,4,2,False,False,370,False,True,True,false,oracle_aabb,Cost-G,1,data28-1,2,True,1.0,25,bytetrack
