a_only,a_only_correct,a_only_false,analysis,auditable_fraction,b_only,b_only_correct,b_only_false,conditional_precision,correct,edge_count,false,family,intersection,jaccard,method_a,method_b,note,posthoc_gt_correctness,protocol,tracker,union,unknown
,,,selection_signature,,,,,,,76,,confirmation38,,,ACE-v1+Cost-H,N/A,,unknown,official_detector,bytetrack,,
,,,selection_signature,,,,,,,13,,confirmation38,,,ACE-v1+Cost-H+Cost-R,N/A,,unknown,official_detector,bytetrack,,
,,,selection_signature,,,,,,,1,,confirmation38,,,ACE-v1+Cost-R,N/A,,unknown,official_detector,bytetrack,,
,,,selection_signature,,,,,,,6,,confirmation38,,,Cost-G,N/A,,correct,official_detector,bytetrack,,
,,,selection_signature,,,,,,,1,,confirmation38,,,Cost-G,N/A,,false,official_detector,bytetrack,,
,,,selection_signature,,,,,,,650,,confirmation38,,,Cost-G,N/A,,unknown,official_detector,bytetrack,,
,,,selection_signature,,,,,,,2,,confirmation38,,,Cost-G+Cost-H,N/A,,correct,official_detector,bytetrack,,
,,,selection_signature,,,,,,,259,,confirmation38,,,Cost-G+Cost-H,N/A,,unknown,official_detector,bytetrack,,
,,,selection_signature,,,,,,,12,,confirmation38,,,Cost-G+Cost-H+Cost-R,N/A,,correct,official_detector,bytetrack,,
,,,selection_signature,,,,,,,3,,confirmation38,,,Cost-G+Cost-H+Cost-R,N/A,,false,official_detector,bytetrack,,
,,,selection_signature,,,,,,,663,,confirmation38,,,Cost-G+Cost-H+Cost-R,N/A,,unknown,official_detector,bytetrack,,
,,,selection_signature,,,,,,,1,,confirmation38,,,Cost-G+Cost-R,N/A,,correct,official_detector,bytetrack,,
,,,selection_signature,,,,,,,128,,confirmation38,,,Cost-G+Cost-R,N/A,,unknown,official_detector,bytetrack,,
,,,selection_signature,,,,,,,3,,confirmation38,,,Cost-H,N/A,,correct,official_detector,bytetrack,,
,,,selection_signature,,,,,,,3,,confirmation38,,,Cost-H,N/A,,false,official_detector,bytetrack,,
,,,selection_signature,,,,,,,682,,confirmation38,,,Cost-H,N/A,,unknown,official_detector,bytetrack,,
,,,selection_signature,,,,,,,18,,confirmation38,,,Cost-H+Cost-R,N/A,,unknown,official_detector,bytetrack,,
,,,selection_signature,,,,,,,12,,confirmation38,,,Cost-R,N/A,,unknown,official_detector,bytetrack,,
,,,oracle_union_upper_bound_not_deployable,,,,,,,101,,confirmation38,,,any_linker_correct_edge,N/A,Post-hoc GT upper bound only; never scored as a deployable method.,,official_detector,bytetrack,,
,,,method_summary,0.08247422680412371,,,,0.5,20,485,20,legacy12,,,ACE-v1,N/A,,,official_detector,bytetrack,,445
,,,method_summary,0.07128712871287128,,,,0.5833333333333334,21,505,15,legacy12,,,Cost-R,N/A,,,official_detector,bytetrack,,469
,,,method_summary,0.07301587301587302,,,,0.5,23,630,23,legacy12,,,Cost-G,N/A,,,official_detector,bytetrack,,584
,,,method_summary,0.0707070707070707,,,,0.5,21,594,21,legacy12,,,Cost-H,N/A,,,official_detector,bytetrack,,552
