AssA,DetA,FN,FP,Frag,HOTA,IDF1,IDSW,MOTA,TP,accepted_correct,accepted_false,accepted_links,accepted_unknown,all_box_multisets_preserved,component_rejections,duplicate_frame_identity_count,method,sequence_tracker_units,solver_seconds,split,tau_a,tau_m,tie_ambiguous,tie_excluded_correct,tie_excluded_false
95.37680765304191,96.26877734879501,658,4,40,95.80357829369656,98.14184799689441,25,98.70637091339708,53852,15,0,16,1,True,0,0,cost_h_full_reassign,8,1.6413727011531591,development,0.0,1.0,0,15,0
95.70548364903001,96.26877734879501,658,4,40,95.97097647048588,98.44376466568973,20,98.71495388536123,53852,19,6,28,3,True,0,0,cost_h_full_reassign,8,1.6378226345404983,development,0.0,2.0,0,19,6
95.65534678615788,96.26877734879501,658,4,40,95.9457589221558,98.52546401209496,19,98.7165417918653,53852,20,9,32,3,True,0,0,cost_h_full_reassign,8,1.5478025544434786,development,0.0,4.0,0,20,9
95.44055324489617,96.26877734879501,658,4,40,95.83794863282196,98.3731752008435,19,98.7165417918653,53852,20,10,33,3,True,0,0,cost_h_full_reassign,8,1.6194338221102953,development,0.0,8.0,0,20,10
95.41050912876061,96.26877734879501,658,4,40,95.82037793537845,98.16200386897181,24,98.70860225934496,53852,16,0,17,1,True,0,0,cost_h_full_reassign,8,1.725558809004724,development,0.05,1.0,0,16,0
95.73918512474873,96.26877734879501,658,4,40,95.98777122594116,98.46392053776712,19,98.7171852313091,53852,20,6,29,3,True,0,0,cost_h_full_reassign,8,1.7207301696762443,development,0.05,2.0,0,20,6
95.65534678615788,96.26877734879501,658,4,40,95.9457589221558,98.52546401209496,19,98.7165417918653,53852,20,9,32,3,True,0,0,cost_h_full_reassign,8,1.5548401726409793,development,0.05,4.0,0,20,9
95.44055324489617,96.26877734879501,658,4,40,95.83794863282196,98.3731752008435,19,98.7165417918653,53852,20,10,33,3,True,0,0,cost_h_full_reassign,8,1.751646414399147,development,0.05,8.0,0,20,10
95.43675282018094,96.26877734879501,658,4,40,95.83352404673877,98.17780237037111,23,98.71083360529283,53852,17,0,18,1,True,0,0,cost_h_full_reassign,8,1.6582591021433473,development,0.1,1.0,0,17,0
95.73918512474873,96.26877734879501,658,4,40,95.98777122594116,98.46392053776712,19,98.7171852313091,53852,20,6,29,3,True,0,0,cost_h_full_reassign,8,1.737539766356349,development,0.1,2.0,0,20,6
95.69280371134995,96.26877734879501,658,4,40,95.96474067405723,98.54148349178226,17,98.71971760487341,53852,22,8,33,3,True,0,0,cost_h_full_reassign,8,1.6539107346907258,development,0.1,4.0,0,22,8
95.47801017008825,96.26877734879501,658,4,40,95.85693038472338,98.3891946805308,17,98.71971760487341,53852,22,9,34,3,True,0,0,cost_h_full_reassign,8,1.6482558185234666,development,0.1,8.0,0,22,9
95.44055324489617,96.26877734879501,658,4,40,95.83794863282196,98.3731752008435,19,98.7165417918653,53852,20,10,33,3,True,0,0,cost_h_margin_reassign,8,1.5436713667586446,development,0.0,1.0,0,20,10
95.44055324489617,96.26877734879501,658,4,40,95.83794863282196,98.3731752008435,19,98.7165417918653,53852,20,10,33,3,True,0,0,cost_h_margin_reassign,8,1.5518848588690162,development,0.0,2.0,0,20,10
95.44055324489617,96.26877734879501,658,4,40,95.83794863282196,98.3731752008435,19,98.7165417918653,53852,20,10,33,3,True,0,0,cost_h_margin_reassign,8,1.7125517409294844,development,0.0,4.0,0,20,10
95.44055324489617,96.26877734879501,658,4,40,95.83794863282196,98.3731752008435,19,98.7165417918653,53852,20,10,33,3,True,0,0,cost_h_margin_reassign,8,1.5499429600313306,development,0.0,8.0,0,20,10
95.44055324489617,96.26877734879501,658,4,40,95.83794863282196,98.3731752008435,19,98.7165417918653,53852,20,10,33,3,True,0,0,cost_h_margin_reassign,8,1.7195673296228051,development,0.05,1.0,0,20,10
95.44055324489617,96.26877734879501,658,4,40,95.83794863282196,98.3731752008435,19,98.7165417918653,53852,20,10,33,3,True,0,0,cost_h_margin_reassign,8,1.872421570122242,development,0.05,2.0,0,20,10
95.44055324489617,96.26877734879501,658,4,40,95.83794863282196,98.3731752008435,19,98.7165417918653,53852,20,10,33,3,True,0,0,cost_h_margin_reassign,8,1.6035205367952585,development,0.05,4.0,0,20,10
95.44055324489617,96.26877734879501,658,4,40,95.83794863282196,98.3731752008435,19,98.7165417918653,53852,20,10,33,3,True,0,0,cost_h_margin_reassign,8,1.5558738727122545,development,0.05,8.0,0,20,10
95.47801017008825,96.26877734879501,658,4,40,95.85693038472338,98.3891946805308,17,98.71971760487341,53852,22,9,34,3,True,0,0,cost_h_margin_reassign,8,1.5706087118014693,development,0.1,1.0,0,22,9
95.47801017008825,96.26877734879501,658,4,40,95.85693038472338,98.3891946805308,17,98.71971760487341,53852,22,9,34,3,True,0,0,cost_h_margin_reassign,8,1.5692105432972312,development,0.1,2.0,0,22,9
95.47801017008825,96.26877734879501,658,4,40,95.85693038472338,98.3891946805308,17,98.71971760487341,53852,22,9,34,3,True,0,0,cost_h_margin_reassign,8,1.74045523814857,development,0.1,4.0,0,22,9
95.47801017008825,96.26877734879501,658,4,40,95.85693038472338,98.3891946805308,17,98.71971760487341,53852,22,9,34,3,True,0,0,cost_h_margin_reassign,8,1.5698993997648358,development,0.1,8.0,0,22,9
95.48004085073362,96.26877734879501,658,4,40,95.85520070339288,98.20474641619188,21,98.71529629718859,53852,19,0,20,1,True,0,0,cost_h_motion_reassign,8,1.6319189006462693,development,0.0,1.0,0,19,0
95.81481622276345,96.26877734879501,658,4,40,96.02565676294697,98.5066630849872,16,98.72387926915273,53852,23,5,31,3,True,0,0,cost_h_motion_reassign,8,1.5418029790744185,development,0.0,2.0,0,23,5
95.86601368518669,96.26877734879501,658,4,40,96.05151387093113,98.62667774494392,11,98.73181880167306,53852,28,5,36,3,True,0,0,cost_h_motion_reassign,8,1.7182282861322165,development,0.0,4.0,0,28,5
95.651220143925,96.26877734879501,658,4,40,95.94404552406786,98.47438893369247,11,98.73181880167306,53852,28,6,37,3,True,0,0,cost_h_motion_reassign,8,1.643589824438095,development,0.0,8.0,0,28,6
95.48004085073362,96.26877734879501,658,4,40,95.85520070339288,98.20474641619188,21,98.71529629718859,53852,19,0,20,1,True,0,0,cost_h_motion_reassign,8,1.7273565707728267,development,0.05,1.0,0,19,0
95.81481622276345,96.26877734879501,658,4,40,96.02565676294697,98.5066630849872,16,98.72387926915273,53852,23,5,31,3,True,0,0,cost_h_motion_reassign,8,1.6413974789902568,development,0.05,2.0,0,23,5
