AssA,DetA,FN,FP,Frag,HOTA,IDF1,IDSW,MOTA,TP,accepted_correct,accepted_false,accepted_links,accepted_unknown,box_multiset_preserved,component_rejections,duplicate_frame_identity_count,method,modality,predicted_boxes,sequence,solver_seconds,split,tau_a,tau_m,tie_ambiguous,tie_excluded_correct,tie_excluded_false,tracker,valid_gt_boxes
95.07268175085143,94.12906524295698,41,0,9,94.56355442790301,99.41771925109738,2,99.23241699393074,5561,2,0,4,2,True,0,0,cost_h_full_postfilter,ir,5561,M3OT/1/ir/val/1-08T,0.17312272917479277,development,0.05,2.0,0,2,0,bytetrack,5602
95.07268175085143,94.12906524295698,41,0,9,94.56355442790301,99.41771925109738,2,99.23241699393074,5561,2,0,4,2,True,0,0,cost_h_full_reassign,ir,5561,M3OT/1/ir/val/1-08T,0.17098254058510065,development,0.05,2.0,0,2,0,bytetrack,5602
95.07268175085143,94.12906524295698,41,0,9,94.56355442790301,99.41771925109738,2,99.23241699393074,5561,2,0,4,2,True,0,0,path_g_full_reassign,ir,5561,M3OT/1/ir/val/1-08T,0.17393206246197224,development,0.05,2.0,0,2,0,bytetrack,5602
92.9860382625666,94.12906524295698,41,0,9,93.5173527474819,98.03816178446654,3,99.21456622634773,5561,1,2,5,2,True,0,0,cost_h_margin_reassign,ir,5561,M3OT/1/ir/val/1-08T,0.17424215283244848,development,0.05,4.0,0,1,2,bytetrack,5602
95.29256867445802,94.12906524295698,41,0,9,94.67365522024186,99.5610498969811,1,99.25026776151374,5561,3,0,5,2,True,0,0,cost_h_motion_reassign,ir,5561,M3OT/1/ir/val/1-08T,0.17402505595237017,development,0.05,4.0,0,3,0,bytetrack,5602
95.07268175085143,94.12906524295698,41,0,9,94.56355442790301,99.41771925109738,2,99.23241699393074,5561,2,0,4,2,True,0,0,cost_h_full_postfilter,ir,5561,M3OT/1/ir/val/1-08T,0.17361703608185053,development,0.05,4.0,0,2,0,bytetrack,5602
94.70438659266016,94.12906524295698,41,0,9,94.37983506215261,99.25647227447818,3,99.21456622634773,5561,1,1,4,2,True,0,0,cost_h_full_reassign,ir,5561,M3OT/1/ir/val/1-08T,0.1703203283250332,development,0.05,4.0,0,1,1,bytetrack,5602
94.70438659266016,94.12906524295698,41,0,9,94.37983506215261,99.25647227447818,3,99.21456622634773,5561,1,1,4,2,True,0,0,path_g_full_reassign,ir,5561,M3OT/1/ir/val/1-08T,0.1714089447632432,development,0.05,4.0,0,1,1,bytetrack,5602
92.9860382625666,94.12906524295698,41,0,9,93.5173527474819,98.03816178446654,3,99.21456622634773,5561,1,2,5,2,True,0,0,cost_h_margin_reassign,ir,5561,M3OT/1/ir/val/1-08T,0.17378460057079792,development,0.05,8.0,0,1,2,bytetrack,5602
93.5742203443645,94.12906524295698,41,0,9,93.8139084453356,98.34273940696944,1,99.25026776151374,5561,3,1,6,2,True,0,0,cost_h_motion_reassign,ir,5561,M3OT/1/ir/val/1-08T,0.17340443935245275,development,0.05,8.0,0,3,1,bytetrack,5602
93.35433342075788,94.12906524295698,41,0,9,93.70277346985468,98.19940876108572,2,99.23241699393074,5561,2,1,5,2,True,0,0,cost_h_full_postfilter,ir,5561,M3OT/1/ir/val/1-08T,0.17434745654463768,development,0.05,8.0,0,2,1,bytetrack,5602
92.9860382625666,94.12906524295698,41,0,9,93.5173527474819,98.03816178446654,3,99.21456622634773,5561,1,2,5,2,True,0,0,cost_h_full_reassign,ir,5561,M3OT/1/ir/val/1-08T,0.2655097469687462,development,0.05,8.0,0,1,2,bytetrack,5602
92.9860382625666,94.12906524295698,41,0,9,93.5173527474819,98.03816178446654,3,99.21456622634773,5561,1,2,5,2,True,0,0,path_g_full_reassign,ir,5561,M3OT/1/ir/val/1-08T,0.1731910901144147,development,0.05,8.0,0,1,2,bytetrack,5602
92.9860382625666,94.12906524295698,41,0,9,93.5173527474819,98.03816178446654,3,99.21456622634773,5561,1,2,5,2,True,0,0,cost_h_margin_reassign,ir,5561,M3OT/1/ir/val/1-08T,0.17272994108498096,development,0.1,1.0,0,1,2,bytetrack,5602
95.23998137346183,94.12906524295698,41,0,9,94.64683413728393,99.47146824330378,2,99.23241699393074,5561,3,0,3,0,True,0,0,cost_h_motion_reassign,ir,5561,M3OT/1/ir/val/1-08T,0.17092791199684143,development,0.1,1.0,0,3,0,bytetrack,5602
95.02009444985525,94.12906524295698,41,0,9,94.53669180984511,99.32813759742005,3,99.21456622634773,5561,2,0,2,0,True,0,0,cost_h_full_postfilter,ir,5561,M3OT/1/ir/val/1-08T,0.17194128409028053,development,0.1,1.0,0,2,0,bytetrack,5602
95.02009444985525,94.12906524295698,41,0,9,94.53669180984511,99.32813759742005,3,99.21456622634773,5561,2,0,2,0,True,0,0,cost_h_full_reassign,ir,5561,M3OT/1/ir/val/1-08T,0.17339227627962828,development,0.1,1.0,0,2,0,bytetrack,5602
95.02009444985525,94.12906524295698,41,0,9,94.53669180984511,99.32813759742005,3,99.21456622634773,5561,2,0,2,0,True,0,0,path_g_full_reassign,ir,5561,M3OT/1/ir/val/1-08T,0.17500779032707214,development,0.1,1.0,0,2,0,bytetrack,5602
92.9860382625666,94.12906524295698,41,0,9,93.5173527474819,98.03816178446654,3,99.21456622634773,5561,1,2,5,2,True,0,0,cost_h_margin_reassign,ir,5561,M3OT/1/ir/val/1-08T,0.17440891917794943,development,0.1,2.0,0,1,2,bytetrack,5602
95.29256867445802,94.12906524295698,41,0,9,94.67365522024186,99.5610498969811,1,99.25026776151374,5561,3,0,5,2,True,0,0,cost_h_motion_reassign,ir,5561,M3OT/1/ir/val/1-08T,0.17556898295879364,development,0.1,2.0,0,3,0,bytetrack,5602
95.07268175085143,94.12906524295698,41,0,9,94.56355442790301,99.41771925109738,2,99.23241699393074,5561,2,0,4,2,True,0,0,cost_h_full_postfilter,ir,5561,M3OT/1/ir/val/1-08T,0.17506919894367456,development,0.1,2.0,0,2,0,bytetrack,5602
95.07268175085143,94.12906524295698,41,0,9,94.56355442790301,99.41771925109738,2,99.23241699393074,5561,2,0,4,2,True,0,0,cost_h_full_reassign,ir,5561,M3OT/1/ir/val/1-08T,0.17439684085547924,development,0.1,2.0,0,2,0,bytetrack,5602
95.07268175085143,94.12906524295698,41,0,9,94.56355442790301,99.41771925109738,2,99.23241699393074,5561,2,0,4,2,True,0,0,path_g_full_reassign,ir,5561,M3OT/1/ir/val/1-08T,0.1756948810070753,development,0.1,2.0,0,2,0,bytetrack,5602
92.9860382625666,94.12906524295698,41,0,9,93.5173527474819,98.03816178446654,3,99.21456622634773,5561,1,2,5,2,True,0,0,cost_h_margin_reassign,ir,5561,M3OT/1/ir/val/1-08T,0.17501556500792503,development,0.1,4.0,0,1,2,bytetrack,5602
95.29256867445802,94.12906524295698,41,0,9,94.67365522024186,99.5610498969811,1,99.25026776151374,5561,3,0,5,2,True,0,0,cost_h_motion_reassign,ir,5561,M3OT/1/ir/val/1-08T,0.2625650651752949,development,0.1,4.0,0,3,0,bytetrack,5602
95.07268175085143,94.12906524295698,41,0,9,94.56355442790301,99.41771925109738,2,99.23241699393074,5561,2,0,4,2,True,0,0,cost_h_full_postfilter,ir,5561,M3OT/1/ir/val/1-08T,0.17520490009337664,development,0.1,4.0,0,2,0,bytetrack,5602
