competition_ambiguity,controlled_cost,cosine_distance,destination_label_purity,destination_majority_tied,destination_matched_observations,earlier,endpoint_center_distance_pixels,gap,incoming_alternative_cost,incoming_candidate_count,incoming_margin,later,modality,motion_available,motion_destination_fit_residual_pixels,motion_destination_observations,motion_disagreement_pixels,motion_endpoint_scale_pixels,motion_midpoint_frame,motion_missing_reason,motion_residual,motion_source_fit_residual_pixels,motion_source_observations,outgoing_alternative_cost,outgoing_candidate_count,outgoing_margin,posthoc_gt_relation,posthoc_gt_relation_ties_excluded,sequence,source_label_purity,source_majority_tied,source_matched_observations,split,tracker
0.0,0.40583155672344534,0.0791364312171936,1.0,False,6,19,15.787194469549657,20,0.48750821958633167,2,0.08167666286288633,26,ir,True,0.0011760657467742807,3,34.416566605526725,18.551804872763093,188.0,,1.8551600149727505,0.13045394620140494,3,0.5317307767250198,2,0.12589922000157444,false,false,M3OT/1/ir/val/1-08T,1.0,False,4,development,ocsort
0.12589922000157444,0.5317307767250198,0.0700216293334961,1.0,False,77,19,36.39827944848732,21,1.0,1,0.4682692232749802,27,ir,True,0.11966846902863883,3,0.6742147674310047,18.852755956279296,188.5,,0.035762133079882345,0.13045394620140494,3,0.40583155672344534,2,-0.12589922000157444,correct,correct,M3OT/1/ir/val/1-08T,1.0,False,4,development,ocsort
0.0,0.25097896422500293,0.12254953384399414,1.0,False,2,22,13.444114559059887,3,1.0,1,0.7490210357749971,39,ir,True,3.197442310920451e-14,2,26.513565490062504,14.651133260633213,341.5,,1.8096597047071432,0.335966608637531,3,1.0,1,0.7490210357749971,false,false,M3OT/1/ir/val/1-08T,1.0,False,147,development,ocsort
0.0,0.6865275283429534,0.1528381109237671,1.0,False,72,26,50.423388507230015,19,1.0,1,0.3134724716570466,31,ir,True,0.0817349481914687,3,3.8075695863856054,18.409319284376636,212.5,,0.2068283746709179,0.19764508807319597,3,1.0,1,0.3134724716570466,correct,correct,M3OT/1/ir/val/1-08T,1.0,False,6,development,ocsort
0.088741669418267,0.658860972261628,0.20906031131744385,1.0,False,3,33,19.051003348303908,28,0.570119302843361,4,-0.088741669418267,47,ir,True,8.68297565632444e-14,3,21.394261437826742,17.163556172322966,535.0,,1.246493513525244,0.00235213407133586,3,1.0,1,0.341139027738372,false,false,M3OT/1/ir/val/1-08T,1.0,False,255,development,ocsort
0.002525224794998615,0.5726445276383596,0.2825707197189331,1.0,False,3,34,35.34838177852493,4,0.570119302843361,4,-0.002525224794998615,47,ir,True,8.68297565632444e-14,3,35.34838177852436,22.672368182948397,547.0,,1.559095260507874,1.3127425272378462e-13,3,1.0,1,0.4273554723616404,false,false,M3OT/1/ir/val/1-08T,1.0,False,252,development,ocsort
0.02490573983961908,0.5950250426829801,0.1931295394897461,1.0,False,3,43,18.772049802904913,24,0.570119302843361,4,-0.02490573983961908,47,ir,True,8.68297565632444e-14,3,32.94355642384287,18.036464157935356,537.0,,1.826497485059951,0.001179667674425056,3,1.0,1,0.40497495731701993,false,false,M3OT/1/ir/val/1-08T,1.0,False,133,development,ocsort
0.0,0.570119302843361,0.25226306915283203,1.0,False,3,45,3.8214556244686744,24,0.5726445276383596,4,0.002525224794998615,47,ir,True,8.68297565632444e-14,3,25.530929087366104,17.265699195127674,537.0,,1.4787080904647552,0.23452259820359492,3,1.0,1,0.429880697156639,false,false,M3OT/1/ir/val/1-08T,1.0,False,98,development,ocsort
0.0,0.5751691329849209,0.1282961368560791,1.0,False,58,18,40.21528185223078,17,1.0,1,0.4248308670150791,30,rgb,True,0.09782952805445969,3,3.3732629229447486,17.35365213956007,211.5,,0.19438345864124623,0.17394104022804124,3,1.0,1,0.4248308670150791,correct,correct,M3OT/1/rgb/val/1-08,1.0,False,13,development,bytetrack
0.0,0.7233376319914168,0.2495201826095581,1.0,False,61,19,35.10534246683146,21,1.0,1,0.27666236800858324,26,rgb,True,0.16406944172711707,3,1.574742282421063,17.46424919657298,186.5,,0.09016948078879199,0.019827250147647225,3,1.0,1,0.27666236800858324,correct,correct,M3OT/1/rgb/val/1-08,1.0,False,7,development,bytetrack
0.0,0.6620891899034013,0.1589152216911316,1.0,False,72,18,45.27692569068709,19,1.0,1,0.33791081009659873,30,rgb,True,0.23570226039551584,3,7.0491040599826515,17.471894324729725,212.5,,0.40345390883032917,0.1553990088122421,3,1.0,1,0.33791081009659873,correct,correct,M3OT/1/rgb/val/1-08,1.0,False,14,development,ocsort
0.0,0.8193972917913452,0.29257339239120483,1.0,False,76,19,39.395431207184416,23,1.0,1,0.18060270820865476,26,rgb,True,0.23570226039551584,3,8.276892197223571,17.46424919657298,187.5,,0.473933468542567,1.2313796495349492e-13,3,1.0,1,0.18060270820865476,correct,correct,M3OT/1/rgb/val/1-08,1.0,False,6,development,ocsort
0.0,0.4488882590107423,0.24637359380722046,1.0,False,4,23,27.064737205448715,1,1.0,1,0.5511117409892576,36,rgb,True,1.8910762641950534e-14,3,33.03543972429876,19.076184087409025,341.5,,1.7317635210966198,0.23570226039551584,3,1.0,1,0.5511117409892576,false,false,M3OT/1/rgb/val/1-08,1.0,False,146,development,ocsort
0.0,0.2460312610020489,0.12056881189346313,N/A,N/A,N/A,2,14.824209218203157,2,1.0,1,0.7539687389979511,17,ir,True,0.1864443662223781,3,11.726504260985918,17.763296840730362,102.0,,0.6601535945792237,0.1702807425344022,3,1.0,1,0.7539687389979511,unknown,unknown,M3OT/2/ir/val/2-08T,1.0,False,72,development,bytetrack
0.0,0.5817788559502607,0.28615784645080566,1.0,False,17,16,39.864572715811974,2,1.0,1,0.4182211440497393,27,ir,True,0.10112934477628363,3,36.27389341755469,18.07100968824107,190.0,,2.0072975469189394,0.0011467184972635636,3,1.0,1,0.4182211440497393,false,false,M3OT/2/ir/val/2-08T,1.0,False,99,development,bytetrack
0.0,0.16503407651841076,0.05608189105987549,1.0,False,157,24,13.28227593122727,2,0.40464664700728,2,0.23961257048886922,42,ir,True,0.048591886356468085,3,11.972678060354013,20.666008478846727,421.0,,0.5793415827061614,0.04189796505620936,3,0.24974101874886703,2,0.08470694223045627,correct,correct,M3OT/2/ir/val/2-08T,1.0,False,256,development,bytetrack
