AssA,DetA,FN,FP,Frag,HOTA,IDF1,IDSW,MOTA,TP,family,invalid_class_instances,method,predicted_boxes,sequence,tracker,valid_gt_boxes,valid_output
11.274770633902165,14.45966514459665,562,0,15,12.768296987004844,10.372340425531915,29,10.045662100456621,95,confirmation38,0,no_refinement,95,data33-1,ocsort,657,True
13.113154621581963,14.45966514459665,562,0,15,13.769960959181956,15.159574468085108,19,11.56773211567732,95,confirmation38,0,regr_t_reliable_motion_min5,95,data33-1,ocsort,657,True
13.113154621581963,14.45966514459665,562,0,15,13.769960959181956,15.159574468085108,19,11.56773211567732,95,confirmation38,0,regr_temporal_risk_05,95,data33-1,ocsort,657,True
13.069565857368328,14.45966514459665,562,0,15,13.747055898729704,14.893617021276595,20,11.415525114155251,95,confirmation38,0,regr_v1,95,data33-1,ocsort,657,True
17.61477457185388,38.761629863524746,6108,18,2176,26.085776346167254,23.97050482132728,3098,22.225969645868464,5752,confirmation38,0,geometry_reid_greedy_guard,5770,data34-1,bytetrack,11860,True
9.955766654889475,38.77866118985773,6108,18,2176,19.577601237346663,14.770277935337491,3508,18.768971332209105,5752,confirmation38,0,no_refinement,5770,data34-1,bytetrack,11860,True
14.803955663246244,38.726889704295196,6109,19,2176,23.892505321637024,22.382302892796368,3082,22.344013490725125,5751,confirmation38,0,regr_t_reliable_motion_min5,5770,data34-1,bytetrack,11860,True
17.565810434203968,38.726889704295196,6109,19,2176,26.037301085790453,23.913783323879752,3070,22.445193929173694,5751,confirmation38,0,regr_temporal_risk_05,5770,data34-1,bytetrack,11860,True
14.242516957327144,38.80797560780074,6108,18,2176,23.453476312057457,18.33238797504254,3391,19.75548060708263,5752,confirmation38,0,regr_v1,5770,data34-1,bytetrack,11860,True
71.28046245059222,85.90255740000364,1634,0,248,78.25070468101171,78.49316308974011,117,85.23608768971333,10226,confirmation38,0,geometry_reid_greedy_guard,10226,data34-1,deepocsort,11860,True
