model,model_key,method_raw,seed,imgsz,conf,iou,nms_type,AP,AP50,AP75,precision,recall,F1,latency_ms,FPS,params_m,run_dir
YOLOv9c,yolov9c,YOLOv9c,42,1152,0.001,0.55,classaware,0.3672685699329395,0.5897343613883452,0.3789568133049438,0.6678106205381595,0.5725157451505429,0.6165024071298485,7.69594537236993,129.93855226548402,25.326958,/home/oem/projects/multi-uav-marine-city/outputs/detectors/final_input_resolution_sweep/20260629_034313_final_input_yolov9c_seed42_imgsz1152_conf0p001_iou0p55_classaware
YOLOv9c,yolov9c,YOLOv9c,42,1280,0.001,0.55,classaware,0.3753760581954746,0.5984439440376602,0.38983346292259824,0.6623338101199253,0.5925459956368824,0.625499342902868,7.571790724683445,132.0691546241602,25.326958,/home/oem/projects/multi-uav-marine-city/outputs/detectors/final_input_resolution_sweep/20260627_001350_final_input_yolov9c_seed42_imgsz1280_conf0p001_iou0p55_classaware
YOLOv9c,yolov9c,YOLOv9c,42,1408,0.001,0.55,classaware,0.3817462403418261,0.6046855488281313,0.4005441439416787,0.6743149416860388,0.5908062567136272,0.629804459916639,8.882038878195369,112.58676230914872,25.326958,/home/oem/projects/multi-uav-marine-city/outputs/detectors/final_input_resolution_sweep/20260629_034330_final_input_yolov9c_seed42_imgsz1408_conf0p001_iou0p55_classaware
YOLOv9c,yolov9c,YOLOv9c,42,1536,0.001,0.55,classaware,0.38717323094802075,0.6139112463770174,0.4058417236781061,0.6674452736767041,0.6046310329732718,0.6344872916296155,10.470378671069186,95.50752951878528,25.326958,/home/oem/projects/multi-uav-marine-city/outputs/detectors/final_input_resolution_sweep/20260627_001407_final_input_yolov9c_seed42_imgsz1536_conf0p001_iou0p55_classaware
YOLOv9c,yolov9c,YOLOv9c,42,1600,0.001,0.55,classaware,0.38930447222258535,0.6176293144138307,0.407928461085305,0.6695817331905933,0.6075798913999735,0.6370758232980367,11.881425255318138,84.16498681859728,25.326958,/home/oem/projects/multi-uav-marine-city/outputs/detectors/final_input_resolution_sweep/20260629_034348_final_input_yolov9c_seed42_imgsz1600_conf0p001_iou0p55_classaware
YOLOv9c,yolov9c,YOLOv9c,123,640,0.001,0.55,classaware,0.25792620003233074,0.4344147527093776,0.2611102709467922,0.5774714710175474,0.4372330297385272,0.497661340168358,3.032094094966858,329.8050682727676,25.326958,/home/oem/projects/multi-uav-marine-city/outputs/detectors/final_input_resolution_sweep/20260627_001426_final_input_yolov9c_seed123_imgsz640_conf0p001_iou0p55_classaware
YOLOv9c,yolov9c,YOLOv9c,123,768,0.001,0.55,classaware,0.30086738232953036,0.49616474856220466,0.30821796563891907,0.6273791214753961,0.4875556036771379,0.5486997568642801,4.623555822168769,216.28375182695004,25.326958,/home/oem/projects/multi-uav-marine-city/outputs/detectors/final_input_resolution_sweep/20260629_034408_final_input_yolov9c_seed123_imgsz768_conf0p001_iou0p55_classaware
YOLOv9c,yolov9c,YOLOv9c,123,960,0.001,0.55,classaware,0.3399207213037826,0.5505132929838241,0.34926286283665237,0.6520225189270947,0.5349528685099162,0.587714489322754,6.0891855616856665,164.22557497544392,25.326958,/home/oem/projects/multi-uav-marine-city/outputs/detectors/final_input_resolution_sweep/20260627_001439_final_input_yolov9c_seed123_imgsz960_conf0p001_iou0p55_classaware
YOLOv9c,yolov9c,YOLOv9c,123,1152,0.001,0.55,classaware,0.3666905769063101,0.5879771368322586,0.3844252592692425,0.6680544345918412,0.5727332543517385,0.616732409286975,5.683625934400806,175.9440208665711,25.326958,/home/oem/projects/multi-uav-marine-city/outputs/detectors/final_input_resolution_sweep/20260629_034423_final_input_yolov9c_seed123_imgsz1152_conf0p001_iou0p55_classaware
YOLOv9c,yolov9c,YOLOv9c,123,1280,0.001,0.55,classaware,0.3766980070354805,0.5999091467305849,0.3950967331203364,0.6627980037246233,0.5870876475136397,0.6226497926397084,7.557236973152081,132.3234938314903,25.326958,/home/oem/projects/multi-uav-marine-city/outputs/detectors/final_input_resolution_sweep/20260627_001454_final_input_yolov9c_seed123_imgsz1280_conf0p001_iou0p55_classaware
YOLOv9c,yolov9c,YOLOv9c,123,1408,0.001,0.55,classaware,0.3813273714980297,0.6063814639904755,0.400826437497229,0.6629226288790782,0.5941714829745847,0.6266670375500804,8.659917765201824,115.47453764726303,25.326958,/home/oem/projects/multi-uav-marine-city/outputs/detectors/final_input_resolution_sweep/20260629_034439_final_input_yolov9c_seed123_imgsz1408_conf0p001_iou0p55_classaware
YOLOv9c,yolov9c,YOLOv9c,123,1536,0.001,0.55,classaware,0.3857596384079129,0.61270182825654,0.4049111968201073,0.6596236912457115,0.6004847605828799,0.6286664830121399,10.841901216530207,92.23474555139283,25.326958,/home/oem/projects/multi-uav-marine-city/outputs/detectors/final_input_resolution_sweep/20260627_001511_final_input_yolov9c_seed123_imgsz1536_conf0p001_iou0p55_classaware
YOLOv9c,yolov9c,YOLOv9c,123,1600,0.001,0.55,classaware,0.38567168839649457,0.6132375928881227,0.4035951315915474,0.6651562366557062,0.5971554065089871,0.6293242164768712,11.098982366039861,90.09835019287466,25.326958,/home/oem/projects/multi-uav-marine-city/outputs/detectors/final_input_resolution_sweep/20260629_034458_final_input_yolov9c_seed123_imgsz1600_conf0p001_iou0p55_classaware
YOLOv9c,yolov9c,YOLOv9c,2026,640,0.001,0.55,classaware,0.26388813926056914,0.44301324027135536,0.26529209155372596,0.575779719745715,0.44183932083525257,0.49999481176751254,3.4004698131899658,294.07701139446505,25.326958,/home/oem/projects/multi-uav-marine-city/outputs/detectors/final_input_resolution_sweep/20260627_001529_final_input_yolov9c_seed2026_imgsz640_conf0p001_iou0p55_classaware
YOLOv9c,yolov9c,YOLOv9c,2026,768,0.001,0.55,classaware,0.3043328090148897,0.5001327036410221,0.31153328644398387,0.6253492574183804,0.4936120694795072,0.5517258437474647,5.7887525601910745,172.7487899339391,25.326958,/home/oem/projects/multi-uav-marine-city/outputs/detectors/final_input_resolution_sweep/20260629_034518_final_input_yolov9c_seed2026_imgsz768_conf0p001_iou0p55_classaware
YOLOv9c,yolov9c,YOLOv9c,2026,960,0.001,0.55,classaware,0.3400924667272701,0.5537100481429964,0.35065191754398206,0.6405052043974399,0.5490333618703777,0.5912523320183398,6.484373210908941,154.21691001956162,25.326958,/home/oem/projects/multi-uav-marine-city/outputs/detectors/final_input_resolution_sweep/20260627_001543_final_input_yolov9c_seed2026_imgsz960_conf0p001_iou0p55_classaware
YOLOv9c,yolov9c,YOLOv9c,2026,1152,0.001,0.55,classaware,0.36671104110471836,0.5899025106320049,0.38044449200537667,0.6657536091903109,0.5781352197576466,0.6188585349371125,6.931830408309932,144.26204062944072,25.326958,/home/oem/projects/multi-uav-marine-city/outputs/detectors/final_input_resolution_sweep/20260629_034532_final_input_yolov9c_seed2026_imgsz1152_conf0p001_iou0p55_classaware
YOLOv9c,yolov9c,YOLOv9c,2026,1280,0.001,0.55,classaware,0.3770344916138522,0.6035300733286952,0.39021227602621034,0.6677863731589543,0.5880496587867492,0.6253866569987729,7.809903979535982,128.04254733736354,25.326958,/home/oem/projects/multi-uav-marine-city/outputs/detectors/final_input_resolution_sweep/20260627_001558_final_input_yolov9c_seed2026_imgsz1280_conf0p001_iou0p55_classaware
YOLOv9c,yolov9c,YOLOv9c,2026,1408,0.001,0.55,classaware,0.381862227250992,0.607034495882473,0.3969717272647151,0.6695125158553324,0.5960689503523033,0.6306597137037152,8.028600221316255,124.55471345365534,25.326958,/home/oem/projects/multi-uav-marine-city/outputs/detectors/final_input_resolution_sweep/20260629_034549_final_input_yolov9c_seed2026_imgsz1408_conf0p001_iou0p55_classaware
YOLOv9c,yolov9c,YOLOv9c,2026,1536,0.001,0.55,classaware,0.38822132979588697,0.6180287849476915,0.4044426863958668,0.6624342277695858,0.6052711769859961,0.6325639114794367,10.81888630891042,92.43095559442207,25.326958,/home/oem/projects/multi-uav-marine-city/outputs/detectors/final_input_resolution_sweep/20260627_001615_final_input_yolov9c_seed2026_imgsz1536_conf0p001_iou0p55_classaware
YOLOv9c,yolov9c,YOLOv9c,2026,1600,0.001,0.55,classaware,0.3892828063538136,0.6182073386696753,0.40741728433178526,0.6723281868120299,0.5990104346132769,0.6335552033077153,11.2101208065113,89.20510467819034,25.326958,/home/oem/projects/multi-uav-marine-city/outputs/detectors/final_input_resolution_sweep/20260629_034607_final_input_yolov9c_seed2026_imgsz1600_conf0p001_iou0p55_classaware
