AssA,DetA,FN,FP,Frag,HOTA,IDF1,IDSW,MOTA,TP,accepted_correct,accepted_coverage,accepted_false,accepted_unknown,aggregation,all_box_multisets_preserved,auditable_fraction,conditional_error,duplicate_frame_identity_count,eligible_source_tracklets,method,predicted_boxes,protocol,scope,sequence_count,tie_ambiguous,tie_excluded_correct,tie_excluded_false,tracker,valid_gt_boxes
49.75068279425514,29.20779420622215,118476,7846,3323,36.712328789695356,38.551519735987796,2825,27.952456471093424,77718,206,0.3897338403041825,95,1954,equal_sequence_mean_metrics_total_counts,True,0.13348115299334812,0.31561461794019935,0,5786,cost_r,85564,official_detector,all_50_sequences,50,13,204,84,ocsort,196194
47.62000863859625,29.212513724843383,118476,7846,3325,35.886123700292494,36.46173728923568,4263,26.949922767249664,77718,0,0.0,0,0,equal_sequence_mean_metrics_total_counts,True,N/A,N/A,0,5786,no_refinement,85564,official_detector,all_50_sequences,50,0,0,0,ocsort,196194
49.85468066069998,29.20719190049411,118476,7846,3323,36.734175331891144,38.62502581362055,2729,27.988863446365873,77718,210,0.44123746975458,101,2242,equal_sequence_mean_metrics_total_counts,True,0.1218174696435566,0.3247588424437299,0,5786,path_g,85564,official_detector,all_50_sequences,50,14,207,90,ocsort,196194
49.77799091738015,29.20750554696744,118476,7846,3323,36.72224220888436,38.58179565795121,2814,27.955757858264242,77718,208,0.39543726235741444,93,1987,equal_sequence_mean_metrics_total_counts,True,0.13155594405594406,0.3089700996677741,0,5786,path_g_full_reassign,85564,official_detector,all_50_sequences,50,14,205,82,ocsort,196194
46.33654084058153,46.24728048751834,73372,310,13455,45.19470819459815,49.71681428353508,17511,47.438017804208414,122822,317,0.3660349616075805,255,3909,equal_sequence_mean_metrics_total_counts,True,0.12765007810756526,0.4458041958041958,0,12242,ace_v1,123132,oracle_aabb,all_50_sequences,50,76,308,188,bytetrack,196194
47.3525730110879,46.24195186253286,73372,310,13455,45.826709460497206,51.54147416904981,14929,48.58650076355709,122822,450,0.5838915209933018,566,6132,equal_sequence_mean_metrics_total_counts,True,0.1421376608841634,0.5570866141732284,0,12242,cost_g_legacy,123132,oracle_aabb,all_50_sequences,50,246,429,341,bytetrack,196194
46.904686752703626,46.243721861087934,73372,310,13455,45.54777299126555,50.78353107074298,16462,47.9480551624101,122822,417,0.5396177095245875,468,5721,equal_sequence_mean_metrics_total_counts,True,0.13396911898274297,0.5288135593220339,0,12242,cost_h,123132,oracle_aabb,all_50_sequences,50,196,400,289,bytetrack,196194
46.679995494002185,46.242484165282875,73372,310,13455,45.39980396711917,50.2972858595015,16860,47.74325063237101,122822,378,0.3893971573272341,291,4098,equal_sequence_mean_metrics_total_counts,True,0.14033983637507866,0.4349775784753363,0,12242,cost_h_full_postfilter,123132,oracle_aabb,all_50_sequences,50,116,366,187,bytetrack,196194
46.74433514751429,46.24488596536944,73372,310,13455,45.442965273233014,50.45202141442306,16636,47.82661575269951,122822,390,0.43015847083809833,351,4525,equal_sequence_mean_metrics_total_counts,True,0.1407140144322066,0.47368421052631576,0,12242,cost_h_full_reassign,123132,oracle_aabb,all_50_sequences,50,141,376,224,bytetrack,196194
46.80721779373539,46.24506055728804,73372,310,13455,45.48531097376941,50.60899462198009,16427,47.91244509957928,122822,401,0.4727168763273975,362,5024,equal_sequence_mean_metrics_total_counts,True,0.13184724382236046,0.4744429882044561,0,12242,cost_h_margin_reassign,123132,oracle_aabb,all_50_sequences,50,146,386,231,bytetrack,196194
